Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2020-2021,42,Montpellier,fr FRA,8,38,14,12,12,60,62,-2,54,1.42,51.9,66.2,-14.3,-0.38,,Gaëtan Laborde - 16,Jonas Omlin
2020-2021,43,Celta Vigo,es ESP,8,38,14,11,13,55,57,-2,53,1.39,50.4,51.0,-0.6,-0.02,91.0,Iago Aspas - 14,Iván Villar
2020-2021,44,Sampdoria,it ITA,9,38,15,7,16,52,54,-2,52,1.37,45.4,56.1,-10.7,-0.28,105.0,Fabio Quagliarella - 13,Emil Audero
2020-2021,45,Nice,fr FRA,9,38,15,7,16,50,53,-3,52,1.37,47.9,55.6,-7.6,-0.2,,Amine Gouiri - 12,Walter Benítez
2020-2021,46,Stuttgart,de GER,9,34,12,9,13,56,55,1,45,1.32,51.4,52.1,-0.8,-0.02,978.0,Sasa Kalajdzic - 16,Gregor Kobel
2020-2021,47,Freiburg,de GER,10,34,12,9,13,52,52,0,45,1.32,45.5,52.4,-6.9,-0.2,188.0,Vincenzo Grifo - 9,Florian Müller
2020-2021,48,Hoffenheim,de GER,11,34,11,10,13,52,54,-2,43,1.26,51.9,53.1,-1.2,-0.04,361.0,Andrej Kramarić - 20,Oliver Baumann
2020-2021,49,Metz,fr FRA,10,38,12,11,15,44,48,-4,47,1.24,44.1,49.2,-5.2,-0.14,498.0,"Farid Boulaya, Ibrahima Niane - 6",Alexandre Oukidja
2020-2021,50,Athletic Club,es ESP,10,38,11,13,14,46,42,4,46,1.21,42.8,37.5,5.3,0.14,,Álex Berenguer - 8,Unai Simón
2020-2021,51,Saint-Étienne,fr FRA,11,38,12,10,16,42,54,-12,46,1.21,48.7,50.1,-1.4,-0.04,,"Wahbi Khazri, Denis Bouanga - 7",Jessy Moulin
2020-2021,52,Granada,es ESP,9,38,13,7,18,47,65,-18,46,1.21,41.1,56.2,-15.0,-0.4,,Roberto Soldado - 9,Rui Silva
2020-2021,53,Hellas Verona,it ITA,10,38,11,12,15,46,48,-2,45,1.18,45.3,49.5,-4.1,-0.11,611.0,Antonín Barák - 7,Marco Silvestri
2020-2021,54,Bordeaux,fr FRA,12,38,13,6,19,42,56,-14,45,1.18,43.5,54.9,-11.4,-0.3,,Hwang Ui-jo - 12,Benoît Costil
2020-2021,55,Wolves,eng ENG,13,38,12,9,17,36,52,-16,45,1.18,36.5,49.5,-13.0,-0.34,237.0,"Rúben Neves, Pedro Neto - 5",Rui Patrício
2020-2021,56,Newcastle Utd,eng ENG,12,38,12,9,17,46,62,-16,45,1.18,43.4,58.3,-14.9,-0.39,526.0,Callum Wilson - 12,Karl Darlow
2020-2021,57,Osasuna,es ESP,11,38,11,11,16,37,48,-11,44,1.16,38.7,47.8,-9.0,-0.24,,Ante Budimir - 11,Sergio Herrera
2020-2021,58,Angers,fr FRA,13,38,12,8,18,40,58,-18,44,1.16,41.6,52.3,-10.7,-0.28,,Angelo Fulgini - 7,Paul Bernardoni
2020-2021,59,Cádiz,es ESP,12,38,11,11,16,36,58,-22,44,1.16,34.7,55.4,-20.7,-0.54,,Álvaro Negredo - 8,Jeremías Ledesma
2020-2021,60,Crystal Palace,eng ENG,14,38,12,8,18,41,66,-25,44,1.16,34.1,58.2,-24.2,-0.64,447.0,Wilfried Zaha - 11,Vicente Guaita
2020-2021,61,Mainz 05,de GER,12,34,10,9,15,39,56,-17,39,1.15,49.9,52.1,-2.2,-0.06,221.0,Jean-Philippe Mateta - 7,Robin Zentner
2020-2021,62,Valencia,es ESP,13,38,10,13,15,50,53,-3,43,1.13,42.6,52.2,-9.6,-0.25,142.0,Carlos Soler - 11,Jaume Doménech
2020-2021,63,Southampton,eng ENG,15,38,12,7,19,47,68,-21,43,1.13,41.2,53.1,-11.8,-0.31,526.0,Danny Ings - 12,Alex McCarthy
2020-2021,64,Reims,fr FRA,14,38,9,15,14,42,50,-8,42,1.11,32.7,59.0,-26.3,-0.69,,Boulaye Dia - 14,Predrag Rajković
2020-2021,65,Strasbourg,fr FRA,15,38,11,9,18,49,58,-9,42,1.11,52.8,50.7,2.1,0.06,,Ludovic Ajorque - 16,Eiji Kawashima
2020-2021,66,Genoa,it ITA,11,38,10,12,16,47,58,-11,42,1.11,38.8,60.4,-21.6,-0.57,53.0,Mattia Destro - 11,Mattia Perin
2020-2021,67,Lorient,fr FRA,16,38,11,9,18,50,68,-18,42,1.11,48.6,52.5,-4.0,-0.1,,Terem Moffi - 14,Paul Nardi
2020-2021,68,Brighton,eng ENG,16,38,9,14,15,40,46,-6,41,1.08,50.9,35.3,15.6,0.41,523.0,Neal Maupay - 8,Robert Sánchez
2020-2021,69,Levante,es ESP,14,38,9,14,15,46,57,-11,41,1.08,40.4,53.5,-13.1,-0.34,,José Luis Morales - 13,Aitor Fernández
2020-2021,70,Bologna,it ITA,12,38,10,11,17,51,65,-14,41,1.08,54.6,62.6,-7.9,-0.21,105.0,Roberto Soriano - 9,Łukasz Skorupski
2020-2021,71,Brest,fr FRA,17,38,11,8,19,50,66,-16,41,1.08,50.0,58.1,-8.1,-0.21,,Steve Mounié - 9,Gautier Larsonneur
2020-2021,72,Augsburg,de GER,13,34,10,6,18,36,54,-18,36,1.06,37.3,57.3,-20.0,-0.59,353.0,André Hahn - 8,Rafał Gikiewicz
2020-2021,73,Nantes,fr FRA,18,38,9,13,16,47,55,-8,40,1.05,49.0,53.7,-4.7,-0.12,,Ludovic Blas - 10,Alban Lafont
2020-2021,74,Fiorentina,it ITA,13,38,9,13,16,47,59,-12,40,1.05,44.9,61.5,-16.6,-0.44,105.0,Dušan Vlahović - 21,Bartłomiej Drągowski
2020-2021,75,Udinese,it ITA,14,38,10,10,18,42,58,-16,40,1.05,45.7,52.6,-6.9,-0.18,158.0,Rodrigo De Paul - 9,Juan Musso
2020-2021,76,Hertha BSC,de GER,14,34,8,11,15,41,52,-11,35,1.03,41.9,47.4,-5.6,-0.16,471.0,"Jhon Córdoba, Krzysztof Piątek... - 7",Alexander Schwolow
2020-2021,77,Spezia,it ITA,15,38,9,12,17,52,72,-20,39,1.03,46.5,65.1,-18.7,-0.49,105.0,M'Bala Nzola - 11,Ivan Provedel
2020-2021,78,Burnley,eng ENG,17,38,10,9,19,33,55,-22,39,1.03,39.3,54.7,-15.4,-0.4,178.0,Chris Wood - 12,Nick Pope
2020-2021,79,Arminia,de GER,15,34,9,8,17,26,52,-26,35,1.03,32.9,56.8,-23.9,-0.7,321.0,"Fabian Klos, Ritsu Doan - 5",Stefan Ortega
2020-2021,80,Getafe,es ESP,15,38,9,11,18,28,43,-15,38,1.0,34.4,40.3,-5.9,-0.16,,"Ángel Rodríguez, Jaime Mata - 5",David Soria
2020-2021,81,Alavés,es ESP,16,38,9,11,18,36,57,-21,38,1.0,42.6,49.9,-7.3,-0.19,,Joselu - 11,Fernando Pacheco
2020-2021,82,Cagliari,it ITA,16,38,9,10,19,43,59,-16,37,0.97,47.1,61.7,-14.6,-0.38,105.0,João Pedro - 16,Alessio Cragno
2020-2021,83,Torino,it ITA,17,38,7,16,15,50,69,-19,37,0.97,50.0,62.0,-11.9,-0.31,105.0,Andrea Belotti - 13,Salvatore Sirigu
2020-2021,84,Köln,de GER,16,34,8,9,17,34,60,-26,33,0.97,40.5,53.6,-13.0,-0.38,35.0,Ondrej Duda - 7,Timo Horn
2020-2021,85,Elche,es ESP,17,38,8,12,18,34,55,-21,36,0.95,29.9,60.9,-31.0,-0.82,185.0,Lucas Boyé - 7,Édgar Badía
2020-2021,86,Nîmes,fr FRA,19,38,9,8,21,40,71,-31,35,0.92,43.3,64.2,-20.9,-0.55,,Renaud Ripart - 11,Baptiste Reynet
2020-2021,87,Werder Bremen,de GER,17,34,7,10,17,36,57,-21,31,0.91,32.9,53.2,-20.3,-0.6,518.0,Niclas Füllkrug - 6,Jiří Pavlenka
2020-2021,88,Huesca,es ESP,18,38,7,13,18,34,53,-19,34,0.89,38.7,48.1,-9.4,-0.25,,Rafa Mir - 13,Álvaro Fernández
2020-2021,89,Benevento,it ITA,18,38,7,12,19,40,75,-35,33,0.87,40.6,64.3,-23.6,-0.62,158.0,Gianluca Lapadula - 8,Lorenzo Montipò
2020-2021,90,Valladolid,es ESP,19,38,5,16,17,34,57,-23,31,0.82,40.1,52.9,-12.8,-0.34,,"Fabián Orellana, Shon Weissman - 6",Jordi Masip
2020-2021,91,Eibar,es ESP,20,38,6,12,20,29,52,-23,30,0.79,45.2,45.7,-0.5,-0.01,,Kiké - 12,Marko Dmitrović
2020-2021,92,Fulham,eng ENG,18,38,5,13,20,27,53,-26,28,0.74,40.5,52.6,-12.1,-0.32,211.0,Bobby De Cordova-Reid - 5,Alphonse Areola
2020-2021,93,West Brom,eng ENG,19,38,5,11,22,35,76,-41,26,0.68,35.8,67.9,-32.0,-0.84,283.0,Matheus Pereira - 11,Sam Johnstone
2020-2021,94,Sheffield Utd,eng ENG,20,38,7,2,29,20,63,-43,23,0.61,32.6,62.2,-29.6,-0.78,263.0,David McGoldrick - 8,Aaron Ramsdale
2020-2021,95,Crotone,it ITA,19,38,6,5,27,45,92,-47,23,0.61,40.4,70.8,-30.5,-0.8,53.0,Simeon Nwankwo - 20,Alex Cordaz
2020-2021,96,Dijon,fr FRA,20,38,4,9,25,25,73,-48,21,0.55,33.7,72.5,-38.8,-1.02,,Mama Samba Baldé - 7,Anthony Racioppi
2020-2021,97,Parma,it ITA,20,38,3,11,24,39,83,-44,20,0.53,42.5,61.0,-18.5,-0.49,158.0,"Juraj Kucka, Hernani - 7",Luigi Sepe
2020-2021,98,Schalke 04,de GER,18,34,3,7,24,25,86,-61,16,0.47,28.7,69.2,-40.5,-1.19,18.0,Matthew Hoppe - 6,Ralf Fährmann
