Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2019-2020,73,Brighton,eng ENG,15,38,9,14,15,39,54,-15,41,1.08,45.4,55.0,-9.5,-0.25,22369,Neal Maupay - 10,Mathew Ryan
2019-2020,74,Dijon,fr FRA,16,28,7,9,12,27,37,-10,30,1.07,30.5,38.4,-8.0,-0.28,12707,Mama Samba Baldé - 6,Alfred Gomis
2019-2020,75,Saint-Étienne,fr FRA,17,28,8,6,14,29,45,-16,30,1.07,31.4,38.8,-7.4,-0.26,23205,Denis Bouanga - 10,Stéphane Ruffier
2019-2020,76,Augsburg,de GER,15,34,9,9,16,45,63,-18,36,1.06,43.1,56.6,-13.5,-0.4,20265,Florian Niederlechner - 13,Tomáš Koubek
2019-2020,77,Köln,de GER,14,34,10,6,18,51,69,-18,36,1.06,48.9,53.3,-4.4,-0.13,35094,Jhon Córdoba - 13,Timo Horn
2019-2020,78,Torino,it ITA,16,38,11,7,20,46,68,-22,40,1.05,44.8,60.8,-16.0,-0.42,13338,Andrea Belotti - 16,Salvatore Sirigu
2019-2020,79,West Ham,eng ENG,16,38,10,9,19,49,62,-13,39,1.03,48.6,63.8,-15.2,-0.4,44155,Michail Antonio - 10,Łukasz Fabiański
2019-2020,80,Alavés,es ESP,16,38,10,9,19,34,59,-25,39,1.03,39.3,57.8,-18.5,-0.49,12177,"Joselu, Lucas Pérez - 11",Fernando Pacheco
2019-2020,81,Genoa,it ITA,17,38,10,9,19,47,73,-26,39,1.03,48.7,60.0,-11.3,-0.3,14016,Goran Pandev - 9,Mattia Perin
2019-2020,82,Celta Vigo,es ESP,17,38,7,16,15,37,49,-12,37,0.97,39.2,45.3,-6.1,-0.16,11995,Iago Aspas - 14,Rubén Blanco
2019-2020,83,Nîmes,fr FRA,18,28,7,6,15,29,44,-15,27,0.96,30.3,40.9,-10.6,-0.38,12555,Romain Philippoteaux - 5,Paul Bernardoni
2019-2020,84,Leganés,es ESP,18,38,8,12,18,30,51,-21,36,0.95,39.9,42.8,-2.9,-0.08,7539,Óscar Rodríguez Arnaiz - 9,Iván Cuéllar
2019-2020,85,Aston Villa,eng ENG,17,38,9,8,21,41,67,-26,35,0.92,44.3,67.8,-23.5,-0.62,28505,Jack Grealish - 8,Tom Heaton
2019-2020,86,Lecce,it ITA,18,38,9,8,21,52,85,-33,35,0.92,54.7,85.6,-30.8,-0.81,15939,Marco Mancosu - 14,Gabriel
2019-2020,87,Werder Bremen,de GER,16,34,8,7,19,42,69,-27,31,0.91,39.4,55.4,-16.0,-0.47,26413,"Yuya Osako, Milot Rashica - 8",Jiří Pavlenka
2019-2020,88,Bournemouth,eng ENG,18,38,9,7,22,40,65,-25,34,0.89,44.8,62.3,-17.5,-0.46,7745,Callum Wilson - 8,Aaron Ramsdale
2019-2020,89,Watford,eng ENG,19,38,8,10,20,36,64,-28,34,0.89,48.9,58.1,-9.3,-0.24,15353,Troy Deeney - 10,Ben Foster
2019-2020,90,Düsseldorf,de GER,17,34,6,12,16,36,67,-31,30,0.88,35.9,60.7,-24.8,-0.73,30581,Rouwen Hennings - 15,"Zack Steffen, Florian Kastenmeier"
2019-2020,91,Mallorca,es ESP,19,38,9,6,23,40,65,-25,33,0.87,41.1,63.5,-22.4,-0.59,10877,Ante Budimir - 13,Manolo Reina
2019-2020,92,Amiens,fr FRA,19,28,4,11,13,31,50,-19,23,0.82,27.4,39.3,-11.9,-0.43,11616,Serhou Guirassy - 9,Régis Gurtner
2019-2020,93,Espanyol,es ESP,20,38,5,10,23,27,58,-31,25,0.66,38.6,51.0,-12.4,-0.33,16260,"Raúl de Tomás, David López... - 4",Diego López
2019-2020,94,Brescia,it ITA,19,38,6,7,25,35,79,-44,25,0.66,43.4,74.5,-31.2,-0.82,10050,"Ernesto Torregrossa, Alfredo Donnarumma - 7",Jesse Joronen
2019-2020,95,Paderborn 07,de GER,18,34,4,8,22,37,74,-37,20,0.59,39.2,67.3,-28.1,-0.83,11038,"Sven Michel, Dennis Srbeny... - 5",Leopold Zingerle
2019-2020,96,Norwich City,eng ENG,20,38,5,6,27,26,75,-49,21,0.55,37.0,66.5,-29.5,-0.78,19913,Teemu Pukki - 11,Tim Krul
2019-2020,97,SPAL,it ITA,20,38,5,5,28,27,77,-50,20,0.53,40.7,68.6,-27.9,-0.73,8241,Andrea Petagna - 12,Etrit Berisha
2019-2020,98,Toulouse,fr FRA,20,28,3,4,21,22,58,-36,13,0.46,31.7,45.6,-13.9,-0.5,14200,Efthimis Koulouris - 4,Baptiste Reynet
