Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
2017-2018,45,Eibar,es ESP,9,38,14,9,15,44,50,-6,51,1.34,40.9,44.4,-3.5,-0.09,5338,"Charles, Kiké - 8",Marko Dmitrović
2017-2018,46,Girona,es ESP,10,38,14,9,15,50,59,-9,51,1.34,50.6,50.4,+0.2,+0.01,10424,Cristhian Stuani - 21,Yassine Bounou
2017-2018,47,Real Sociedad,es ESP,12,38,14,7,17,66,59,+7,49,1.29,53.7,50.5,+3.1,+0.08,19793,Willian José - 15,Gerónimo Rulli
2017-2018,48,Celta Vigo,es ESP,13,38,13,10,15,59,60,-1,49,1.29,55.0,55.3,-0.3,-0.01,16195,Iago Aspas - 22,Rubén Blanco
2017-2018,49,Espanyol,es ESP,11,38,12,13,13,36,42,-6,49,1.29,41.1,52.3,-11.1,-0.29,17882,Gerard Moreno - 16,Pau López
2017-2018,50,Everton,eng ENG,8,38,13,10,15,44,58,-14,49,1.29,40.5,52.4,-11.9,-0.31,38797,Wayne Rooney - 10,Jordan Pickford
2017-2018,51,Hertha BSC,de GER,10,34,10,13,11,43,46,-3,43,1.26,39.2,44.3,-5.1,-0.15,45319,Salomon Kalou - 12,Rune Jarstein
2017-2018,52,Dijon,fr FRA,11,38,13,9,16,55,73,-18,48,1.26,41.6,63.8,-22.2,-0.58,12228,Júlio Tavares - 12,Baptiste Reynet
2017-2018,53,Werder Bremen,de GER,11,34,10,12,12,37,40,-3,42,1.24,38.9,45.1,-6.2,-0.18,40870,Max Kruse - 6,Jiří Pavlenka
2017-2018,54,Leicester City,eng ENG,9,38,12,11,15,56,60,-4,47,1.24,50.0,48.1,+1.9,+0.05,31583,Jamie Vardy - 20,Kasper Schmeichel
2017-2018,55,Alavés,es ESP,14,38,15,2,21,40,50,-10,47,1.24,38.5,55.9,-17.4,-0.46,18845,Munir El Haddadi - 10,Fernando Pacheco
2017-2018,56,Guingamp,fr FRA,12,38,12,11,15,48,59,-11,47,1.24,45.5,49.0,-3.5,-0.09,14502,Jimmy Briand - 11,Karl-Johan Johnsson
2017-2018,57,Augsburg,de GER,12,34,10,11,13,43,46,-3,41,1.21,44.7,41.4,+3.3,+0.10,28238,Michael Gregoritsch - 13,Marwin Hitz
2017-2018,58,Levante,es ESP,15,38,11,13,14,44,58,-14,46,1.21,44.7,63.6,-18.8,-0.50,18534,José Luis Morales - 10,Oier Olazábal
2017-2018,59,Amiens,fr FRA,13,38,12,9,17,37,42,-5,45,1.18,32.8,54.9,-22.1,-0.58,9521,Moussa Konaté - 13,Régis Gurtner
2017-2018,60,Newcastle Utd,eng ENG,10,38,12,8,18,39,47,-8,44,1.16,41.6,52.4,-10.8,-0.28,51992,Ayoze Pérez - 8,Rob Elliot
2017-2018,61,Crystal Palace,eng ENG,11,38,11,11,16,45,55,-10,44,1.16,53.5,48.2,+5.2,+0.14,25063,Luka Milivojević - 10,Wayne Hennessey
2017-2018,62,Bournemouth,eng ENG,12,38,11,11,16,45,61,-16,44,1.16,38.8,59.2,-20.4,-0.54,10641,"Joshua King, Callum Wilson - 8",Asmir Begović
2017-2018,63,Hannover 96,de GER,13,34,10,9,15,44,54,-10,39,1.15,44.6,55.6,-11.0,-0.32,42706,Niclas Füllkrug - 14,Philipp Tschauner
2017-2018,64,Athletic Club,es ESP,16,38,10,13,15,41,49,-8,43,1.13,49.7,50.3,-0.6,-0.02,37246,Raúl García - 10,Kepa Arrizabalaga
2017-2018,65,Leganés,es ESP,17,38,12,7,19,34,51,-17,43,1.13,39.9,47.6,-7.6,-0.20,9969,Gabriel - 5,Iván Cuéllar
2017-2018,66,Sassuolo,it ITA,11,38,11,10,17,29,59,-30,43,1.13,46.3,48.9,-2.6,-0.07,11004,Matteo Politano - 10,Andrea Consigli
2017-2018,67,West Ham,eng ENG,13,38,10,12,16,48,68,-20,42,1.11,36.7,55.1,-18.4,-0.48,56885,Marko Arnautović - 11,"Joe Hart, Adrián"
2017-2018,68,Genoa,it ITA,12,38,11,8,19,33,43,-10,41,1.08,43.5,42.6,+0.9,+0.02,20731,Gianluca Lapadula - 6,Mattia Perin
2017-2018,69,Angers,fr FRA,14,38,9,14,15,42,52,-10,41,1.08,47.6,45.8,+1.8,+0.05,11065,Karl Toko Ekambi - 17,Ludovic Butelle
2017-2018,70,Watford,eng ENG,14,38,11,8,19,44,64,-20,41,1.08,45.0,51.8,-6.8,-0.18,20231,Abdoulaye Doucouré - 7,Heurelho Gomes
2017-2018,71,Mainz 05,de GER,14,34,9,9,16,38,52,-14,36,1.06,35.4,47.9,-12.5,-0.37,28766,Yoshinori Mutō - 8,Robin Zentner
2017-2018,72,Freiburg,de GER,15,34,8,12,14,32,56,-24,36,1.06,39.6,46.1,-6.6,-0.19,23894,Nils Petersen - 15,Alexander Schwolow
2017-2018,73,Udinese,it ITA,14,38,12,4,22,48,63,-15,40,1.05,43.2,49.3,-6.1,-0.16,16159,Kevin Lasagna - 12,Albano Bizzarri
2017-2018,74,Brighton,eng ENG,15,38,9,13,16,34,54,-20,40,1.05,37.0,50.8,-13.8,-0.36,30403,Glenn Murray - 12,Mathew Ryan
2017-2018,75,Chievo,it ITA,13,38,10,10,18,36,59,-23,40,1.05,34.1,55.2,-21.2,-0.56,11436,Roberto Inglese - 12,Stefano Sorrentino
2017-2018,76,Bologna,it ITA,15,38,11,6,21,40,52,-12,39,1.03,36.6,51.4,-14.8,-0.39,22556,Simone Verdi - 10,Antonio Mirante
2017-2018,77,Cagliari,it ITA,16,38,11,6,21,33,61,-28,39,1.03,39.7,59.2,-19.5,-0.51,14651,Leonardo Pavoletti - 11,Alessio Cragno
2017-2018,78,SPAL,it ITA,17,38,8,14,16,39,59,-20,38,1.00,35.8,57.7,-21.9,-0.58,12065,Mirco Antenucci - 11,Alfred Gomis
2017-2018,79,Strasbourg,fr FRA,15,38,9,11,18,44,67,-23,38,1.00,45.5,58.4,-12.9,-0.34,24064,Stéphane Bahoken - 7,Bingourou Kamara
2017-2018,80,Caen,fr FRA,16,38,10,8,20,27,52,-25,38,1.00,42.8,48.0,-5.2,-0.14,17187,Ivan Santini - 11,Rémy Vercoutre
2017-2018,81,Lille,fr FRA,17,38,10,8,20,41,67,-26,38,1.00,36.4,57.9,-21.5,-0.57,31453,Nicolas Pépé - 13,Mike Maignan
2017-2018,82,Wolfsburg,de GER,16,34,6,15,13,36,48,-12,33,0.97,34.2,52.0,-17.8,-0.52,25712,Daniel Didavi - 9,Koen Casteels
2017-2018,83,Toulouse,fr FRA,18,38,9,10,19,38,54,-16,37,0.97,45.5,52.1,-6.6,-0.17,16929,Max Gradel - 8,Alban Lafont
2017-2018,84,Huddersfield,eng ENG,16,38,9,10,19,28,58,-30,37,0.97,31.3,48.5,-17.2,-0.45,24040,Steve Mounié - 7,Jonas Lössl
2017-2018,85,Southampton,eng ENG,17,38,7,15,16,37,56,-19,36,0.95,39.9,45.2,-5.3,-0.14,30794,Charlie Austin - 7,Fraser Forster
2017-2018,86,Crotone,it ITA,18,38,9,8,21,40,66,-26,35,0.92,34.6,58.6,-24.0,-0.63,10788,"Marcello Trotta, Simeon Nwankwo - 7",Alex Cordaz
2017-2018,87,Hamburger SV,de GER,17,34,8,7,19,29,53,-24,31,0.91,37.7,55.9,-18.2,-0.54,50657,Lewis Holtby - 6,Christian Mathenia
2017-2018,88,Troyes,fr FRA,19,38,9,6,23,32,59,-27,33,0.87,38.0,52.0,-14.0,-0.37,11723,Adama Niane - 8,Mamadou Samassa
2017-2018,89,Swansea City,eng ENG,18,38,8,9,21,28,56,-28,33,0.87,31.6,58.6,-27.0,-0.71,20623,Jordan Ayew - 7,Łukasz Fabiański
2017-2018,90,Stoke City,eng ENG,19,38,7,12,19,35,68,-33,33,0.87,36.5,62.5,-26.0,-0.69,29280,Xherdan Shaqiri - 8,Jack Butland
2017-2018,91,West Brom,eng ENG,20,38,6,13,19,31,56,-25,31,0.82,36.5,47.9,-11.4,-0.30,24520,"Jay Rodriguez, Salomón Rondón - 7",Ben Foster
2017-2018,92,La Coruña,es ESP,18,38,6,11,21,38,76,-38,29,0.76,51.6,58.7,-7.1,-0.19,20542,Adrián López - 9,Rubén
2017-2018,93,Metz,fr FRA,20,38,6,8,24,34,76,-42,26,0.68,40.3,71.3,-31.0,-0.81,14844,Nolan Roux - 15,Eiji Kawashima
2017-2018,94,Hellas Verona,it ITA,19,38,7,4,27,30,78,-48,25,0.66,33.0,70.2,-37.1,-0.98,17432,"Moise Kean, Giampaolo Pazzini - 4",Nícolas Andrade
2017-2018,95,Köln,de GER,18,34,5,7,22,35,70,-35,22,0.65,43.2,67.4,-24.1,-0.71,48776,"Leonardo Bittencourt, Simon Terodde - 5",Timo Horn
2017-2018,96,Las Palmas,es ESP,19,38,5,7,26,24,74,-50,22,0.58,38.5,70.5,-32.0,-0.84,16183,Jonathan Calleri - 9,Leandro Chichizola
2017-2018,97,Benevento,it ITA,20,38,6,3,29,33,84,-51,21,0.55,38.3,73.2,-34.9,-0.92,12200,Cheick Diabaté - 8,Christian Puggioni
2017-2018,98,Málaga,es ESP,20,38,5,5,28,24,61,-37,20,0.53,38.4,59.4,-21.0,-0.55,20333,Diego Rolán - 5,Roberto
