Season,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
2025-2026,42,Udinese,it ITA,10,15,6,3,6,16,22,-6,21,1.4,16.7,19.0,-2.3,-0.16,L L W L W,22036,"Keinan Davis, Nicolò Zaniolo - 4",Maduka Okoye
2025-2026,43,Tottenham,eng ENG,11,16,6,4,6,25,21,4,22,1.38,15.1,22.0,-6.9,-0.43,L L D W L,60984,Richarlison - 6,Guglielmo Vicario
2025-2026,44,Newcastle Utd,eng ENG,12,16,6,4,6,21,20,1,22,1.38,20.8,17.1,3.7,0.23,W W D W L,52143,"Bruno Guimarães, Nick Woltemade - 5",Nick Pope
2025-2026,45,Celta Vigo,es ESP,8,16,5,7,4,20,19,1,22,1.38,19.5,22.0,-2.6,-0.16,L W L W W,20252,Borja Iglesias - 5,Ionuț Radu
2025-2026,46,Angers,fr FRA,10,16,6,4,6,17,18,-1,22,1.38,16.2,27.2,-11.0,-0.68,W W L W W,12214,Sidiki Cherif - 4,Hervé Koffi
2025-2026,47,Athletic Club,es ESP,7,17,7,2,8,15,22,-7,23,1.35,22.7,17.6,5.1,0.3,L W L W L,48332,"Roberto Navarro, Nico Williams - 3",Unai Simón
2025-2026,48,Cremonese,it ITA,11,15,5,5,5,18,18,0,20,1.33,15.0,22.7,-7.8,-0.52,L L W W L,12644,Federico Bonazzoli - 5,Emil Audero
2025-2026,49,Bournemouth,eng ENG,13,16,5,6,5,25,28,-3,21,1.31,22.7,22.8,-0.1,0.0,D L L D D,11179,Antoine Semenyo - 7,Đorđe Petrović
2025-2026,50,Union Berlin,de GER,8,14,5,3,6,19,23,-4,18,1.29,16.2,19.5,-3.2,-0.23,D W L L W,21977,Ilyas Ansah - 5,Frederik Rønnow
2025-2026,51,Atalanta,it ITA,12,15,4,7,4,19,18,1,19,1.27,20.7,14.7,6.0,0.4,L L W L W,22157,Gianluca Scamacca - 5,Marco Carnesecchi
2025-2026,52,Sevilla,es ESP,9,16,6,2,8,24,24,0,20,1.25,15.7,25.1,-9.5,-0.59,W L L D W,37607,"Ruben Vargas, Akor Adams... - 3",Odysseas Vlachodimos
2025-2026,53,Brentford,eng ENG,15,16,6,2,8,22,25,-3,20,1.25,22.4,20.9,1.5,0.09,L W L L D,17076,Thiago - 11,Caoimhín Kelleher
2025-2026,54,Fulham,eng ENG,14,16,6,2,8,23,26,-3,20,1.25,16.9,21.8,-4.9,-0.31,W W L L W,27081,Harry Wilson - 5,Bernd Leno
2025-2026,55,Getafe,es ESP,10,16,6,2,8,13,18,-5,20,1.25,10.7,14.7,-4.0,-0.25,L L W L L,8331,Borja Mayoral - 4,David Soria
2025-2026,56,Freiburg,de GER,9,14,4,5,5,21,23,-2,17,1.21,20.5,18.1,2.4,0.17,W L W L D,34186,Vincenzo Grifo - 4,Noah Atubolu
2025-2026,57,Elche,es ESP,11,16,4,7,5,19,20,-1,19,1.19,17.4,22.9,-5.4,-0.34,D D L W L,27393,Rafa Mir - 6,Iñaki Peña
2025-2026,58,Brest,fr FRA,11,16,5,4,7,21,27,-6,19,1.19,24.2,23.7,0.5,0.03,L W W W L,14563,Romain Del Castillo - 6,Radosław Majecki
2025-2026,59,Köln,de GER,10,14,4,4,6,22,23,-1,16,1.14,20.2,22.5,-2.3,-0.17,L L D D L,50000,Said El Mala - 6,Marvin Schwäbe
2025-2026,60,Gladbach,de GER,11,14,4,4,6,18,22,-4,16,1.14,19.1,20.4,-1.3,-0.09,W W D W L,51340,Haris Tabakovic - 7,Moritz Nicolas
2025-2026,61,Werder Bremen,de GER,12,14,4,4,6,18,28,-10,16,1.14,17.0,25.0,-8.0,-0.57,W L D L L,41600,Jens Stage - 5,Mio Backhaus
2025-2026,62,Alavés,es ESP,12,16,5,3,8,14,17,-3,18,1.13,17.2,16.8,0.4,0.03,L L L W L,16814,Carlos Vicente - 4,Antonio Sivera
2025-2026,63,Rayo Vallecano,es ESP,13,16,4,6,6,13,16,-3,18,1.13,21.9,20.1,1.8,0.11,D D D L D,12786,Jorge de Frutos - 4,Augusto Batalla
2025-2026,64,Nott'ham Forest,eng ENG,16,16,5,3,8,17,25,-8,18,1.13,19.5,22.7,-3.2,-0.2,W L W L W,30434,"Morgan Gibbs-White, Callum Hudson-Odoi - 3",Matz Sels
2025-2026,65,Lorient,fr FRA,12,16,4,6,6,19,28,-9,18,1.13,21.3,21.7,-0.4,-0.02,D D W W D,15519,Pablo Pagis - 5,Yvon Mvogo
2025-2026,66,Torino,it ITA,13,15,4,5,6,15,26,-11,17,1.13,17.3,21.9,-4.6,-0.3,D L L L W,21759,Giovanni Simeone - 4,Franco Israel
