Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand
Anastasios Donis,Reims,fr Ligue 1,FW,22,609,6.8,151.16126664569575,Below Big-5 Level,,,,,431.3837250487126,Top Starter
Alfredo Donnarumma,Brescia,it Serie A,FW,28,1684,18.7,378.8115743464165,Solid Squad Player,,,,,317.726958213219,Solid Squad Player
Mathieu Dossevi,Toulouse,fr Ligue 1,Off_MF,31,1751,19.5,422.1128298304102,Top Starter,,,,,605.5053399583521,Top Starter
Bas Dost,Eint Frankfurt,de Bundesliga,FW,30,1475,16.4,601.6766543507088,Top Starter,,,,,283.79725489392666,Solid Squad Player
Abdoulaye Doucouré,Watford,eng Premier League,MF,26,3156,35.1,,,524.429530982627,Top Starter,,,716.6142271191177,Top Starter
Moussa Doumbia,Reims,fr Ligue 1,FW,24,1718,19.1,258.5559759266663,Solid Squad Player,,,,,705.5482566071009,Top Starter
Souleyman Doumbia,Angers,fr Ligue 1,DF,22,450,5.0,,,,,546.2616809578682,Top Starter,701.3397072323638,Top Starter
Souleyman Doumbia,Rennes,fr Ligue 1,DF,22,90,1.0,,,,,,,,
Tommy Doyle,Manchester City,eng Premier League,MF,17,16,0.2,,,,,,,,
Mohamed Dräger,Paderborn 07,de Bundesliga,DF,23,1455,16.2,,,,,559.1671587095994,Top Starter,638.6076576147608,Top Starter
Aleksandar Dragović,Leverkusen,de Bundesliga,DF,28,1029,11.4,,,,,607.3923892121336,Top Starter,742.0569083611815,Top Starter
Julian Draxler,Paris S-G,fr Ligue 1,MF,25,686,7.6,,,847.5296304409336,World Class,,,812.0003463669942,World Class
Dominick Drexler,Köln,de Bundesliga,Off_MF,29,1587,17.6,495.07202436131183,Top Starter,,,,,684.3970134663294,Top Starter
Danny Drinkwater,Aston Villa,eng Premier League,MF,29,259,2.9,,,,,,,,
Danny Drinkwater,Burnley,eng Premier League,MF,29,58,0.6,,,,,,,,
Josip Drmić,Norwich City,eng Premier League,FW,26,647,7.2,287.04465469171356,Solid Squad Player,,,,,371.21365047278306,Solid Squad Player
Domingos Duarte,Granada,es La Liga,DF,24,3087,34.3,,,,,481.1005340240499,Top Starter,527.999026915978,Top Starter
Léo Duarte,Milan,it Serie A,DF,23,405,4.5,,,,,,,,
Óscar Duarte,Levante,es La Liga,DF,30,485,5.4,,,,,578.6860608040305,Top Starter,673.1259236915854,Top Starter
Rubén Duarte,Alavés,es La Liga,DF,23,2663,29.6,,,,,574.2191960730233,Top Starter,693.0459772912318,Top Starter
Leo Dubois,Lyon,fr Ligue 1,DF,24,1346,15.0,,,,,597.1011524975847,Top Starter,688.571170847182,Top Starter
Ondrej Duda,Norwich City,eng Premier League,MF,24,724,8.0,,,522.6114173723863,Top Starter,,,651.207362347609,Top Starter
Ondrej Duda,Hertha BSC,de Bundesliga,MF,24,447,5.0,,,515.6746066248887,Top Starter,,,582.3525605520899,Top Starter
Shane Duffy,Brighton,eng Premier League,DF,27,1238,13.8,,,,,593.2627386958108,Top Starter,711.9836816940943,Top Starter
Haris Duljević,Nîmes,fr Ligue 1,FW,25,520,5.8,346.946646997357,Solid Squad Player,,,,,560.0729035003496,Top Starter
Paul Dummett,Newcastle Utd,eng Premier League,DF,27,1228,13.6,,,,,722.2264461948108,Top Starter,653.6044366403577,Top Starter
Alfred Duncan,Fiorentina,it Serie A,MF,26,887,9.9,,,470.0452939787412,Top Starter,,,529.8483855317481,Top Starter
Alfred Duncan,Sassuolo,it Serie A,MF,26,843,9.4,,,673.1886574332606,Top Starter,,,631.6618914802981,Top Starter
Lewis Dunk,Brighton,eng Premier League,DF,27,3230,35.9,,,,,668.8955267755789,Top Starter,808.2677225926369,World Class
Erik Durm,Eint Frankfurt,de Bundesliga,DF,27,511,5.7,,,,,475.2702648554055,Top Starter,588.6075995207667,Top Starter
Riza Durmisi,Nice,fr Ligue 1,DF,25,160,1.8,,,,,,,,
Hugo Duro,Getafe,es La Liga,FW,19,378,4.2,,,,,,,,
Jean-Kevin Duverne,Brest,fr Ligue 1,DF,22,1178,13.1,,,,,697.1479806229625,Top Starter,714.9144660946044,Top Starter
Paulo Dybala,Juventus,it Serie A,FW,25,2155,23.9,707.4170379279386,Top Starter,,,,,702.151825956959,Top Starter
Edin Džeko,Roma,it Serie A,FW,33,2854,31.7,743.7863822848832,Top Starter,,,,,404.5968276401884,Top Starter
Blerim Džemaili,Bologna,it Serie A,MF,33,698,7.8,,,772.5917524867017,World Class,,,758.7394163121008,World Class
Bruno Ecuele Manga,Dijon,fr Ligue 1,DF,31,2520,28.0,,,,,557.3991024042559,Top Starter,738.2819538684264,Top Starter
Simone Edera,Torino,it Serie A,Off_MF,22,398,4.4,,,,,,,,
John Egan,Sheffield Utd,eng Premier League,DF,26,3187,35.4,,,,,596.7255610630187,Top Starter,734.9088944400602,Top Starter
Johannes Eggestein,Werder Bremen,de Bundesliga,Off_MF,21,510,5.7,270.893791740027,Solid Squad Player,,,,,526.8786372379733,Top Starter
Maximilian Eggestein,Werder Bremen,de Bundesliga,MF,22,2855,31.7,,,506.0894897863908,Top Starter,,,665.200860843502,Top Starter
Kingsley Ehizibue,Köln,de Bundesliga,DF,24,2329,25.9,,,,,689.8359676077546,Top Starter,673.8519070821554,Top Starter
Albin Ekdal,Sampdoria,it Serie A,MF,30,2385,26.5,,,444.1721412839707,Top Starter,,,716.659680021218,Top Starter
Harvey Elliott,Liverpool,eng Premier League,DF,16,8,0.1,,,,,,,,
Elif Elmas,Napoli,it Serie A,MF,19,1134,12.6,,,526.1581503916202,Top Starter,,,665.3071467476007,Top Starter
Ahmed Elmohamady,Aston Villa,eng Premier League,DF,31,1031,11.5,,,,,493.1336164036515,Top Starter,779.1198322493515,World Class
Aritz Elustondo,Real Sociedad,es La Liga,DF,25,1510,16.8,,,,,593.6760636238992,Top Starter,747.249375759866,Top Starter
Nico Elvedi,Gladbach,de Bundesliga,DF,22,2618,29.1,,,,,678.9404283619456,Top Starter,889.9446502788284,World Class
Rodrigo Ely,Alavés,es La Liga,DF,25,2121,23.6,,,,,523.7889731385495,Top Starter,651.5944396047008,Top Starter
Adri Embarba,Espanyol,es La Liga,Off_MF,27,1371,15.2,476.22401137967694,Top Starter,,,,,694.4506012305175,Top Starter
Breel Embolo,Gladbach,de Bundesliga,FW,22,1550,17.2,718.780623880883,Top Starter,,,,,478.490406980813,Top Starter
Emerson,Betis,es La Liga,DF,20,2839,31.5,,,,,540.1010358075193,Top Starter,706.3265687497293,Top Starter
Renaud Emond,Nantes,fr Ligue 1,FW,27,292,3.2,,,,,,,,
