Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Mounir Obbadi,Lille,fr Ligue 1,MF,32.7,2303,25.6,,,591.2956992327099,Top Starter,,,512.7509607153187,Top Starter,,
Guillaume Gillet,Nantes,fr Ligue 1,MF,31.8,1710,19.0,,,344.37374476009205,Solid Squad Player,,,578.1257856507143,Top Starter,,
Marvin Gakpa,Lorient,fr Ligue 1,Off_MF,22.2,41,0.5,,,,,,,,,,
Fabinho,Monaco,fr Ligue 1,MF,22.2,3060,34.0,,,447.9546045298603,Top Starter,,,599.3309064681713,Top Starter,,
Abdoulaye Touré,Nantes,fr Ligue 1,MF,21.8,202,2.2,,,,,,,,,,
Marco Verratti,Paris S-G,fr Ligue 1,MF,23.2,1061,11.8,,,661.3569623507061,Top Starter,,,590.4432916210861,Top Starter,,
Jean Seri,Nice,fr Ligue 1,MF,24.5,3111,34.6,,,555.9303825775635,Top Starter,,,453.2464500113406,Top Starter,,
Lassana Diarra,Marseille,fr Ligue 1,Def_MF,30.8,2088,23.2,,,,,728.7436572390493,Top Starter,545.9614027391815,Top Starter,,
Nicolas Benezet,Guingamp,fr Ligue 1,FW,24.9,1240,13.8,627.2690299434194,Top Starter,,,,,579.2911627039592,Top Starter,,
Wesley Lautoa,Lorient,fr Ligue 1,DF,28.4,1007,11.2,,,,,635.7348803606535,Top Starter,654.1061168753092,Top Starter,,
Ellyes Skhiri,Montpellier,fr Ligue 1,MF,20.6,814,9.0,,,341.9044174830275,Solid Squad Player,,,530.237298981045,Top Starter,,
Walid Mesloub,Lorient,fr Ligue 1,MF,30.3,2121,23.6,,,605.5697342179988,Top Starter,,,449.72512437677995,Top Starter,,
Nicolas Maurice-Belay,Bordeaux,fr Ligue 1,FW,30.7,1289,14.3,332.9252885731297,Solid Squad Player,,,,,545.855644549245,Top Starter,,
Nabil Fekir,Lyon,fr Ligue 1,Off_MF,22.5,463,5.1,729.0578265954842,Top Starter,,,,,395.58197339645875,Solid Squad Player,,
Blaise Matuidi,Paris S-G,fr Ligue 1,MF,28.7,2063,22.9,,,663.6971439300812,Top Starter,,,574.4386637486367,Top Starter,,
Ibrahim Amadou,Lille,fr Ligue 1,MF,22.7,1664,18.5,,,271.0837277381737,Solid Squad Player,,,577.3505907075519,Top Starter,,
