Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,RawScore,MainScore,MainBand
Marten de Roon,Atalanta,it Serie A,MF,31,2964,32.9,,,386.42622771628015,Solid Squad Player,,,386.42622771628015,369.1,Solid Squad Player
Pablo Rosario,Nice,fr Ligue 1,MF,25,1767,19.6,,,454.95524261430626,Top Starter,,,454.95524261430626,436.2,Top Starter
Tom Rothe,Dortmund,de Bundesliga,DF,17,26,0.3,,,,,,,,,Below Big-5 Level
Joe Rothwell,Bournemouth,eng Premier League,MF,27,1016,11.3,,,393.20674135463577,Solid Squad Player,,,393.20674135463577,394.6,Solid Squad Player
Anthony Rouault,Toulouse,fr Ligue 1,DF,21,3314,36.8,,,,,689.6825702493752,Top Starter,689.6825702493752,655.8,Top Starter
Jérôme Roussillon,Wolfsburg,de Bundesliga,Off_MF,29,22,0.2,,,,,,,,,Below Big-5 Level
Jérôme Roussillon,Union Berlin,de Bundesliga,DF,29,957,10.6,,,,,337.9452874138294,Solid Squad Player,337.9452874138294,55.7,Below Big-5 Level
Nicolò Rovella,Monza,it Serie A,MF,20,1740,19.3,,,596.8497263424997,Top Starter,,,596.8497263424997,652.8,Top Starter
Nicolò Rovella,Juventus,it Serie A,MF,20,27,0.3,,,,,,,,,Below Big-5 Level
Amir Rrahmani,Napoli,it Serie A,DF,28,2448,27.2,,,,,520.6587561473094,Top Starter,520.6587561473094,394.8,Solid Squad Player
Ruan,Sassuolo,it Serie A,DF,23,1711,19.0,,,,,695.3747205601632,Top Starter,695.3747205601632,719.1,Top Starter
Rubén,Espanyol,es La Liga,DF,21,888,9.9,,,,,641.1239309656877,Top Starter,641.1239309656877,655.2,Top Starter
Antonio Rüdiger,Real Madrid,es La Liga,DF,29,2415,26.8,,,,,439.73107382855875,Top Starter,439.73107382855875,269.9,Solid Squad Player
Sebastian Rudy,Hoffenheim,de Bundesliga,MF,32,794,8.8,,,551.6657478814459,Top Starter,,,551.6657478814459,591.8,Top Starter
Daniele Rugani,Juventus,it Serie A,DF,28,564,6.3,,,,,451.68532468048295,Top Starter,451.68532468048295,266.8,Solid Squad Player
Matteo Ruggeri,Atalanta,it Serie A,DF,20,829,9.2,,,,,639.547970830372,Top Starter,639.547970830372,615.5,Top Starter
Mário Rui,Napoli,it Serie A,DF,31,1749,19.4,,,,,496.811976378142,Top Starter,496.811976378142,350.6,Solid Squad Player
Aitor Ruibal,Betis,es La Liga,DF,26,1454,16.2,,,,,674.1440644217823,Top Starter,674.1440644217823,718.4,Top Starter
Kays Ruiz,Auxerre,fr Ligue 1,Def_MF,19,62,0.7,,,,,,,,,Below Big-5 Level
Fabián Ruiz Peña,Paris S-G,fr Ligue 1,MF,26,1892,21.0,,,577.7352869200134,Top Starter,,,577.7352869200134,594.9,Top Starter
Víctor Ruiz,Betis,es La Liga,DF,33,560,6.2,,,,,543.1763933984354,Top Starter,543.1763933984354,467.8,Top Starter
Franco Russo,Mallorca,es La Liga,DF,27,145,1.6,,,,,,,,,Below Big-5 Level
Georginio Rutter,Leeds United,eng Premier League,FW,20,273,3.0,,,,,,,,,Below Big-5 Level
Georginio Rutter,Hoffenheim,de Bundesliga,FW,20,1009,11.2,385.83942502286163,Solid Squad Player,,,,,385.83942502286163,438.5,Top Starter
Julian Ryerson,Union Berlin,de Bundesliga,DF,24,1037,11.5,,,,,555.3238793015386,Top Starter,555.3238793015386,459.2,Top Starter
Julian Ryerson,Dortmund,de Bundesliga,DF,24,1410,15.7,,,,,408.9957296958623,Top Starter,408.9957296958623,187.6,Below Big-5 Level
