Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Kristijan Bistrović,Lecce,it Serie A,MF,24.0,461,5.1,,,273.124183006536,Solid Squad Player,,,2022-2023
Leonardo Bittencourt,Werder Bremen,de Bundesliga,MF,28.0,1629,18.1,,,444.1252302025783,Top Starter,,,2022-2023
Lautaro Blanco,Elche,es La Liga,Off_MF,23.0,872,9.7,190.85661102929143,Below Big-5 Level,,,,,2022-2023
Ludovic Blas,Nantes,fr Ligue 1,FW,24.0,2813,31.3,373.7500935766567,Solid Squad Player,,,,,2022-2023
Miha Blažič,Angers,fr Ligue 1,DF,29.0,1979,22.0,,,,,356.2439431913116,Solid Squad Player,2022-2023
Alexis Blin,Lecce,it Serie A,MF,25.0,2376,26.4,,,230.78282828282832,Solid Squad Player,,,2022-2023
Kevin-Prince Boateng,Hertha BSC,de Bundesliga,MF,35.0,467,5.2,,,240.0,Solid Squad Player,,,2022-2023
Jean-Paul Boëtius,Hertha BSC,de Bundesliga,MF,28.0,1050,11.7,,,298.2905982905983,Solid Squad Player,,,2022-2023
Jeremie Boga,Atalanta,it Serie A,FW,25.0,782,8.7,506.3804397876648,Top Starter,,,,,2022-2023
Emil Bohinen,Salernitana,it Serie A,MF,23.0,832,9.2,,,321.1594202898551,Solid Squad Player,,,2022-2023
Willy Boly,Nott'ham Forest,eng Premier League,DF,31.0,685,7.6,,,,,463.64787567003634,Top Starter,2022-2023
Giacomo Bonaventura,Fiorentina,it Serie A,Off_MF,32.0,1911,21.2,344.15884995507633,Solid Squad Player,,,,,2022-2023
Federico Bonazzoli,Salernitana,it Serie A,FW,25.0,1119,12.4,219.8965571891839,Solid Squad Player,,,,,2022-2023
Theo Bongonda,Cádiz,es La Liga,FW,26.0,1938,21.5,279.72635307352914,Solid Squad Player,,,,,2022-2023
Kevin Bonifazi,Bologna,it Serie A,DF,26.0,902,10.0,,,,,410.1974937343358,Top Starter,2022-2023
Leonardo Bonucci,Juventus,it Serie A,DF,35.0,879,9.8,,,,,381.4509061770071,Solid Squad Player,2022-2023
Neto Borges,Clermont Foot,fr Ligue 1,DF,25.0,2833,31.5,,,,,356.7619578045643,Solid Squad Player,2022-2023
Sebastiaan Bornauw,Wolfsburg,de Bundesliga,DF,23.0,1928,21.4,,,,,420.28216959845093,Top Starter,2022-2023
Rafael Borré,Eint Frankfurt,de Bundesliga,FW,26.0,1078,12.0,309.68732678256487,Solid Squad Player,,,,,2022-2023
Erik Botheim,Salernitana,it Serie A,FW,22.0,866,9.6,213.80713025951127,Solid Squad Player,,,,,2022-2023
Sven Botman,Newcastle Utd,eng Premier League,DF,22.0,3127,34.7,,,,,385.3558969469783,Solid Squad Player,2022-2023
Badredine Bouanani,Nice,fr Ligue 1,FW,17.0,863,9.6,349.82823129251705,Solid Squad Player,,,,,2022-2023
Hicham Boudaoui,Nice,fr Ligue 1,MF,22.0,1875,20.8,,,422.14743589743586,Top Starter,,,2022-2023
Sofiane Boufal,Angers,fr Ligue 1,FW,28.0,834,9.3,581.5118417737465,Top Starter,,,,,2022-2023
Mehdi Bourabia,Spezia,it Serie A,MF,30.0,2771,30.8,,,411.49350649350646,Top Starter,,,2022-2023
Benjamin Bourigeaud,Rennes,fr Ligue 1,FW,28.0,3065,34.1,414.8192302662348,Top Starter,,,,,2022-2023
Edoardo Bove,Roma,it Serie A,MF,20.0,992,11.0,,,261.1515151515151,Solid Squad Player,,,2022-2023
Jarrod Bowen,West Ham,eng Premier League,FW,25.0,3233,35.9,288.34915266013553,Solid Squad Player,,,,,2022-2023
Lucas Boyé,Elche,es La Liga,FW,26.0,2462,27.4,306.4850180136937,Solid Squad Player,,,,,2022-2023
Domagoj Bradarić,Salernitana,it Serie A,DF,22.0,2250,25.0,,,,,238.57189640768587,Solid Squad Player,2022-2023
Bilal Brahimi,Nice,fr Ligue 1,FW,22.0,800,8.9,387.34672220948306,Solid Squad Player,,,,,2022-2023
Martin Braithwaite,Espanyol,es La Liga,FW,31.0,2456,27.3,321.5571683292771,Solid Squad Player,,,,,2022-2023
Julian Brandt,Dortmund,de Bundesliga,FW,26.0,2397,26.6,455.1748248171449,Top Starter,,,,,2022-2023
Darko Brašanac,Osasuna,es La Liga,Off_MF,30.0,1041,11.6,181.36952654625068,Below Big-5 Level,,,,,2022-2023
Lilian Brassier,Brest,fr Ligue 1,DF,22.0,3093,34.4,,,,,415.57886965475706,Top Starter,2022-2023
Gleison Bremer,Juventus,it Serie A,DF,25.0,2634,29.3,,,,,436.377633503554,Top Starter,2022-2023
Dylan Bronn,Salernitana,it Serie A,DF,27.0,1683,18.7,,,,,394.4413618717024,Solid Squad Player,2022-2023
John Brooks,Hoffenheim,de Bundesliga,DF,29.0,1350,15.0,,,,,409.2123642439432,Top Starter,2022-2023
Marcelo Brozović,Inter,it Serie A,MF,29.0,1770,19.7,,,580.5414551607445,Top Starter,,,2022-2023
Cédric Brunner,Schalke 04,de Bundesliga,DF,28.0,2315,25.7,,,,,361.0307220710661,Solid Squad Player,2022-2023
Andreas Bruus,Troyes,fr Ligue 1,FW,23.0,1628,18.1,132.221163603563,Below Big-5 Level,,,,,2022-2023
Lee Buchanan,Werder Bremen,de Bundesliga,FW,21.0,472,5.2,196.6148904006047,Below Big-5 Level,,,,,2022-2023
Ante Budimir,Osasuna,es La Liga,FW,31.0,1798,20.0,330.7067271352986,Solid Squad Player,,,,,2022-2023
Emi Buendía,Aston Villa,eng Premier League,FW,25.0,2412,26.8,298.7842702586839,Solid Squad Player,,,,,2022-2023
Hugo Bueno,Wolves,eng Premier League,DF,19.0,1310,14.6,,,,,284.8115723097699,Solid Squad Player,2022-2023
Santiago Bueno,Girona,es La Liga,DF,23.0,3010,33.4,,,,,357.0385044447446,Solid Squad Player,2022-2023
Marius Bülter,Schalke 04,de Bundesliga,FW,29.0,2598,28.9,375.1567319738352,Solid Squad Player,,,,,2022-2023
Cristian Buonaiuto,Cremonese,it Serie A,FW,29.0,980,10.9,273.67691582239416,Solid Squad Player,,,,,2022-2023
Facundo Buonanotte,Brighton,eng Premier League,FW,17.0,565,6.3,244.28471247405488,Solid Squad Player,,,,,2022-2023
Alessandro Buongiorno,Torino,it Serie A,DF,23.0,2721,30.2,,,,,418.2918665316713,Top Starter,2022-2023
Jonathan Burkardt,Mainz 05,de Bundesliga,FW,22.0,533,5.9,395.8306493972354,Solid Squad Player,,,,,2022-2023
Dan Burn,Newcastle Utd,eng Premier League,DF,30.0,3111,34.6,,,,,345.6958388263529,Solid Squad Player,2022-2023
Maxime Busi,Reims,fr Ligue 1,DF,22.0,1043,11.6,,,,,337.7437847492294,Solid Squad Player,2022-2023
Sergio Busquets,Barcelona,es La Liga,MF,34.0,2339,26.0,,,494.0512820512821,Top Starter,,,2022-2023
Aurélio Buta,Eint Frankfurt,de Bundesliga,DF,25.0,1318,14.6,,,,,287.50414849910163,Solid Squad Player,2022-2023
Rémy Cabella,Lille,fr Ligue 1,FW,32.0,2525,28.1,486.08513219443574,Top Starter,,,,,2022-2023
Jimmy Cabot,Lens,fr Ligue 1,Off_MF,28.0,511,5.7,322.91995265942626,Solid Squad Player,,,,,2022-2023
Arthur Cabral,Fiorentina,it Serie A,FW,24.0,1432,15.9,434.1411148666314,Top Starter,,,,,2022-2023
Leandro Cabrera,Espanyol,es La Liga,DF,31.0,2669,29.7,,,,,399.6968853109204,Solid Squad Player,2022-2023
Liberato Cacace,Empoli,it Serie A,DF,21.0,587,6.5,,,,,406.69468543152755,Top Starter,2022-2023
Anthony Caci,Mainz 05,de Bundesliga,DF,25.0,2033,22.6,,,,,419.2821286253983,Top Starter,2022-2023
Moisés Caicedo,Brighton,eng Premier League,MF,20.0,3139,34.9,,,378.43361986628463,Solid Squad Player,,,2022-2023
Tom Cairney,Fulham,eng Premier League,Off_MF,31.0,988,11.0,290.84494949494945,Solid Squad Player,,,,,2022-2023
Jens Cajuste,Reims,fr Ligue 1,MF,22.0,1530,17.0,,,426.7843137254902,Top Starter,,,2022-2023
Davide Calabria,Milan,it Serie A,DF,25.0,1690,18.8,,,,,387.71716525355936,Solid Squad Player,2022-2023
Mattia Caldara,Spezia,it Serie A,DF,28.0,1253,13.9,,,,,469.6458827469808,Top Starter,2022-2023
Luca Caldirola,Monza,it Serie A,DF,31.0,2353,26.1,,,,,360.0779727095516,Solid Squad Player,2022-2023
Fernando Calero,Espanyol,es La Liga,Def_MF,26.0,1611,17.9,,,,,419.9101287345155,Top Starter,2022-2023
Duje Ćaleta-Car,Southampton,eng Premier League,DF,25.0,946,10.5,,,,,473.7150813541791,Top Starter,2022-2023
Hakan Çalhanoğlu,Inter,it Serie A,MF,28.0,2363,26.3,,,666.6920152091255,Top Starter,,,2022-2023
Dominic Calvert-Lewin,Everton,eng Premier League,FW,25.0,1165,12.9,266.3665266278776,Solid Squad Player,,,,,2022-2023
Mahdi Camara,Brest,fr Ligue 1,MF,24.0,1820,20.2,,,245.74257425742573,Solid Squad Player,,,2022-2023
Mohamed Camara,Roma,it Serie A,MF,25.0,696,7.7,,,231.1688311688312,Solid Squad Player,,,2022-2023
Mohamed Camara,Monaco,fr Ligue 1,MF,22.0,2194,24.4,,,377.26775956284155,Solid Squad Player,,,2022-2023
Ousmane Camara,Angers,fr Ligue 1,DF,19.0,521,5.8,,,,,407.8299196266528,Top Starter,2022-2023
Eduardo Camavinga,Real Madrid,es La Liga,MF,19.0,2010,22.3,,,413.7817638266069,Top Starter,,,2022-2023
Nicolò Cambiaghi,Empoli,it Serie A,FW,21.0,1285,14.3,390.98555412841125,Solid Squad Player,,,,,2022-2023
Andrea Cambiaso,Bologna,it Serie A,DF,22.0,2170,24.1,,,,,318.1924382186447,Solid Squad Player,2022-2023
Sergio Camello,Rayo Vallecano,es La Liga,FW,21.0,2401,26.7,302.9562239377649,Solid Squad Player,,,,,2022-2023
Emre Can,Dortmund,de Bundesliga,MF,28.0,1900,21.1,,,350.3633491311216,Solid Squad Player,,,2022-2023
Sergio Canales,Betis,es La Liga,FW,31.0,2402,26.7,302.0278704906848,Solid Squad Player,,,,,2022-2023
João Cancelo,Manchester City,eng Premier League,DF,28.0,1274,14.2,,,,,264.5651687905209,Solid Squad Player,2022-2023
João Cancelo,Bayern Munich,de Bundesliga,FW,28.0,1012,11.2,287.384731670446,Solid Squad Player,,,,,2022-2023
Antonio Candreva,Salernitana,it Serie A,Off_MF,35.0,2726,30.3,341.7236130755932,Solid Squad Player,,,,,2022-2023
Pierrick Capelle,Angers,fr Ligue 1,MF,35.0,1428,15.9,,,416.9811320754716,Top Starter,,,2022-2023
Étienne Capoue,Villarreal,es La Liga,MF,34.0,1955,21.7,,,286.7281105990783,Solid Squad Player,,,2022-2023
Gianluca Caprari,Monza,it Serie A,FW,29.0,2441,27.1,262.58993174965764,Solid Squad Player,,,,,2022-2023
Francesco Caputo,Sampdoria,it Serie A,FW,34.0,1094,12.2,128.53162831617163,Below Big-5 Level,,,,,2022-2023
Francesco Caputo,Empoli,it Serie A,FW,34.0,1708,19.0,341.61103154712174,Solid Squad Player,,,,,2022-2023
Maxence Caqueret,Lyon,fr Ligue 1,MF,22.0,2767,30.7,,,645.9717698154182,Top Starter,,,2022-2023
Isaac Carcelen,Cádiz,es La Liga,DF,29.0,2199,24.4,,,,,392.464220660942,Solid Squad Player,2022-2023
Igor Carioca,Lorient,fr Ligue 1,DF,25.0,456,5.1,,,,,396.0686028797483,Solid Squad Player,2022-2023
Carmona,Elche,es La Liga,Off_MF,20.0,589,6.5,143.30726495726498,Below Big-5 Level,,,,,2022-2023
Carmona,Sevilla,es La Liga,DF,20.0,527,5.9,,,,,434.15544510995,Top Starter,2022-2023
Yannick Carrasco,Atlético Madrid,es La Liga,Off_MF,28.0,2317,25.7,429.9995275152863,Top Starter,,,,,2022-2023
Dani Carvajal,Real Madrid,es La Liga,DF,30.0,1784,19.8,,,,,307.83591976574434,Solid Squad Player,2022-2023
William Carvalho,Betis,es La Liga,MF,30.0,2438,27.1,,,380.1230012300123,Solid Squad Player,,,2022-2023
Nicolò Casale,Lazio,it Serie A,DF,24.0,2437,27.1,,,,,331.4339970467373,Solid Squad Player,2022-2023
Casemiro,Manchester Utd,eng Premier League,MF,30.0,2124,23.6,,,484.8305084745763,Top Starter,,,2022-2023
Matty Cash,Aston Villa,eng Premier League,DF,24.0,1820,20.2,,,,,349.4951901205158,Solid Squad Player,2022-2023
Timothy Castagne,Leicester City,eng Premier League,DF,26.0,3254,36.2,,,,,369.2260116220569,Solid Squad Player,2022-2023
Michele Castagnetti,Cremonese,it Serie A,MF,32.0,1412,15.7,,,467.04883227176225,Top Starter,,,2022-2023
Valentín Castellanos,Girona,es La Liga,FW,23.0,2597,28.9,355.98174302400696,Solid Squad Player,,,,,2022-2023
Jean-Charles Castelletto,Nantes,fr Ligue 1,DF,27.0,2568,28.5,,,,,420.1054683492357,Top Starter,2022-2023
Samu Castillejo,Valencia,es La Liga,FW,27.0,1362,15.1,339.06721128480825,Solid Squad Player,,,,,2022-2023
Jonny Castro,Wolves,eng Premier League,DF,28.0,1261,14.0,,,,,359.28249194414605,Solid Squad Player,2022-2023
Gaetano Castrovilli,Fiorentina,it Serie A,Off_MF,25.0,718,8.0,297.7240079365079,Solid Squad Player,,,,,2022-2023
Danilo Cataldi,Lazio,it Serie A,MF,27.0,1921,21.3,,,272.8325508607199,Solid Squad Player,,,2022-2023
Catena,Rayo Vallecano,es La Liga,DF,27.0,3103,34.5,,,,,353.4604627510806,Solid Squad Player,2022-2023
Yoann Cathline,Lorient,fr Ligue 1,FW,20.0,1090,12.1,181.91576557160977,Below Big-5 Level,,,,,2022-2023
Maximiliano Caufriez,Clermont Foot,fr Ligue 1,DF,25.0,2222,24.7,,,,,410.01640403302446,Top Starter,2022-2023
Edinson Cavani,Valencia,es La Liga,FW,35.0,1449,16.1,317.0692361140452,Solid Squad Player,,,,,2022-2023
Dani Ceballos,Real Madrid,es La Liga,MF,25.0,1564,17.4,,,672.3754789272032,Top Starter,,,2022-2023
Federico Ceccherini,Hellas Verona,it Serie A,DF,30.0,1417,15.7,,,,,369.88777676675767,Solid Squad Player,2022-2023
Assan Ceesay,Lecce,it Serie A,FW,28.0,1812,20.1,239.33310770410975,Solid Squad Player,,,,,2022-2023
Emil Ceide,Sassuolo,it Serie A,FW,20.0,515,5.7,231.9171142141067,Solid Squad Player,,,,,2022-2023
Zeki Çelik,Roma,it Serie A,DF,25.0,1504,16.7,,,,,347.44145793625773,Solid Squad Player,2022-2023
Álex Centelles,Almería,es La Liga,DF,24.0,1123,12.5,,,,,322.8028373965216,Solid Squad Player,2022-2023
Fabien Centonze,Nantes,fr Ligue 1,DF,26.0,1689,18.8,,,,,467.44023178513663,Top Starter,2022-2023
Franco Cervi,Celta Vigo,es La Liga,Off_MF,28.0,1894,21.0,210.89121315192745,Solid Squad Player,,,,,2022-2023
Julian Chabot,Köln,de Bundesliga,DF,24.0,1803,20.0,,,,,516.4080200501254,Top Starter,2022-2023
El Chadaille Bitshiabu,Paris S-G,fr Ligue 1,DF,17.0,583,6.5,,,,,413.51481267270736,Top Starter,2022-2023
Fares Chaïbi,Toulouse,fr Ligue 1,FW,19.0,2340,26.0,316.855340426769,Solid Squad Player,,,,,2022-2023
Trevoh Chalobah,Chelsea,eng Premier League,DF,23.0,1608,17.9,,,,,402.9802625744996,Top Starter,2022-2023
Muhammed Cham,Clermont Foot,fr Ligue 1,Off_MF,21.0,1968,21.9,432.3901917083424,Top Starter,,,,,2022-2023
Brendan Chardonnet,Brest,fr Ligue 1,DF,27.0,2491,27.7,,,,,463.67326257882974,Top Starter,2022-2023
Xavier Chavalerin,Troyes,fr Ligue 1,MF,31.0,2426,27.0,,,340.5432098765432,Solid Squad Player,,,2022-2023
Rayan Cherki,Lyon,fr Ligue 1,FW,18.0,1872,20.8,450.219547648119,Top Starter,,,,,2022-2023
Federico Chiesa,Juventus,it Serie A,Off_MF,24.0,852,9.5,499.6537176274019,Top Starter,,,,,2022-2023
Ben Chilwell,Chelsea,eng Premier League,Off_MF,25.0,1408,15.6,243.7410052910053,Solid Squad Player,,,,,2022-2023
Vlad Chiricheș,Cremonese,it Serie A,DF,32.0,983,10.9,,,,,600.1190354256506,Top Starter,2022-2023
Pedro Chirivella,Nantes,fr Ligue 1,MF,25.0,2028,22.5,,,370.1333333333333,Solid Squad Player,,,2022-2023
Joris Chotard,Montpellier,fr Ligue 1,MF,20.0,2461,27.3,,,438.8034188034188,Top Starter,,,2022-2023
Andreas Christensen,Barcelona,es La Liga,DF,26.0,1760,19.6,,,,,332.8269653726151,Solid Squad Player,2022-2023
Ryan Christie,Bournemouth,eng Premier League,FW,27.0,1834,20.4,185.60391564033017,Below Big-5 Level,,,,,2022-2023
Samuel Chukwueze,Villarreal,es La Liga,FW,23.0,2339,26.0,371.26016047444614,Solid Squad Player,,,,,2022-2023
Chumi,Almería,es La Liga,DF,23.0,1489,16.5,,,,,368.0409103566997,Solid Squad Player,2022-2023
Víctor Chust,Cádiz,es La Liga,DF,22.0,965,10.7,,,,,344.3193653916723,Solid Squad Player,2022-2023
Tolga Ciğerci,Hertha BSC,de Bundesliga,MF,30.0,672,7.5,,,338.5777777777778,Solid Squad Player,,,2022-2023
Daniel Ciofani,Cremonese,it Serie A,FW,37.0,1060,11.8,471.54270597127737,Top Starter,,,,,2022-2023
Pathé Ciss,Rayo Vallecano,es La Liga,MF,28.0,1282,14.2,,,224.7887323943662,Solid Squad Player,,,2022-2023
Patrick Ciurria,Monza,it Serie A,MF,27.0,2753,30.6,,,501.7080610021787,Top Starter,,,2022-2023
Alexis Claude-Maurice,Lens,fr Ligue 1,FW,24.0,604,6.7,636.5960616419036,Top Starter,,,,,2022-2023
Jonathan Clauss,Marseille,fr Ligue 1,DF,29.0,2590,28.8,,,,,265.0795971410006,Solid Squad Player,2022-2023
Carlos Clerc,Elche,es La Liga,Def_MF,30.0,2639,29.3,,,,,401.12397157507706,Top Starter,2022-2023
Nathaniel Clyne,Crystal Palace,eng Premier League,DF,31.0,1640,18.2,,,,,288.51909994767135,Solid Squad Player,2022-2023
Conor Coady,Everton,eng Premier League,DF,29.0,2096,23.3,,,,,327.8310224775099,Solid Squad Player,2022-2023
Marcus Coco,Nantes,fr Ligue 1,FW,26.0,641,7.1,224.79613128506492,Solid Squad Player,,,,,2022-2023
Alexandre Coeff,Auxerre,fr Ligue 1,DF,30.0,586,6.5,,,,,433.9607994344836,Top Starter,2022-2023
Jack Colback,Nott'ham Forest,eng Premier League,Def_MF,32.0,497,5.5,,,,,310.6807202459376,Solid Squad Player,2022-2023
Séamus Coleman,Everton,eng Premier League,DF,33.0,1656,18.4,,,,,340.4504013657331,Solid Squad Player,2022-2023
Álex Collado,Elche,es La Liga,Off_MF,23.0,722,8.0,324.9003968253969,Solid Squad Player,,,,,2022-2023
Omar Colley,Sampdoria,it Serie A,DF,29.0,1384,15.4,,,,,370.5154661545638,Solid Squad Player,2022-2023
