season,sofa_player_id,Pos
2021-2022,35428,FW
2021-2022,70930,DF
2021-2022,342911,DF
2021-2022,352770,Off_MF
2021-2022,888550,Off_MF
2021-2022,99545,MF
2021-2022,48480,Off_MF
2021-2022,773409,FW
2021-2022,876214,DF
2021-2022,119151,Off_MF
2021-2022,325355,DF
2021-2022,365358,DF
2021-2022,836683,DF
2021-2022,856668,DF
2021-2022,142619,MF
2021-2022,148588,MF
2021-2022,987504,FW
2021-2022,970361,DF
2021-2022,831290,FW
2021-2022,825861,Off_MF
2021-2022,255847,Def_MF
2021-2022,836675,DF
2021-2022,250501,DF
2021-2022,257091,DF
2021-2022,153444,DF
2021-2022,256219,FW
2021-2022,192308,Off_MF
2021-2022,21555,DF
2021-2022,44900,MF
2021-2022,142208,DF
2021-2022,280609,FW
2021-2022,190159,FW
2021-2022,787505,DF
2021-2022,139227,DF
2021-2022,226978,Off_MF
2021-2022,142390,Off_MF
2021-2022,385386,DF
2021-2022,790833,DF
2021-2022,123915,DF
2021-2022,138605,Off_MF
2021-2022,254297,FW
2021-2022,47741,DF
2021-2022,770,DF
2021-2022,976421,DF
2021-2022,123164,DF
2021-2022,187111,Off_MF
2021-2022,855647,FW
2021-2022,40326,Off_MF
2021-2022,893998,DF
2021-2022,26502,MF
2021-2022,861970,MF
2021-2022,785468,DF
2021-2022,123264,MF
2021-2022,253687,MF
2021-2022,914178,DF
2021-2022,844842,MF
2021-2022,795541,FW
2021-2022,212074,FW
2021-2022,318607,DF
2021-2022,927368,DF
2021-2022,837205,MF
2021-2022,895324,Off_MF
2021-2022,134849,Def_MF
2021-2022,308526,DF
2021-2022,155702,FW
2021-2022,312388,MF
2021-2022,803033,MF
2021-2022,329417,DF
2021-2022,138534,FW
2021-2022,859765,FW
2021-2022,1002711,MF
2021-2022,328109,MF
2021-2022,252821,MF
2021-2022,96369,FW
2021-2022,46900,DF
2021-2022,916680,FW
2021-2022,781544,DF
2021-2022,827934,DF
2021-2022,794338,Off_MF
2021-2022,579576,DF
2021-2022,823941,FW
2021-2022,53739,DF
2021-2022,807301,FW
2021-2022,954061,FW
2021-2022,249399,MF
2021-2022,12994,FW
2021-2022,27838,FW
2021-2022,101882,DF
2021-2022,363860,MF
2021-2022,76132,FW
2021-2022,280025,DF
2021-2022,352296,FW
2021-2022,69408,DF
2021-2022,592012,Off_MF
2021-2022,354808,FW
2021-2022,987489,FW
2021-2022,359664,FW
2021-2022,186845,MF
2021-2022,869644,DF
2021-2022,298920,MF
2021-2022,153966,MF
2021-2022,7635,MF
2021-2022,158277,MF
2021-2022,974087,MF
2021-2022,330689,DF
2021-2022,964191,DF
2021-2022,187433,FW
2021-2022,94822,MF
2021-2022,351500,DF
2021-2022,945062,MF
2021-2022,14142,MF
2021-2022,984014,MF
2021-2022,569784,MF
2021-2022,581314,MF
2021-2022,754794,MF
2021-2022,355486,DF
2021-2022,758876,FW
2021-2022,70996,Off_MF
2021-2022,980634,DF
2021-2022,318653,FW
2021-2022,138024,DF
2021-2022,18864,FW
2021-2022,798583,DF
2021-2022,970978,DF
2021-2022,800408,MF
2021-2022,366760,DF
2021-2022,114777,DF
2021-2022,51640,FW
2021-2022,800411,FW
2021-2022,36949,DF
2021-2022,245615,DF
2021-2022,928796,MF
2021-2022,842513,DF
2021-2022,891511,Off_MF
2021-2022,100621,FW
2021-2022,150865,MF
2021-2022,910046,DF
2021-2022,38716,MF
2021-2022,1006189,DF
2021-2022,151003,DF
2021-2022,984789,DF
2021-2022,578560,DF
2021-2022,859024,MF
2021-2022,316406,Off_MF
2021-2022,116607,Off_MF
2021-2022,383560,DF
2021-2022,988907,DF
2021-2022,155997,DF
2021-2022,542472,Off_MF
2021-2022,801306,MF
2021-2022,158573,DF
2021-2022,36784,Off_MF
2021-2022,925097,DF
2021-2022,834986,DF
2021-2022,102624,DF
2021-2022,132874,MF
2021-2022,268903,FW
2021-2022,889785,DF
2021-2022,254135,DF
2021-2022,855676,DF
2021-2022,847097,Def_MF
2021-2022,823984,FW
2021-2022,914902,Off_MF
2021-2022,250737,MF
2021-2022,856123,DF
2021-2022,357598,Off_MF
2021-2022,49647,MF
2021-2022,385330,MF
2021-2022,899982,FW
2021-2022,866810,DF
2021-2022,555540,Off_MF
2021-2022,106258,FW
2021-2022,16701,MF
2021-2022,797286,DF
2021-2022,965331,DF
2021-2022,14718,DF
2021-2022,842931,FW
2021-2022,814873,MF
2021-2022,848355,DF
2021-2022,605338,FW
2021-2022,141525,DF
2021-2022,69295,DF
2021-2022,125407,FW
2021-2022,829093,MF
2021-2022,255241,DF
2021-2022,860435,MF
2021-2022,359226,MF
2021-2022,580642,MF
2021-2022,826188,DF
2021-2022,122921,MF
2021-2022,796059,MF
2021-2022,345035,FW
2021-2022,795005,MF
2021-2022,243585,MF
2021-2022,1103693,Off_MF
2021-2022,153218,DF
2021-2022,151124,MF
2021-2022,78781,Off_MF
2021-2022,794937,MF
2021-2022,794995,Def_MF
2021-2022,117777,MF
2021-2022,142525,DF
2021-2022,892735,DF
2021-2022,257205,FW
2021-2022,330051,FW
2021-2022,804621,MF
2021-2022,845273,MF
2021-2022,93570,DF
2021-2022,859027,MF
2021-2022,355152,Off_MF
2021-2022,305278,DF
2021-2022,330705,Off_MF
2021-2022,39733,FW
2021-2022,173883,DF
2021-2022,151138,DF
2021-2022,132318,DF
2021-2022,873106,DF
2021-2022,802138,MF
2021-2022,111416,MF
2021-2022,878496,DF
2021-2022,143334,DF
2021-2022,142259,DF
2021-2022,954056,FW
2021-2022,901325,FW
2021-2022,139410,DF
2021-2022,51371,DF
2021-2022,855830,MF
2021-2022,165413,FW
2021-2022,836694,Off_MF
2021-2022,606164,FW
2021-2022,828639,FW
2021-2022,306498,FW
2021-2022,115516,MF
2021-2022,830667,MF
2021-2022,260031,Off_MF
2021-2022,560116,FW
2021-2022,851254,DF
2021-2022,966802,MF
2021-2022,784655,MF
2021-2022,3504,FW
2021-2022,879346,MF
2021-2022,231946,Off_MF
2021-2022,846471,DF
2021-2022,596736,DF
2021-2022,22200,DF
2021-2022,147776,MF
2021-2022,318941,DF
2021-2022,805137,DF
2021-2022,294593,DF
2021-2022,126071,DF
2021-2022,94539,Off_MF
2021-2022,964994,DF
2021-2022,91046,DF
2021-2022,138165,DF
2021-2022,859021,Def_MF
2021-2022,909318,FW
2021-2022,156682,Off_MF
2021-2022,799054,MF
2021-2022,831781,DF
2021-2022,233180,DF
2021-2022,147775,DF
2021-2022,253993,MF
2021-2022,965778,DF
2021-2022,595576,Off_MF
2021-2022,122943,DF
2021-2022,282229,DF
2021-2022,760618,FW
2021-2022,117373,Off_MF
2021-2022,128792,DF
2021-2022,76265,DF
2021-2022,856553,DF
2021-2022,106496,DF
2021-2022,353138,MF
2021-2022,286909,DF
2021-2022,84744,FW
2021-2022,750,FW
2021-2022,356398,Off_MF
2021-2022,993455,MF
2021-2022,856495,MF
2021-2022,3041,DF
2021-2022,975937,MF
2021-2022,14990,FW
2021-2022,67769,DF
2021-2022,832427,Off_MF
2021-2022,259117,MF
2021-2022,795222,MF
2021-2022,983572,DF
2021-2022,827679,DF
2021-2022,932643,FW
2021-2022,814594,DF
2021-2022,788921,FW
2021-2022,135700,Off_MF
2021-2022,39183,DF
2021-2022,47743,DF
2021-2022,850035,DF
2021-2022,879674,DF
2021-2022,255999,MF
2021-2022,115432,DF
2021-2022,37151,Off_MF
2021-2022,826185,DF
2021-2022,758608,DF
2021-2022,357584,DF
2021-2022,941077,DF
2021-2022,37092,Off_MF
2021-2022,846081,Off_MF
2021-2022,791314,FW
2021-2022,84539,MF
2021-2022,191204,DF
2021-2022,591750,MF
2021-2022,149380,DF
2021-2022,372430,DF
2021-2022,344751,MF
2021-2022,126588,DF
2021-2022,840217,FW
2021-2022,877371,MF
2021-2022,119192,FW
2021-2022,609752,Def_MF
2021-2022,794770,Off_MF
2021-2022,126816,DF
2021-2022,96535,MF
2021-2022,262911,DF
2021-2022,94758,DF
2021-2022,842188,MF
2021-2022,611876,Off_MF
2021-2022,845271,DF
2021-2022,100389,MF
2021-2022,826293,DF
2021-2022,105971,DF
2021-2022,124544,DF
2021-2022,35166,Off_MF
2021-2022,560128,MF
2021-2022,865847,DF
2021-2022,224456,DF
2021-2022,73979,DF
2021-2022,121551,DF
2021-2022,796987,MF
2021-2022,41605,DF
2021-2022,758168,DF
2021-2022,122951,MF
2021-2022,900008,MF
2021-2022,48660,DF
2021-2022,32040,DF
2021-2022,115365,DF
2021-2022,139235,MF
2021-2022,21134,DF
2021-2022,789234,DF
2021-2022,146853,DF
2021-2022,352916,DF
2021-2022,844424,FW
2021-2022,280009,FW
2021-2022,182001,FW
2021-2022,862697,DF
2021-2022,906075,DF
2021-2022,966837,MF
2021-2022,14216,FW
2021-2022,3306,FW
2021-2022,860307,DF
2021-2022,799046,DF
2021-2022,835484,MF
2021-2022,42694,MF
2021-2022,49639,MF
2021-2022,892673,MF
2021-2022,851284,FW
2021-2022,280979,FW
2021-2022,21931,FW
2021-2022,978285,DF
2021-2022,939830,FW
2021-2022,132149,DF
2021-2022,96372,FW
2021-2022,127585,DF
2021-2022,253415,DF
2021-2022,80406,MF
2021-2022,286085,DF
2021-2022,234230,FW
2021-2022,331737,MF
2021-2022,192442,FW
2021-2022,234142,MF
2021-2022,823085,DF
2021-2022,799216,MF
2021-2022,796320,DF
2021-2022,831799,DF
2021-2022,829570,FW
2021-2022,136924,DF
2021-2022,66492,DF
2021-2022,35199,DF
2021-2022,802143,DF
2021-2022,33541,DF
2021-2022,341143,FW
2021-2022,76632,DF
2021-2022,280955,MF
2021-2022,845170,DF
2021-2022,385888,MF
2021-2022,848537,DF
2021-2022,108736,DF
2021-2022,785518,DF
2021-2022,79680,DF
2021-2022,803031,DF
2021-2022,186855,MF
2021-2022,842098,DF
2021-2022,843678,MF
2021-2022,868715,DF
2021-2022,328035,DF
2021-2022,894474,DF
2021-2022,868812,FW
2021-2022,788768,DF
2021-2022,21927,FW
2021-2022,855864,DF
2021-2022,289977,DF
2021-2022,893008,DF
2021-2022,88528,DF
2021-2022,839981,Off_MF
2021-2022,362222,DF
2021-2022,39182,MF
2021-2022,187729,DF
2021-2022,829022,DF
2021-2022,75756,MF
2021-2022,67647,FW
2021-2022,894396,FW
2021-2022,45923,FW
2021-2022,36982,DF
2021-2022,788027,DF
2021-2022,867887,MF
2021-2022,157029,MF
2021-2022,788255,DF
2021-2022,344129,FW
2021-2022,928672,DF
2021-2022,125625,DF
2021-2022,267619,DF
2021-2022,827243,DF
2021-2022,769333,FW
2021-2022,187313,MF
2021-2022,43443,DF
2021-2022,804472,MF
2021-2022,149730,FW
2021-2022,166381,DF
2021-2022,227082,DF
2021-2022,228414,DF
2021-2022,877102,DF
2021-2022,827212,DF
2021-2022,343971,FW
2021-2022,148458,Off_MF
2021-2022,865651,Off_MF
2021-2022,238408,DF
2021-2022,216222,Def_MF
2021-2022,51665,MF
2021-2022,50027,DF
2021-2022,859026,FW
2021-2022,856076,DF
2021-2022,149479,MF
2021-2022,111850,FW
2021-2022,855817,FW
2021-2022,159665,FW
2021-2022,41157,DF
2021-2022,886286,DF
2021-2022,811629,MF
2021-2022,171961,Off_MF
2021-2022,599128,DF
2021-2022,783374,FW
2021-2022,148076,FW
2021-2022,826204,MF
2021-2022,846445,FW
2021-2022,547410,Off_MF
2021-2022,940871,DF
2021-2022,71707,Off_MF
2021-2022,787811,DF
2021-2022,43905,FW
2021-2022,794953,DF
2021-2022,991011,MF
2021-2022,51501,DF
2021-2022,41560,FW
2021-2022,110846,DF
2021-2022,337671,Off_MF
2021-2022,816763,FW
2021-2022,999030,DF
2021-2022,336655,FW
2021-2022,805078,DF
2021-2022,347010,FW
2021-2022,935564,FW
2021-2022,135666,FW
2021-2022,279563,MF
2021-2022,848185,MF
2021-2022,217704,FW
2021-2022,138383,MF
2021-2022,253367,FW
2021-2022,966869,DF
2021-2022,38710,DF
2021-2022,22975,DF
2021-2022,149734,DF
2021-2022,349526,Off_MF
2021-2022,39482,MF
2021-2022,914213,FW
2021-2022,904970,Off_MF
2021-2022,795064,DF
2021-2022,835600,MF
2021-2022,344847,DF
2021-2022,864169,DF
2021-2022,331209,Off_MF
2021-2022,848287,DF
2021-2022,155995,DF
2021-2022,106662,DF
2021-2022,826198,FW
2021-2022,153257,DF
2021-2022,576266,DF
2021-2022,3577,DF
2021-2022,219572,DF
2021-2022,227672,DF
2021-2022,611210,DF
2021-2022,846036,DF
2021-2022,943645,DF
2021-2022,363792,DF
2021-2022,827606,MF
2021-2022,1031421,MF
2021-2022,152276,FW
2021-2022,69416,MF
2021-2022,888949,DF
2021-2022,592010,MF
2021-2022,362014,DF
2021-2022,885197,DF
2021-2022,791048,DF
2021-2022,95791,DF
2021-2022,143040,MF
2021-2022,280453,FW
2021-2022,844752,DF
2021-2022,927083,FW
2021-2022,290927,FW
2021-2022,123229,MF
2021-2022,363856,Off_MF
2021-2022,138387,FW
2021-2022,831005,FW
2021-2022,976141,MF
2021-2022,362682,DF
2021-2022,78454,DF
2021-2022,157377,DF
2021-2022,836168,DF
2021-2022,332155,DF
2021-2022,787540,Off_MF
2021-2022,859025,MF
2021-2022,119179,MF
2021-2022,976396,Def_MF
2021-2022,331449,MF
2021-2022,108800,MF
2021-2022,352802,MF
2021-2022,280991,MF
2021-2022,788216,DF
2021-2022,41789,FW
2021-2022,109461,DF
2021-2022,906047,MF
2021-2022,871706,FW
2021-2022,555386,FW
2021-2022,358394,MF
2021-2022,296434,MF
2021-2022,604232,DF
2021-2022,806076,Off_MF
2021-2022,846446,MF
2021-2022,130433,DF
2021-2022,553686,MF
2021-2022,6562,MF
2021-2022,47772,FW
2021-2022,946158,DF
2021-2022,934235,FW
2021-2022,371222,MF
2021-2022,178721,DF
2021-2022,552884,FW
2021-2022,901470,DF
2021-2022,99546,DF
2021-2022,147289,MF
2021-2022,345111,FW
2021-2022,111505,Off_MF
2021-2022,845930,DF
2021-2022,845385,Off_MF
2021-2022,826643,FW
2021-2022,851271,DF
2021-2022,822519,DF
2021-2022,142622,DF
2021-2022,541578,FW
2021-2022,84298,DF
2021-2022,821728,DF
2021-2022,135256,MF
2021-2022,142231,DF
2021-2022,99945,DF
2021-2022,151545,DF
2021-2022,799041,MF
2021-2022,869792,DF
2021-2022,369650,DF
2021-2022,146101,DF
2021-2022,916041,MF
2021-2022,610766,FW
2021-2022,19356,FW
2021-2022,794939,DF
2021-2022,250223,MF
2021-2022,331447,MF
2021-2022,988275,DF
2021-2022,591136,DF
2021-2022,145188,DF
2021-2022,935543,Off_MF
2021-2022,900433,Off_MF
2021-2022,288205,Off_MF
2021-2022,945217,DF
2021-2022,307702,DF
2021-2022,27982,Off_MF
2021-2022,69418,FW
2021-2022,373724,DF
2021-2022,170887,DF
2021-2022,110783,MF
2021-2022,880207,DF
2021-2022,794836,DF
2021-2022,152446,DF
2021-2022,187205,DF
2021-2022,852404,MF
2021-2022,122848,DF
2021-2022,856714,MF
2021-2022,300522,DF
2021-2022,303638,DF
2021-2022,324399,FW
2021-2022,149593,MF
2021-2022,39433,MF
2021-2022,25506,DF
2021-2022,161717,MF
2021-2022,27014,MF
2021-2022,845119,DF
2021-2022,877994,DF
2021-2022,138892,DF
2021-2022,108579,FW
2021-2022,788185,DF
2021-2022,900792,DF
2021-2022,941168,DF
2021-2022,15242,FW
2021-2022,825133,DF
2021-2022,55123,DF
2021-2022,975079,FW
2021-2022,123208,FW
2021-2022,542634,DF
2021-2022,787751,DF
2021-2022,361696,DF
2021-2022,81992,DF
2021-2022,558524,DF
2021-2022,191188,MF
2021-2022,98449,DF
2021-2022,833956,DF
2021-2022,27622,DF
2022-2023,1022109,FW
2022-2023,79853,Off_MF
2022-2023,1174458,Off_MF
2022-2023,966552,Off_MF
2022-2023,1136798,MF
2022-2023,1002331,Off_MF
2022-2023,1152486,Off_MF
2022-2023,1010551,FW
2022-2023,918873,Off_MF
2022-2023,941342,MF
2022-2023,1104981,MF
2022-2023,1085572,DF
2022-2023,1142244,FW
2022-2023,110956,Def_MF
2022-2023,88645,Off_MF
2022-2023,339227,DF
2022-2023,947158,MF
2022-2023,930775,Off_MF
2022-2023,1008245,FW
2022-2023,1064671,DF
2022-2023,1426228,FW
2022-2023,1142638,Off_MF
2022-2023,1067117,FW
2022-2023,992044,FW
2022-2023,1154657,Def_MF
2022-2023,1402912,FW
2022-2023,1215092,Def_MF
2022-2023,997215,FW
2022-2023,186809,Def_MF
2022-2023,1087805,DF
2022-2023,229776,MF
2022-2023,1130222,DF
2022-2023,1098541,MF
2022-2023,1010656,Off_MF
2022-2023,1129765,Off_MF
2022-2023,989534,DF
2022-2023,843156,DF
2022-2023,1459147,DF
2022-2023,1139243,MF
2022-2023,891803,DF
2022-2023,1142175,Off_MF
2022-2023,1403127,Off_MF
2022-2023,1066802,Off_MF
2022-2023,1127790,FW
2022-2023,211122,FW
2022-2023,1154632,FW
2022-2023,1014042,Off_MF
2022-2023,1133063,FW
2022-2023,1391366,Off_MF
2022-2023,1005706,FW
2022-2023,98450,Def_MF
2022-2023,1002033,FW
2022-2023,14046,MF
2022-2023,257433,MF
2022-2023,1066011,DF
2022-2023,912980,DF
2022-2023,929775,DF
2022-2023,818942,Def_MF
2022-2023,1002402,DF
2022-2023,888954,DF
2022-2023,1134729,Off_MF
2022-2023,44563,DF
2022-2023,836683,FW
2022-2023,1142248,Off_MF
2022-2023,997136,Def_MF
2022-2023,1133052,FW
2022-2023,893063,FW
2022-2023,1137585,Off_MF
2022-2023,1100957,FW
2022-2023,1121578,FW
2022-2023,1011494,MF
2022-2023,1396199,Off_MF
2022-2023,1400650,Def_MF
2022-2023,361332,Off_MF
2022-2023,972561,DF
2022-2023,1120038,DF
2022-2023,1798845,Def_MF
2022-2023,1923074,Off_MF
2022-2023,1142171,Def_MF
2022-2023,965331,DF
2022-2023,83687,FW
2022-2023,983041,DF
2022-2023,1120669,MF
2022-2023,826010,Def_MF
2022-2023,1146132,Off_MF
2022-2023,1162309,FW
2022-2023,836093,FW
2022-2023,757730,Off_MF
2022-2023,1129940,FW
2022-2023,1082213,FW
2022-2023,1381229,FW
2022-2023,1086286,MF
2022-2023,24818,DF
2022-2023,997203,Off_MF
2022-2023,55570,DF
2022-2023,1005883,FW
2022-2023,1166832,FW
2022-2023,858148,DF
2022-2023,801378,Off_MF
2022-2023,1122641,FW
2022-2023,954036,FW
2022-2023,1000015,FW
2022-2023,1495876,FW
2022-2023,1130349,DF
2022-2023,1064299,FW
2022-2023,826555,DF
2022-2023,1006409,DF
2022-2023,1005343,FW
2022-2023,355048,DF
2022-2023,46387,FW
2022-2023,1016019,Off_MF
2022-2023,1090963,FW
2022-2023,926995,Off_MF
2022-2023,297868,MF
2022-2023,994562,DF
2022-2023,843083,Def_MF
2022-2023,139262,DF
2022-2023,1134725,DF
2022-2023,965795,Off_MF
2022-2023,1195635,FW
2022-2023,282095,Off_MF
2022-2023,904831,Off_MF
2022-2023,41605,DF
2022-2023,355174,MF
2022-2023,1387930,FW
2022-2023,1153083,Off_MF
2022-2023,944225,DF
2022-2023,1005766,FW
2022-2023,1069627,DF
2022-2023,1146018,Off_MF
2022-2023,1084423,DF
2022-2023,1153261,FW
2022-2023,1398557,FW
2022-2023,846441,DF
2022-2023,1210666,DF
2022-2023,1170693,FW
2022-2023,1154861,FW
2022-2023,1012175,DF
2022-2023,876345,FW
2022-2023,996812,Off_MF
2022-2023,15190,FW
2022-2023,319149,FW
2022-2023,1131449,DF
2022-2023,980634,DF
2022-2023,1123613,FW
2022-2023,1131581,FW
2022-2023,1171540,Off_MF
2022-2023,109002,Off_MF
2022-2023,897598,MF
2022-2023,1393279,DF
2022-2023,1141665,FW
2022-2023,1171621,DF
2022-2023,1066059,MF
2022-2023,796358,MF
2022-2023,152082,DF
2022-2023,1176104,Off_MF
2022-2023,1398524,MF
2022-2023,1414275,FW
2022-2023,1389737,DF
2022-2023,1020422,FW
2022-2023,936122,FW
2022-2023,796088,FW
2022-2023,1172764,FW
2022-2023,826551,Def_MF
2022-2023,5712,MF
2022-2023,210082,DF
2022-2023,1467065,FW
2022-2023,1167025,FW
2022-2023,1131338,Off_MF
2022-2023,591044,FW
2022-2023,353250,DF
2022-2023,42699,FW
2022-2023,198028,Off_MF
2022-2023,94856,DF
2022-2023,149735,Def_MF
2022-2023,1134399,Off_MF
2022-2023,373724,DF
2022-2023,826655,Off_MF
2022-2023,850971,FW
2022-2023,52125,Off_MF
2022-2023,1001858,DF
2022-2023,253987,MF
2022-2023,1489420,Off_MF
2022-2023,356032,DF
2022-2023,110508,Off_MF
2022-2023,49518,DF
2022-2023,871041,DF
2022-2023,328145,FW
2022-2023,1469348,Off_MF
2022-2023,933398,DF
2022-2023,993451,FW
2022-2023,861975,MF
2022-2023,989899,MF
2022-2023,963398,FW
2022-2023,50730,FW
2022-2023,942836,FW
2022-2023,1014682,FW
2022-2023,910022,FW
2022-2023,39282,Def_MF
2022-2023,1126779,Off_MF
2022-2023,1064082,MF
2022-2023,867493,DF
2022-2023,1113488,Off_MF
2022-2023,1154687,DF
2022-2023,827688,DF
2022-2023,115665,Off_MF
2022-2023,1216282,FW
2022-2023,1384651,MF
2022-2023,1000366,MF
2022-2023,124950,FW
2022-2023,44823,Off_MF
2022-2023,962872,Def_MF
2022-2023,1119364,Off_MF
2022-2023,42147,Off_MF
2022-2023,980630,DF
2022-2023,1127232,DF
2022-2023,285989,DF
2022-2023,219952,FW
2022-2023,795000,DF
2022-2023,1001725,DF
2022-2023,989803,FW
2022-2023,1133521,DF
2022-2023,930246,FW
2022-2023,1010383,MF
2022-2023,1134396,Off_MF
2022-2023,1130067,DF
2022-2023,1086199,DF
2022-2023,920393,DF
2022-2023,822702,Off_MF
2022-2023,963399,FW
2022-2023,1405932,DF
2022-2023,1036269,MF
2022-2023,1135605,FW
2022-2023,1006951,FW
2022-2023,1191259,DF
2022-2023,360866,Def_MF
2022-2023,991577,DF
2022-2023,1090458,FW
2022-2023,1407524,Def_MF
2022-2023,787931,Def_MF
2022-2023,1005996,FW
2022-2023,1177311,FW
2022-2023,1161925,FW
2022-2023,902019,Off_MF
2022-2023,1444702,DF
2022-2023,966804,FW
2022-2023,790833,FW
2022-2023,796673,Off_MF
2022-2023,938270,FW
2022-2023,1154587,FW
2022-2023,1136819,DF
2022-2023,1170560,MF
2022-2023,885179,FW
2022-2023,1391616,Off_MF
2022-2023,1391487,FW
2022-2023,108574,FW
2022-2023,1133119,MF
2022-2023,40239,DF
2022-2023,990232,FW
2022-2023,1013987,FW
2022-2023,888930,Off_MF
2022-2023,608370,Off_MF
2022-2023,989841,DF
2022-2023,1099804,DF
2022-2023,1392077,DF
2022-2023,38393,DF
2022-2023,965828,DF
2022-2023,985738,DF
2022-2023,1409353,DF
2022-2023,1170523,MF
2022-2023,1064026,DF
2022-2023,1099175,FW
2022-2023,1047364,DF
2022-2023,1065453,DF
2022-2023,788768,DF
2022-2023,986395,FW
2022-2023,1142673,MF
2022-2023,796443,DF
2022-2023,355072,FW
2022-2023,1407848,DF
2022-2023,1100406,DF
2022-2023,924369,Def_MF
2022-2023,1087744,FW
2022-2023,1152505,FW
2022-2023,188269,Off_MF
2022-2023,33901,DF
2022-2023,369546,DF
2022-2023,1134431,Off_MF
2022-2023,1138856,FW
2022-2023,1137670,Off_MF
2022-2023,900671,DF
2022-2023,1106808,FW
2022-2023,980410,MF
2022-2023,1158529,Def_MF
2022-2023,1069703,DF
2022-2023,35532,FW
2022-2023,1108074,Off_MF
2022-2023,993389,DF
2022-2023,267863,DF
2022-2023,1000018,MF
2022-2023,123906,FW
2022-2023,111802,Off_MF
2022-2023,100568,MF
2022-2023,144831,FW
2022-2023,1142612,MF
2022-2023,159675,MF
2022-2023,41963,DF
2022-2023,331575,DF
2022-2023,828971,DF
2022-2023,1401005,FW
2022-2023,152263,DF
2022-2023,1105698,FW
2022-2023,1168646,DF
2022-2023,138546,DF
2022-2023,1014290,FW
2022-2023,1134432,MF
2022-2023,44864,DF
2022-2023,81827,DF
2022-2023,135775,DF
2022-2023,974577,FW
2022-2023,939662,FW
2022-2023,1030829,MF
2022-2023,1049527,FW
2022-2023,958521,DF
2022-2023,40984,DF
2022-2023,1488511,Def_MF
2022-2023,548050,Off_MF
2022-2023,1046323,FW
2022-2023,188365,DF
2022-2023,859024,Off_MF
2022-2023,1082981,FW
2022-2023,227900,DF
2022-2023,914775,DF
2022-2023,1144630,DF
2022-2023,836693,DF
2022-2023,2089,FW
2022-2023,999117,DF
2022-2023,124318,MF
2022-2023,177179,Def_MF
2022-2023,960017,MF
2022-2023,893140,Off_MF
2022-2023,1092074,Off_MF
2022-2023,1142094,MF
2022-2023,1032022,FW
2022-2023,1134532,DF
2022-2023,340509,Off_MF
2022-2023,1101992,MF
2022-2023,149710,Off_MF
2022-2023,175753,FW
2022-2023,1087316,MF
2022-2023,855832,MF
2022-2023,1128638,MF
2022-2023,605510,Off_MF
2022-2023,103289,FW
2022-2023,307082,Off_MF
2022-2023,1129751,DF
2022-2023,826020,DF
2022-2023,111487,DF
2022-2023,361790,Off_MF
2022-2023,970978,DF
2022-2023,1010117,FW
2022-2023,918482,FW
2022-2023,933203,MF
2022-2023,867445,Off_MF
2022-2023,855731,FW
2022-2023,1035515,Off_MF
2022-2023,1462778,DF
2022-2023,1154611,Off_MF
2022-2023,988882,MF
2022-2023,254171,DF
2022-2023,1086346,FW
2022-2023,983816,Off_MF
2022-2023,205028,MF
2022-2023,936234,FW
2022-2023,981046,FW
2022-2023,1012639,DF
2022-2023,318655,DF
2022-2023,559036,MF
2022-2023,1121184,DF
2022-2023,1389689,MF
2022-2023,994197,DF
2022-2023,827386,Off_MF
2022-2023,1001967,DF
2022-2023,1002623,MF
2022-2023,795260,DF
2022-2023,966802,MF
2022-2023,1465190,MF
2022-2023,944208,FW
2022-2023,1138778,DF
2022-2023,27583,FW
2022-2023,869888,FW
2022-2023,1067220,MF
2022-2023,958865,FW
2022-2023,44760,DF
2022-2023,342915,DF
2022-2023,827804,Off_MF
2022-2023,152420,DF
2022-2023,922939,FW
2022-2023,604232,DF
2022-2023,352610,MF
2022-2023,36949,DF
2022-2023,828969,FW
2022-2023,975834,DF
2022-2023,1493253,FW
2022-2023,601962,MF
2022-2023,110781,FW
2022-2023,826139,FW
2022-2023,945806,FW
2022-2023,857480,FW
2022-2023,284395,MF
2022-2023,881132,FW
2022-2023,1394004,Off_MF
2022-2023,924205,FW
2022-2023,855847,FW
2022-2023,153444,DF
2022-2023,1002711,Def_MF
2022-2023,146951,DF
2022-2023,818441,DF
2022-2023,795696,DF
2022-2023,891931,MF
2022-2023,886628,MF
2022-2023,844224,MF
2022-2023,1390575,DF
2022-2023,940371,DF
2022-2023,40677,DF
2022-2023,788284,Off_MF
2022-2023,880742,MF
2022-2023,1386639,FW
2022-2023,1155625,Off_MF
2022-2023,991614,FW
2022-2023,165735,DF
2022-2023,1102863,FW
2022-2023,928672,DF
2022-2023,1100272,FW
2022-2023,1067120,FW
2022-2023,906110,Off_MF
2022-2023,851262,Off_MF
2022-2023,870038,FW
2022-2023,218160,FW
2022-2023,47737,FW
2022-2023,322529,MF
2022-2023,754710,FW
2022-2023,989371,MF
2022-2023,99527,Off_MF
2022-2023,1007962,Off_MF
2022-2023,862373,MF
2022-2023,914276,FW
2022-2023,280439,FW
2022-2023,787448,FW
2022-2023,962877,MF
2022-2023,1063364,DF
2022-2023,220315,MF
2022-2023,1014118,Off_MF
2022-2023,44213,FW
2022-2023,1119586,Def_MF
2022-2023,1017649,FW
2022-2023,796403,Off_MF
2022-2023,1048014,FW
2022-2023,333165,Off_MF
2022-2023,934354,FW
2022-2023,893642,DF
2022-2023,942336,MF
