season,sofa_player_id,Pos
2017-2018,826204,DF
2017-2018,642,MF
2017-2018,77494,DF
2017-2018,320919,FW
2017-2018,13357,DF
2017-2018,814624,MF
2017-2018,41218,Off_MF
2017-2018,41653,DF
2017-2018,788768,DF
2017-2018,4634,MF
2017-2018,910527,FW
2017-2018,107025,FW
2017-2018,868122,FW
2017-2018,308058,FW
2017-2018,541574,DF
2017-2018,86988,DF
2017-2018,221166,Off_MF
2017-2018,302640,DF
2017-2018,169549,FW
2017-2018,254895,FW
2017-2018,51455,FW
2017-2018,209940,Off_MF
2017-2018,519,MF
2017-2018,7636,MF
2017-2018,869936,DF
2017-2018,148566,FW
2017-2018,146217,FW
2017-2018,308526,DF
2017-2018,177295,Off_MF
2017-2018,42892,DF
2017-2018,27013,DF
2017-2018,802149,FW
2017-2018,359640,Off_MF
2017-2018,111962,FW
2017-2018,39226,FW
2017-2018,105614,DF
2017-2018,96372,Off_MF
2017-2018,138281,FW
2017-2018,887581,MF
2017-2018,581032,Off_MF
2017-2018,116853,MF
2017-2018,18379,FW
2017-2018,22200,DF
2017-2018,54330,MF
2017-2018,249407,FW
2017-2018,788097,Off_MF
2017-2018,385386,DF
2017-2018,287643,DF
2017-2018,902657,Off_MF
2017-2018,839819,MF
2017-2018,122922,DF
2017-2018,11378,DF
2017-2018,579042,DF
2017-2018,51372,FW
2017-2018,156019,MF
2017-2018,362682,DF
2017-2018,353138,MF
2017-2018,1204,DF
2017-2018,246999,DF
2017-2018,103012,DF
2017-2018,11068,DF
2017-2018,188335,DF
2017-2018,173929,FW
2017-2018,331449,MF
2017-2018,111487,DF
2017-2018,104922,MF
2017-2018,1990,FW
2017-2018,892539,FW
2017-2018,359754,Off_MF
2017-2018,17761,MF
2017-2018,19593,Off_MF
2017-2018,5544,MF
2017-2018,249435,FW
2017-2018,824200,Off_MF
2017-2018,357596,Off_MF
2017-2018,74068,FW
2017-2018,886286,DF
2017-2018,332,FW
2017-2018,2421,DF
2017-2018,791190,MF
2017-2018,69295,DF
2017-2018,122807,MF
2017-2018,881222,FW
2017-2018,796374,Off_MF
2017-2018,45926,MF
2017-2018,217784,DF
2017-2018,227196,MF
2017-2018,173353,DF
2017-2018,151597,MF
2017-2018,138383,Off_MF
2017-2018,361420,FW
2017-2018,377108,FW
2017-2018,190421,DF
2017-2018,825771,DF
2017-2018,9642,MF
2017-2018,772685,Off_MF
2017-2018,83816,DF
2017-2018,142043,MF
2017-2018,794374,MF
2017-2018,98437,FW
2017-2018,148191,MF
2017-2018,39070,FW
2017-2018,110781,FW
2017-2018,4444,MF
2017-2018,553454,DF
2017-2018,31861,FW
2017-2018,43941,MF
2017-2018,21764,MF
2017-2018,122815,DF
2017-2018,814280,FW
2017-2018,43414,FW
2017-2018,863653,DF
2017-2018,49518,DF
2017-2018,787367,FW
2017-2018,355048,DF
2017-2018,769333,FW
2017-2018,790103,FW
2017-2018,879346,MF
2017-2018,98912,FW
2017-2018,235460,MF
2017-2018,100580,FW
2017-2018,123229,MF
2017-2018,46998,DF
2017-2018,14374,DF
2017-2018,252613,FW
2017-2018,334467,MF
2017-2018,98073,MF
2017-2018,796027,FW
2017-2018,68511,Off_MF
2017-2018,94726,Off_MF
2017-2018,878635,DF
2017-2018,102625,Off_MF
2017-2018,788895,MF
2017-2018,40672,MF
2017-2018,826205,DF
2017-2018,243049,FW
2017-2018,801003,DF
2017-2018,44298,FW
2017-2018,826258,FW
2017-2018,50731,DF
2017-2018,306230,FW
2017-2018,71225,Off_MF
2017-2018,238612,DF
2017-2018,17157,FW
2017-2018,19371,DF
2017-2018,272819,FW
2017-2018,807648,DF
2017-2018,97927,DF
2017-2018,110956,MF
2017-2018,16456,DF
2017-2018,611210,DF
2017-2018,363860,MF
2017-2018,861317,MF
2017-2018,98212,DF
2017-2018,27622,DF
2017-2018,129452,FW
2017-2018,85090,DF
2017-2018,851100,FW
2017-2018,96366,Off_MF
2017-2018,254171,DF
2017-2018,156146,FW
2017-2018,37386,DF
