PlayerId,BX,BY,C
3041,12,1,6
3041,12,2,5
3041,12,3,5
3041,12,4,3
3041,12,5,5
3041,12,6,8
3041,12,7,1
3041,12,8,3
3041,12,9,1
3041,12,10,2
3041,12,11,3
3041,12,12,1
3041,13,0,4
3041,13,2,2
3041,13,3,2
3041,13,5,4
3041,13,6,5
3041,13,7,4
3041,13,10,2
3041,13,13,2
3041,13,15,1
3041,14,4,1
3041,14,6,3
3041,14,7,1
3041,14,8,1
3041,14,9,1
3041,14,10,1
3041,14,12,1
3041,14,13,1
3041,14,15,2
3041,14,17,1
3041,15,8,1
3041,15,12,1
3041,15,16,1
3041,16,10,1
3041,16,11,1
3041,17,10,1
3041,17,11,2
3041,18,9,3
3041,18,10,2
3041,18,12,1
3041,18,14,1
3041,18,15,1
3041,19,3,1
3041,19,7,2
3041,19,10,1
3041,19,16,1
3041,19,17,2
3041,19,18,3
3306,0,7,1
3306,0,8,4
3306,0,18,1
3306,1,3,1
3306,1,4,1
3306,1,7,1
3306,1,8,3
3306,1,10,1
3306,1,11,2
3306,1,12,1
3306,1,13,1
3306,1,19,1
3306,2,1,2
3306,2,10,1
3306,2,11,1
3306,2,12,1
3306,2,13,1
3306,2,16,1
3306,2,17,1
3306,2,18,3
3306,2,19,1
3306,3,12,3
3306,3,19,1
3306,4,1,1
3306,4,2,2
3306,4,12,2
3306,4,13,1
3306,4,17,1
3306,4,18,1
3306,5,0,1
3306,5,1,1
3306,5,3,1
3306,5,4,2
3306,5,6,1
3306,5,9,1
3306,5,11,3
3306,5,12,1
3306,5,13,1
3306,5,14,1
3306,5,15,1
3306,5,16,1
3306,5,19,1
3306,6,0,2
3306,6,1,2
3306,6,2,1
3306,6,4,1
3306,6,5,1
3306,6,6,3
3306,6,8,1
3306,6,9,1
3306,6,10,4
3306,6,11,6
3306,6,12,2
3306,6,13,2
3306,6,14,1
3306,6,15,3
3306,6,16,1
3306,6,17,2
3306,6,18,3
3306,6,19,3
3306,7,1,5
3306,7,2,1
3306,7,5,3
3306,7,6,4
3306,7,8,2
3306,7,9,1
3306,7,11,7
3306,7,12,3
3306,7,13,5
3306,7,14,6
3306,7,15,2
3306,7,16,7
3306,7,17,2
3306,7,18,5
3306,7,19,1
3306,8,1,2
3306,8,2,1
3306,8,3,1
3306,8,4,4
3306,8,5,2
3306,8,6,2
3306,8,7,1
3306,8,8,1
3306,8,9,2
3306,8,11,1
3306,8,12,3
3306,8,13,5
3306,8,14,4
3306,8,15,3
3306,8,16,2
3306,8,17,3
3306,8,18,3
3306,8,19,3
3306,9,0,2
3306,9,1,2
3306,9,2,3
3306,9,3,2
3306,9,4,2
3306,9,5,2
3306,9,6,3
3306,9,7,2
3306,9,8,8
3306,9,9,8
3306,9,10,13
3306,9,11,3
3306,9,12,3
3306,9,13,3
3306,9,14,10
3306,9,15,3
3306,9,16,3
3306,9,17,2
3306,9,18,4
3306,9,19,2
3306,10,1,2
3306,10,2,1
3306,10,3,2
3306,10,5,1
3306,10,6,5
3306,10,7,2
3306,10,8,6
3306,10,9,16
3306,10,10,23
3306,10,11,6
3306,10,13,5
3306,10,14,3
3306,10,15,3
3306,10,17,4
3306,10,18,5
3306,10,19,1
3306,11,1,9
3306,11,2,1
3306,11,3,5
3306,11,4,3
3306,11,5,3
3306,11,6,6
3306,11,7,3
3306,11,8,4
3306,11,9,1
3306,11,10,3
3306,11,11,4
3306,11,12,5
3306,11,13,7
3306,11,14,12
3306,11,15,7
3306,11,16,3
3306,11,17,9
3306,11,18,8
3306,11,19,5
3306,12,0,1
3306,12,1,5
3306,12,2,7
3306,12,3,7
3306,12,4,5
3306,12,5,5
3306,12,6,5
3306,12,7,4
3306,12,8,3
3306,12,9,5
3306,12,10,3
3306,12,11,6
3306,12,12,2
3306,12,13,7
3306,12,14,10
3306,12,15,12
3306,12,16,9
3306,12,17,16
3306,12,18,15
3306,12,19,7
3306,13,0,1
3306,13,1,6
3306,13,2,9
3306,13,3,9
3306,13,4,3
3306,13,5,9
3306,13,6,9
3306,13,7,6
3306,13,8,5
3306,13,9,9
3306,13,10,6
3306,13,11,7
3306,13,12,16
3306,13,13,17
3306,13,14,16
3306,13,15,29
3306,13,16,18
3306,13,17,17
3306,13,18,13
3306,13,19,2
3306,14,0,1
3306,14,1,4
3306,14,2,2
3306,14,3,7
3306,14,4,9
3306,14,5,14
