Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand
Roger Martí,Levante,es La Liga,FW,30,2115,23.5,333.190492272559,Solid Squad Player,,,,
Anthony Martial,Sevilla,es La Liga,FW,25,490,5.4,130.0986394557823,Below Big-5 Level,,,,
Aarón Martín,Mainz 05,de Bundesliga,DF,24,2292,25.5,,,,,254.41852998509344,Solid Squad Player
Jonas Martin,Rennes,fr Ligue 1,MF,31,2105,23.4,,,266.80911680911686,Solid Squad Player,,
Gabriel Martinelli,Arsenal,eng Premier League,FW,20,1860,20.7,425.47378597171553,Top Starter,,,,
Iñigo Martínez,Athletic Club,es La Liga,DF,30,2341,26.0,,,,,396.9202493413019,Solid Squad Player
Javi Martínez,Osasuna,es La Liga,FW,21,879,9.8,185.08470236167025,Below Big-5 Level,,,,
Lautaro Martínez,Inter,it Serie A,FW,23,2282,25.4,690.9134572464158,Top Starter,,,,
Pablo Martínez,Levante,es La Liga,MF,23,656,7.3,,,375.5251141552511,Solid Squad Player,,
Lucas Martínez Quarta,Fiorentina,it Serie A,DF,25,1431,15.9,,,,,444.16491963661764,Top Starter
Gelson Martins,Monaco,fr Ligue 1,FW,26,1905,21.2,288.61240177412685,Solid Squad Player,,,,
Adam Marušić,Lazio,it Serie A,DF,28,2721,30.2,,,,,294.01140821147794,Solid Squad Player
Omar Mascarell,Elche,es La Liga,MF,28,2493,27.7,,,159.15764139590854,Below Big-5 Level,,
Andrea Masiello,Genoa,it Serie A,DF,35,515,5.7,,,,,445.17140805229445,Top Starter
Adam Masina,Watford,eng Premier League,DF,27,1077,12.0,,,,,407.0749094959621,Top Starter
Erhan Mašović,Bochum,de Bundesliga,DF,22,1552,17.2,,,,,477.38747856250916,Top Starter
Roberto Massimo,Stuttgart,de Bundesliga,FW,20,877,9.7,255.18556311413448,Solid Squad Player,,,,
Arthur Masuaku,West Ham,eng Premier League,FW,27,650,7.2,170.91026287058034,Below Big-5 Level,,,,
Jaime Mata,Getafe,es La Liga,FW,32,672,7.5,174.76165280927185,Below Big-5 Level,,,,
Pape Matar Sarr,Metz,fr Ligue 1,MF,18,2129,23.7,,,393.1364275668074,Solid Squad Player,,
