PlayerId,X,Y,GMY,GMZ,Result,xGOT,Minute,Share
580226,21.7,34.7,50.6,0.6,save,0.034,33,0.88
580226,3.4,63.3,52.5,4.4,save,0.246,32,0.88
580226,11.2,50.2,46.3,4.4,save,0.363,23,0.88
580226,12.8,39.7,49.5,1.9,save,0.044,20,0.88
580226,4.2,61.1,52.3,15.2,goal,0.898,82,0.88
580226,25.4,42.6,51.2,30.4,save,0.086,69,0.88
580226,9.5,59.1,50.0,24.1,save,0.028,62,0.88
580226,26.8,54.6,48.3,5.1,goal,0.13,50,0.88
580226,23.4,40.4,50.0,26.6,save,0.029,46,0.88
580226,4.4,45.1,51.8,22.2,save,0.712,36,0.88
580226,7.7,54.1,48.5,31.0,goal,0.148,11,0.88
580226,4.3,39.4,50.0,10.1,save,0.386,11,0.88
580226,11.9,32.2,52.0,26.6,save,0.146,5,0.88
580226,10.0,68.0,51.0,2.5,save,0.08,3,0.88
580226,11.5,50.0,53.9,4.4,goal,0.994,87,0.88
580226,22.7,63.4,49.5,4.4,save,0.025,59,0.88
580226,15.8,34.2,53.2,8.9,save,0.116,57,0.88
580226,9.3,62.9,48.1,5.1,save,0.079,45,0.88
580226,20.1,68.8,53.7,27.8,save,0.603,39,0.88
580226,27.9,49.4,51.0,15.2,save,0.029,31,0.88
580226,26.8,36.2,50.2,3.8,save,0.02,12,0.88
580226,6.2,22.8,54.0,6.3,save,0.13,12,0.88
580226,20.7,54.1,54.3,22.8,save,0.529,90,0.88
580226,20.8,53.6,50.2,25.3,save,0.032,70,0.88
580226,16.6,42.7,52.3,1.9,save,0.121,63,0.88
580226,22.2,56.1,46.6,3.8,goal,0.22,51,0.88
580226,9.6,34.7,46.7,19.0,goal,0.388,34,0.88
580226,11.5,50.0,46.1,19.0,goal,0.993,20,0.88
580226,21.6,71.1,52.5,12.7,save,0.106,16,0.88
580226,15.2,34.4,51.4,2.5,save,0.057,69,0.88
580226,22.1,66.6,50.9,22.8,save,0.048,57,0.88
580226,16.1,49.5,52.9,2.5,save,0.207,19,0.88
580226,7.9,45.3,53.2,7.0,save,0.181,90,0.88
580226,22.1,46.1,50.4,3.2,save,0.027,67,0.88
580226,25.3,67.2,53.4,22.8,save,0.333,66,0.88
580226,8.3,51.1,45.8,7.6,goal,,52,0.88
580226,19.4,56.8,52.0,32.9,save,0.335,52,0.88
580226,1.5,41.3,53.9,15.8,save,0.168,45,0.88
580226,8.5,31.2,52.3,25.3,save,0.11,45,0.88
580226,7.1,69.6,47.2,18.4,save,0.09,81,0.88
580226,17.6,32.3,48.5,4.4,save,0.073,81,0.88
580226,6.5,52.7,48.4,2.5,goal,0.826,74,0.88
580226,11.5,66.5,49.0,22.8,save,0.058,8,0.88
580226,8.7,53.2,49.5,6.3,save,0.263,90,0.88
580226,25.8,34.5,50.8,9.5,save,0.022,73,0.88
580226,7.5,46.5,50.9,9.5,save,0.036,64,0.88
580226,11.3,50.9,49.6,15.2,save,0.022,20,0.88
580226,20.7,76.3,47.1,25.9,save,0.161,15,0.88
580226,12.2,68.0,46.3,1.9,save,0.226,90,0.88
580226,7.9,53.1,46.1,29.7,save,0.686,90,0.88
580226,18.9,50.4,50.5,25.9,save,0.049,18,0.88
580226,14.4,57.5,47.2,2.5,save,0.208,68,0.88
580226,8.0,59.1,52.9,24.1,goal,0.754,7,0.88
580226,7.9,39.5,52.6,3.8,goal,0.399,4,0.88
580226,4.7,66.4,48.5,9.5,save,0.038,90,0.88
580226,8.8,49.0,51.2,13.3,save,0.056,90,0.88
580226,9.7,46.8,51.3,12.0,save,0.467,81,0.88
580226,26.1,34.7,52.5,17.1,save,0.081,49,0.88
580226,28.5,43.9,51.0,8.9,save,0.026,41,0.88
580226,7.7,64.8,47.9,12.7,save,0.243,40,0.88
580226,15.4,48.3,48.4,6.3,save,0.07,33,0.88
580226,9.7,64.5,48.4,5.7,save,0.06,32,0.88
580226,24.1,38.9,50.0,34.2,save,0.047,25,0.88
580226,16.3,44.6,46.4,3.2,save,0.451,19,0.88
580226,14.3,55.8,48.8,3.8,goal,0.376,69,0.88
580226,13.4,34.8,48.3,8.2,save,0.093,55,0.88
580226,14.5,31.3,47.2,3.8,save,0.242,48,0.88
580226,26.0,39.9,52.7,14.6,save,0.089,45,0.88
580226,10.3,65.9,50.5,1.3,save,0.043,39,0.88
580226,15.2,59.3,48.1,4.4,save,0.078,79,0.88
580226,44.9,35.9,50.1,29.7,save,0.036,50,0.88
580226,11.7,32.8,46.3,29.7,goal,0.74,14,0.88
580226,4.2,31.6,53.6,3.8,goal,0.158,8,0.88
580226,18.9,31.6,46.5,21.5,save,0.409,6,0.88
580226,22.2,29.4,47.8,28.5,save,0.204,90,0.88
580226,26.1,19.2,51.5,17.1,goal,0.037,48,0.88
580226,9.7,53.6,49.3,15.8,save,0.102,32,0.88
580226,12.6,34.8,49.9,11.4,save,0.052,10,0.88
580226,17.7,29.3,51.3,32.9,save,0.101,5,0.88
580226,13.9,64.7,48.6,11.4,save,0.033,90,0.88
580226,4.1,53.4,47.1,9.5,goal,0.91,90,0.88
580226,0.9,56.3,46.4,17.7,goal,0.73,70,0.88
580226,5.0,64.6,47.7,5.7,save,0.089,60,0.88
580226,2.7,59.3,48.1,18.4,goal,0.586,43,0.88
580226,8.6,72.4,46.9,5.1,save,0.105,33,0.88
580226,4.3,54.0,49.4,8.9,goal,0.613,26,0.88
580226,19.1,51.3,46.1,6.3,save,0.304,11,0.88
580226,4.7,47.0,51.8,0.6,goal,0.942,84,0.88
580226,4.3,47.2,50.2,13.3,save,0.841,77,0.88
580226,9.3,50.1,53.0,1.9,save,0.94,77,0.88
580226,2.7,50.3,52.3,7.6,goal,0.888,17,0.88
824509,5.2,52.2,53.0,15.2,goal,0.699,90,0.71
824509,16.4,35.0,47.5,22.2,goal,0.198,68,0.71
824509,16.6,50.7,48.6,5.1,save,0.067,17,0.71
824509,9.1,42.7,51.8,5.1,goal,0.521,13,0.71
824509,19.3,53.9,50.0,31.0,save,0.047,1,0.71
824509,17.5,41.0,47.4,12.0,save,0.107,86,0.71
824509,13.6,60.6,49.7,0.6,save,0.138,72,0.71
824509,3.1,43.3,53.8,0.6,save,0.892,36,0.71
824509,16.2,54.6,46.3,28.5,goal,0.466,32,0.71
824509,8.2,39.5,52.6,2.5,save,0.626,61,0.71
