Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,IntensityScore_abs,IntensityBand,GKScore_abs,GKBand
Eric Bailly,Manchester Utd,eng Premier League,DF,22.7,2060,22.9,,,,,613.2429155210366,Top Starter,515.2596295916833,Top Starter,,
Phil Jones,Manchester Utd,eng Premier League,DF,24.9,1585,17.6,,,,,578.8799054632233,Top Starter,530.7602191688047,Top Starter,,
Phil Jagielka,Everton,eng Premier League,DF,34.4,2249,25.0,,,,,626.8005461929653,Top Starter,589.8373404138156,Top Starter,,
Aleksandar Kolarov,Manchester City,eng Premier League,DF,31.1,2533,28.1,,,,,635.5931411977666,Top Starter,586.0892947238567,Top Starter,,
Nathan Aké,Chelsea,eng Premier League,DF,21.9,831,9.2,,,,,510.46794510382176,Top Starter,514.5122226529985,Top Starter,,
David Luiz,Chelsea,eng Premier League,DF,29.7,2956,32.8,,,,,590.8883997420212,Top Starter,450.6919079573367,Top Starter,,
Toby Alderweireld,Tottenham,eng Premier League,DF,27.8,2604,28.9,,,,,448.99252869336993,Top Starter,355.67282821809044,Solid Squad Player,,
Steve Cook,Bournemouth,eng Premier League,DF,25.7,3420,38.0,,,,,633.5548358688206,Top Starter,571.6122029556491,Top Starter,,
Winston Reid,West Ham,eng Premier League,DF,28.5,2589,28.8,,,,,594.6574654381658,Top Starter,496.75405807374665,Top Starter,,
César Azpilicueta,Chelsea,eng Premier League,DF,27.3,3420,38.0,,,,,551.2445069292862,Top Starter,556.3801225642869,Top Starter,,
Ben Mee,Burnley,eng Premier League,DF,27.3,3015,33.5,,,,,622.2446013524515,Top Starter,579.7687085994955,Top Starter,,
Joël Matip,Liverpool,eng Premier League,DF,25.4,2456,27.3,,,,,587.3455162188296,Top Starter,518.8834691064438,Top Starter,,
Danny Rose,Tottenham,eng Premier League,DF,26.5,1533,17.0,,,,,539.4301573376379,Top Starter,556.0353095068472,Top Starter,,
Shkodran Mustafi,Arsenal,eng Premier League,DF,24.7,2275,25.3,,,,,613.6394925791848,Top Starter,670.1564820573174,Top Starter,,
Antonio Valencia,Manchester Utd,eng Premier League,DF,31.4,2483,27.6,,,,,472.19626808989426,Top Starter,451.3665128559625,Top Starter,,
Gary Cahill,Chelsea,eng Premier League,DF,31.0,3296,36.6,,,,,505.5451063287526,Top Starter,467.81632850649163,Top Starter,,
Marcos Rojo,Manchester Utd,eng Premier League,DF,26.8,1660,18.4,,,,,596.5880389269092,Top Starter,522.8566486127955,Top Starter,,
Ashley Williams,Everton,eng Premier League,DF,32.4,3158,35.1,,,,,557.3070911761298,Top Starter,483.0109421659569,Top Starter,,
Alfie Mawson,Swansea City,eng Premier League,DF,23.0,2430,27.0,,,,,553.1434116152757,Top Starter,486.99259429476524,Top Starter,,
Dejan Lovren,Liverpool,eng Premier League,DF,27.5,2554,28.4,,,,,597.3881671144904,Top Starter,580.16932174395,Top Starter,,
Gareth McAuley,West Brom,eng Premier League,DF,37.1,3143,34.9,,,,,621.8439091100053,Top Starter,552.8360582953032,Top Starter,,
Harry Maguire,Hull City,eng Premier League,DF,23.8,2307,25.6,,,,,684.1829135170418,Top Starter,618.8306498147891,Top Starter,,
Kieran Trippier,Tottenham,eng Premier League,DF,26.3,566,6.3,,,,,394.47890190368213,Solid Squad Player,425.66921936759235,Top Starter,,
Michael Keane,Burnley,eng Premier League,DF,24.0,3150,35.0,,,,,585.8664492069383,Top Starter,510.57779968528706,Top Starter,,
Kyle Walker,Tottenham,eng Premier League,DF,26.6,2704,30.0,,,,,541.8894830411996,Top Starter,535.449418208509,Top Starter,,
Eric Dier,Tottenham,eng Premier League,DF,23.0,3044,33.8,,,,,469.9472767640091,Top Starter,432.7116413467673,Top Starter,,
Marcos Alonso,Chelsea,eng Premier League,DF,26.0,2694,29.9,,,,,500.1561010485804,Top Starter,526.0628341009863,Top Starter,,
Marc Muniesa,Stoke City,eng Premier League,DF,24.8,648,7.2,,,,,568.6353935467424,Top Starter,516.2318119758711,Top Starter,,
Laurent Koscielny,Arsenal,eng Premier League,DF,31.3,2823,31.4,,,,,612.1282927576665,Top Starter,645.8229735752309,Top Starter,,
Maya Yoshida,Southampton,eng Premier League,DF,28.4,2070,23.0,,,,,597.0957582742038,Top Starter,574.9488626801468,Top Starter,,
Ben Davies,Tottenham,eng Premier League,DF,23.7,1735,19.3,,,,,454.37405030436645,Top Starter,507.35354518257327,Top Starter,,
Jonny Evans,West Brom,eng Premier League,DF,29.0,2638,29.3,,,,,577.6580989779064,Top Starter,464.9450087535102,Top Starter,,
Calum Chambers,Middlesbrough,eng Premier League,DF,21.9,2250,25.0,,,,,610.4075612922741,Top Starter,592.6708824261881,Top Starter,,
Emre Can,Liverpool,eng Premier League,MF,23.0,2368,26.3,,,503.9526093669362,Top Starter,,,606.2996575010949,Top Starter,,
Christian Fuchs,Leicester City,eng Premier League,DF,30.7,3103,34.5,,,,,564.6278839654312,Top Starter,546.6830170905391,Top Starter,,
Matthew Lowton,Burnley,eng Premier League,DF,27.6,3240,36.0,,,,,589.4889268815778,Top Starter,503.420505617627,Top Starter,,
Ben Gibson,Middlesbrough,eng Premier League,DF,24.0,3420,38.0,,,,,508.21964312353964,Top Starter,358.39851452821085,Solid Squad Player,,
Geoff Cameron,Stoke City,eng Premier League,DF,31.5,1628,18.1,,,,,601.1642403023202,Top Starter,643.4273717940869,Top Starter,,
Curtis Davies,Hull City,eng Premier League,DF,31.8,2137,23.7,,,,,596.9131707374468,Top Starter,615.3603263512473,Top Starter,,
James Collins,West Ham,eng Premier League,DF,33.4,1654,18.4,,,,,591.8470549553097,Top Starter,535.8740036151124,Top Starter,,
Martín Cáceres,Southampton,eng Premier League,DF,29.7,90,1.0,,,,,,,,,,
Per Mertesacker,Arsenal,eng Premier League,DF,32.3,37,0.4,,,,,,,,,,
Carl Jenkinson,Arsenal,eng Premier League,DF,24.9,83,0.9,,,,,,,,,,
Adrian Mariappa,Watford,eng Premier League,DF,30.8,561,6.2,,,,,643.7276845679398,Top Starter,649.5926441899335,Top Starter,,
Leighton Baines,Everton,eng Premier League,DF,32.1,2821,31.3,,,,,436.60286893143154,Top Starter,396.8921117154078,Solid Squad Player,,
Chris Smalling,Manchester Utd,eng Premier League,DF,27.1,1215,13.5,,,,,487.1467713719952,Top Starter,458.672136681794,Top Starter,,
Antonio Barragán,Middlesbrough,eng Premier League,DF,29.6,2196,24.4,,,,,537.5290167017973,Top Starter,466.7974555046862,Top Starter,,
Mamadou Sakho,Crystal Palace,eng Premier League,DF,26.9,687,7.6,,,,,527.5180217644195,Top Starter,415.0071482762771,Top Starter,,
José Fonte,West Ham,eng Premier League,DF,33.0,2935,32.6,,,,,593.0485421453626,Top Starter,534.3315354189118,Top Starter,,
Papy Djilobodji,Sunderland,eng Premier League,DF,28.1,1577,17.5,,,,,632.400932077807,Top Starter,635.6236081234975,Top Starter,,
Luke Shaw,Manchester Utd,eng Premier League,DF,21.5,692,7.7,,,,,507.2951713861861,Top Starter,435.86089003734025,Top Starter,,
John Stones,Manchester City,eng Premier League,DF,22.6,2013,22.4,,,,,573.1594339287659,Top Starter,475.11922520096255,Top Starter,,
Bruno Martins Indi,Stoke City,eng Premier League,DF,24.9,3147,35.0,,,,,521.2619392819578,Top Starter,426.6617157936302,Top Starter,,
Michael Dawson,Hull City,eng Premier League,DF,33.1,1721,19.1,,,,,517.77149303925,Top Starter,413.10467658926973,Top Starter,,
Ashley Young,Manchester Utd,eng Premier League,DF,31.5,756,8.4,,,,,519.9809165602719,Top Starter,433.6452449485714,Top Starter,,
Séamus Coleman,Everton,eng Premier League,DF,28.2,2317,25.7,,,,,433.77307930562824,Top Starter,390.05925510133943,Solid Squad Player,,
Patrick van Aanholt,Crystal Palace,eng Premier League,DF,26.3,2498,27.8,,,,,465.4352609150186,Top Starter,365.8781513496995,Solid Squad Player,,
Ryan Shawcross,Stoke City,eng Premier League,DF,29.2,3150,35.0,,,,,579.5808092002726,Top Starter,532.2448083689513,Top Starter,,
Arthur Masuaku,West Ham,eng Premier League,DF,23.2,971,10.8,,,,,568.1605987656146,Top Starter,542.1460363133056,Top Starter,,
Charlie Daniels,Bournemouth,eng Premier League,DF,30.3,3060,34.0,,,,,442.2398820154226,Top Starter,396.0965357862465,Solid Squad Player,,
Matt Targett,Southampton,eng Premier League,DF,21.3,374,4.2,,,,,,,,,,
Andrea Ranocchia,Hull City,eng Premier League,DF,28.9,1329,14.8,,,,,570.9288557204794,Top Starter,550.4937993006793,Top Starter,,
Erik Pieters,Stoke City,eng Premier League,DF,28.4,3151,35.0,,,,,541.7004682968,Top Starter,529.6700539185988,Top Starter,,
Bernardo Espinosa,Middlesbrough,eng Premier League,DF,27.5,975,10.8,,,,,542.9866120809096,Top Starter,530.8809411148462,Top Starter,,
Matteo Darmian,Manchester Utd,eng Premier League,MF,27.1,1333,14.8,,,268.881546778094,Solid Squad Player,,,553.9991299431945,Top Starter,,
Ramiro Funes Mori,Everton,eng Premier League,DF,25.8,1539,17.1,,,,,618.7848981089455,Top Starter,532.9065455815874,Top Starter,,
Lamine Koné,Sunderland,eng Premier League,DF,27.9,2545,28.3,,,,,542.8082463715356,Top Starter,457.13574696891084,Top Starter,,
Miguel Britos,Watford,eng Premier League,DF,31.5,2283,25.4,,,,,613.622057775498,Top Starter,564.3339074880179,Top Starter,,
Timothy Fosu-Mensah,Manchester Utd,eng Premier League,DF,19.0,96,1.1,,,,,,,,,,
Jack Stephens,Southampton,eng Premier League,DF,22.9,1469,16.3,,,,,467.58247842832293,Top Starter,412.6284915630613,Top Starter,,
Gaël Clichy,Manchester City,eng Premier League,DF,31.4,2125,23.6,,,,,493.67513475153754,Top Starter,484.3164908733704,Top Starter,,
Sebastian Prödl,Watford,eng Premier League,DF,29.5,2771,30.8,,,,,554.0704297848336,Top Starter,421.48208109412315,Top Starter,,
Angelo Ogbonna,West Ham,eng Premier League,DF,28.6,1755,19.5,,,,,571.8794749720907,Top Starter,473.3543846280587,Top Starter,,
Bacary Sagna,Manchester City,eng Premier League,DF,33.9,1345,14.9,,,,,478.9743188754624,Top Starter,504.3453980902878,Top Starter,,
Daniel Ayala,Middlesbrough,eng Premier League,DF,26.2,917,10.2,,,,,576.1767493402947,Top Starter,578.8435285736584,Top Starter,,
Branislav Ivanović,Chelsea,eng Premier League,DF,32.9,584,6.5,,,,,605.6241148082098,Top Starter,586.8155369976294,Top Starter,,
Pablo Zabaleta,Manchester City,eng Premier League,DF,32.0,1059,11.8,,,,,595.4295761984729,Top Starter,577.5044991865384,Top Starter,,
Federico Fernández,Swansea City,eng Premier League,DF,27.9,2430,27.0,,,,,600.5780145343897,Top Starter,519.9001853149415,Top Starter,,
Ragnar Klavan,Liverpool,eng Premier League,DF,31.2,1408,15.6,,,,,482.2791127085668,Top Starter,464.0977342489744,Top Starter,,
Gabriel Paulista,Arsenal,eng Premier League,DF,26.1,1516,16.8,,,,,560.6053442523541,Top Starter,551.1671271335177,Top Starter,,
James Tomkins,Crystal Palace,eng Premier League,DF,27.8,1976,22.0,,,,,560.6341522404178,Top Starter,476.2113467801218,Top Starter,,
Rob Holding,Arsenal,eng Premier League,DF,21.3,810,9.0,,,,,501.83988821973713,Top Starter,500.8218079443746,Top Starter,,
Younès Kaboul,Watford,eng Premier League,DF,31.0,1915,21.3,,,,,616.5692747930447,Top Starter,586.9648173927009,Top Starter,,
Robert Huth,Leicester City,eng Premier League,DF,32.4,2929,32.5,,,,,478.13480430629306,Top Starter,431.46800669413074,Top Starter,,
Scott Dann,Crystal Palace,eng Premier League,DF,29.9,1744,19.4,,,,,556.1566492871898,Top Starter,498.33324681704653,Top Starter,,
Simon Francis,Bournemouth,eng Premier League,DF,31.9,2940,32.7,,,,,608.0282090032816,Top Starter,604.9682195802832,Top Starter,,
Nathaniel Clyne,Liverpool,eng Premier League,DF,25.7,3324,36.9,,,,,344.14654368594375,Solid Squad Player,355.9969405073584,Solid Squad Player,,
Ryan Bertrand,Southampton,eng Premier League,DF,27.4,2508,27.9,,,,,445.7739109888,Top Starter,424.50289915864073,Top Starter,,
Bryan Oviedo,Sunderland,eng Premier League,DF,26.9,1326,14.7,,,,,558.3354574129239,Top Starter,459.65776730022816,Top Starter,,
Craig Dawson,West Brom,eng Premier League,DF,26.7,3278,36.4,,,,,546.5097753805933,Top Starter,565.6759003134375,Top Starter,,
Stephen Ward,Burnley,eng Premier League,DF,31.4,3232,35.9,,,,,573.651851635158,Top Starter,508.3735358936875,Top Starter,,
Jordi Amat,Swansea City,eng Premier League,DF,24.8,1408,15.6,,,,,565.832549356981,Top Starter,486.85886673798666,Top Starter,,
Mason Holgate,Everton,eng Premier League,DF,20.2,1371,15.2,,,,,557.6705898904729,Top Starter,558.6022836811287,Top Starter,,
Kevin Long,Burnley,eng Premier League,DF,26.4,270,3.0,,,,,,,,,,
Nacho Monreal,Arsenal,eng Premier League,DF,30.8,3153,35.0,,,,,534.9947999917014,Top Starter,535.7029319333652,Top Starter,,
Craig Cathcart,Watford,eng Premier League,DF,27.9,1161,12.9,,,,,477.9846498827683,Top Starter,419.5994721219122,Top Starter,,
Kyle Naughton,Swansea City,eng Premier League,DF,28.1,2718,30.2,,,,,533.5545796293314,Top Starter,549.0277709021775,Top Starter,,
Cuco Martina,Southampton,eng Premier League,DF,27.3,591,6.6,,,,,448.5388982907864,Top Starter,411.56116962544974,Top Starter,,
José Holebas,Watford,eng Premier League,DF,32.5,2909,32.3,,,,,529.8687306960422,Top Starter,469.55945220985245,Top Starter,,
Glen Johnson,Stoke City,eng Premier League,DF,32.4,1955,21.7,,,,,536.8528588200008,Top Starter,444.14361254377195,Top Starter,,
George Friend,Middlesbrough,eng Premier League,DF,29.2,1960,21.8,,,,,598.780490636011,Top Starter,580.8910991295934,Top Starter,,
Jack Rodwell,Sunderland,eng Premier League,MF,25.8,1493,16.6,,,311.0765424389467,Solid Squad Player,,,470.96460772678347,Top Starter,,
Kieran Gibbs,Arsenal,eng Premier League,DF,27.3,702,7.8,,,,,478.85166175200953,Top Starter,512.4976059189916,Top Starter,,
Àngel Rangel,Swansea City,eng Premier League,DF,34.2,823,9.1,,,,,586.8855912431595,Top Starter,535.9739711521938,Top Starter,,
Donald Love,Sunderland,eng Premier League,MF,22.1,607,6.7,,,408.63864942695363,Top Starter,,,519.5277093837954,Top Starter,,
Phil Bardsley,Stoke City,eng Premier League,DF,31.5,1170,13.0,,,,,471.5377634805039,Top Starter,428.48262025466283,Top Starter,,
Adam Smith,Bournemouth,eng Premier League,DF,25.7,3099,34.4,,,,,474.33048994546886,Top Starter,469.33009286103294,Top Starter,,
Damien Delaney,Crystal Palace,eng Premier League,DF,35.5,2007,22.3,,,,,548.5317183378626,Top Starter,468.2211093342084,Top Starter,,
Wes Morgan,Leicester City,eng Premier League,DF,32.9,2430,27.0,,,,,534.0630373999032,Top Starter,442.9309555201482,Top Starter,,
Billy Jones,Sunderland,eng Premier League,DF,29.8,2270,25.2,,,,,562.7089274437199,Top Starter,622.0934613181921,Top Starter,,
John O'Shea,Sunderland,eng Premier League,DF,35.7,2160,24.0,,,,,521.021894884894,Top Starter,441.5283697067702,Top Starter,,
Joel Ward,Crystal Palace,eng Premier League,DF,27.2,3418,38.0,,,,,540.5086995852284,Top Starter,498.0259377906365,Top Starter,,
Jesús Navas,Manchester City,eng Premier League,DF,31.1,1058,11.8,,,,,466.930184069146,Top Starter,409.9839054641821,Top Starter,,
Yohan Benalouane,Leicester City,eng Premier League,DF,29.8,920,10.2,,,,,517.567432268421,Top Starter,470.8498556516712,Top Starter,,
Dan Gosling,Bournemouth,eng Premier League,MF,26.9,1357,15.1,,,400.9779952340886,Top Starter,,,578.1764723955542,Top Starter,,
Philipp Wollscheid,Stoke City,eng Premier League,DF,27.8,180,2.0,,,,,,,,,,
Fábio,Middlesbrough,eng Premier League,DF,26.5,1849,20.5,,,,,552.8409508746004,Top Starter,563.4552689961998,Top Starter,,
Allan Nyom,West Brom,eng Premier League,DF,28.6,2637,29.3,,,,,518.9884204502915,Top Starter,431.8846874721298,Top Starter,,
Jason Denayer,Sunderland,eng Premier League,DF,21.5,1878,20.9,,,,,459.7237505638343,Top Starter,387.6901399075082,Solid Squad Player,,
Danny Simpson,Leicester City,eng Premier League,DF,30.0,2990,33.2,,,,,497.7201463309709,Top Starter,434.3261238559497,Top Starter,,
Mike van der Hoorn,Swansea City,eng Premier League,DF,24.2,661,7.3,,,,,624.545634198142,Top Starter,595.1559593001585,Top Starter,,
Héctor Bellerín,Arsenal,eng Premier League,DF,21.8,2499,27.8,,,,,380.8687916636962,Solid Squad Player,343.1769585737383,Solid Squad Player,,
Jon Flanagan,Burnley,eng Premier League,DF,24.0,359,4.0,,,,,,,,,,
Martin Olsson,Swansea City,eng Premier League,DF,28.6,1253,13.9,,,,,395.8823684185517,Solid Squad Player,318.07511699385356,Solid Squad Player,,
Baily Cargill,Bournemouth,eng Premier League,DF,21.2,12,0.1,,,,,,,,,,
Brendan Galloway,West Brom,eng Premier League,DF,20.8,248,2.8,,,,,,,,,,
Axel Tuanzebe,Manchester Utd,eng Premier League,DF,19.1,305,3.4,,,,,,,,,,
James Tarkowski,Burnley,eng Premier League,DF,24.1,556,6.2,,,,,670.8578064938645,Top Starter,654.689952477311,Top Starter,,
Daryl Janmaat,Watford,eng Premier League,DF,27.4,1615,17.9,,,,,413.431328190014,Top Starter,430.19341529788835,Top Starter,,
Andrew Robertson,Hull City,eng Premier League,DF,22.8,2736,30.4,,,,,453.3554513245771,Top Starter,351.9621850246815,Solid Squad Player,,
Jonas Olsson,West Brom,eng Premier League,DF,33.8,591,6.6,,,,,542.9201772736604,Top Starter,395.23841260180365,Solid Squad Player,,
Matthew Pennington,Everton,eng Premier League,DF,22.2,180,2.0,,,,,,,,,,
Ben Chilwell,Leicester City,eng Premier League,DF,20.0,696,7.7,,,,,604.5897696117614,Top Starter,660.3352347908258,Top Starter,,
John Terry,Chelsea,eng Premier League,DF,36.1,494,5.5,,,,,388.2341613108091,Solid Squad Player,376.43141584050153,Solid Squad Player,,
Ola Aina,Chelsea,eng Premier League,DF,20.2,24,0.3,,,,,,,,,,
Christian Kabasele,Watford,eng Premier League,DF,25.9,767,8.5,,,,,538.4745824995339,Top Starter,493.3503378665831,Top Starter,,
Kurt Zouma,Chelsea,eng Premier League,DF,22.2,246,2.7,,,,,,,,,,
Jérémy Pied,Southampton,eng Premier League,DF,27.9,126,1.4,,,,,,,,,,
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,18.2,165,1.8,,,,,,,,,,
Tyrone Mings,Bournemouth,eng Premier League,DF,23.8,506,5.6,,,,,496.7906124181343,Top Starter,483.66877183493705,Top Starter,,
Marcin Wasilewski,Leicester City,eng Premier League,DF,36.6,90,1.0,,,,,,,,,,
Kevin Wimmer,Tottenham,eng Premier League,DF,24.1,356,4.0,,,,,,,,,,
Sam Byram,West Ham,eng Premier League,DF,23.3,1247,13.9,,,,,520.6447687056894,Top Starter,505.0295243378911,Top Starter,,
Javier Manquillo,Sunderland,eng Premier League,DF,22.7,1428,15.9,,,,,468.32425061537896,Top Starter,406.07666955955364,Top Starter,,
Martin Kelly,Crystal Palace,eng Premier League,DF,26.7,2128,23.6,,,,,483.970179160958,Top Starter,462.11764845573737,Top Starter,,
Håvard Nordtveit,West Ham,eng Premier League,DF,26.5,956,10.6,,,,,547.1468974379609,Top Starter,492.68678109129263,Top Starter,,
Ahmed Elmohamady,Hull City,eng Premier League,DF,29.3,2520,28.0,,,,,513.2027238554263,Top Starter,487.43722983878735,Top Starter,,
Stephen Kingsley,Swansea City,eng Premier League,DF,22.4,1036,11.5,,,,,308.8305650676937,Solid Squad Player,249.6781761012989,Solid Squad Player,,
Luis Hernández,Leicester City,eng Premier League,DF,27.7,326,3.6,,,,,,,,,,
Markus Henriksen,Hull City,eng Premier League,DF,24.4,633,7.0,,,,,328.6175385603296,Solid Squad Player,339.99238246150236,Solid Squad Player,,
Alberto Moreno,Liverpool,eng Premier League,DF,24.5,298,3.3,,,,,,,,,,
Aaron Cresswell,West Ham,eng Premier League,DF,27.0,2117,23.5,,,,,374.7642620665467,Solid Squad Player,328.7295144134426,Solid Squad Player,,
Álvaro Arbeloa,West Ham,eng Premier League,DF,34.0,256,2.8,,,,,,,,,,
Paddy McNair,Sunderland,eng Premier League,DF,21.7,354,3.9,,,,,,,,,,
Josh Tymon,Hull City,eng Premier League,DF,17.6,324,3.6,,,,,,,,,,
Lynden Gooch,Sunderland,eng Premier League,DF,21.0,364,4.0,,,,,,,,,,
Jonjoe Kenny,Everton,eng Premier League,DF,19.8,12,0.1,,,,,,,,,,
Mathieu Debuchy,Arsenal,eng Premier League,DF,31.4,16,0.2,,,,,,,,,,
Andrew Eleftheriou,Watford,eng Premier League,DF,19.1,51,0.6,,,,,,,,,,
Brandon Mason,Watford,eng Premier League,DF,19.3,112,1.2,,,,,,,,,,
Omar Elabdellaoui,Hull City,eng Premier League,DF,25.1,616,6.8,,,,,386.6927847811068,Solid Squad Player,285.1247784997774,Solid Squad Player,,
Zeki Fryers,Crystal Palace,eng Premier League,DF,24.3,182,2.0,,,,,,,,,,
Joleon Lescott,Sunderland,eng Premier League,DF,34.4,123,1.4,,,,,,,,,,
Bradley Smith,Bournemouth,eng Premier League,DF,22.7,272,3.0,,,,,,,,,,
James Husband,Middlesbrough,eng Premier League,DF,23.0,59,0.7,,,,,,,,,,
Ainsley Maitland-Niles,Arsenal,eng Premier League,DF,19.3,1,0.0,,,,,,,,,,
Demetri Mitchell,Manchester Utd,eng Premier League,MF,20.0,90,1.0,,,,,,,,,,
Paul Pogba,Manchester Utd,eng Premier League,MF,23.8,2608,29.0,,,671.8060287627286,Top Starter,,,601.1731099476192,Top Starter,,
Philippe Coutinho,Liverpool,eng Premier League,Off_MF,24.6,2243,24.9,830.4630937535701,World Class,,,,,489.0878259991173,Top Starter,,
Josh Harrop,Manchester Utd,eng Premier League,MF,21.0,90,1.0,,,,,,,,,,
Kevin De Bruyne,Manchester City,eng Premier League,Off_MF,25.5,2883,32.0,762.0297653811549,World Class,,,,,461.75653234014936,Top Starter,,
Dimitri Payet,West Ham,eng Premier League,Off_MF,29.8,1513,16.8,675.8178461064837,Top Starter,,,,,408.7220079808153,Top Starter,,
