Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s
Adama Boiro,,,248.77437010310177,1299,14.399999999999999
Adama Bojang,300.3839758125473,,,83,0.9
Adama Camara,,217.79661016949152,,1064,11.8
Adama Diakhaby,207.98490096732408,,,1402,15.5
Adama Mbengue,,,457.2280040968712,2334,25.9
Adama Niane,351.6490299823633,,,2164,24.0
Adama Soumaoro,,,353.874194997317,10000,111.0
Adama Traoré,319.6085471061505,345.1851851851852,,12965,144.0
Adams Akor,360.26757369614506,,,852,9.5
Aday,,,260.6469878399703,2480,27.599999999999998
Adel Mahamoud,47.61904761904761,,,10,0.1
Adel Taarabt,264.5132992986146,,,1615,17.9
Adem Ljajić,394.08477765702867,,,2196,24.400000000000002
Ademola Lookman,442.7756268912669,,,12513,139.0
Adil Aouchiche,355.75898078529667,220.7142857142857,,3126,34.699999999999996
Adil Hamdani,76.19047619047619,,,6,0.1
Adil Rami,,,378.3204836798412,7134,79.19999999999999
Adil Taoui,133.33333333333337,,,25,0.3
Admir Mehmedi,311.61366403434874,,376.6947282736757,4702,52.2
Adnan Januzaj,310.6933053850964,,,7661,85.10000000000001
Ado Onaiwu,301.1520063511079,,,2039,22.6
Adolfo Gaich,242.76503331099246,,,1494,16.6
Adri Bosch,,,361.9047619047618,26,0.3
Adri Embarba,270.29183322845273,,,11229,124.89999999999999
Adrian Baquerin,232.65306122448985,,,49,0.5
Adrian Beck,,380.220501831204,,3095,34.4
Adrian Benedyczak,230.82137787364272,,,580,6.5
Adrian Bernabe,,435.34052522610875,,2646,29.400000000000002
Adrian Fein,,339.6666666666667,,32,0.4
Adrian Grbić,219.87450785807215,,,1535,17.099999999999998
Adrian Mariappa,,,391.90360312649165,5650,62.8
Adrian Niño,219.04761904761904,,,12,0.1
Adrian Stoian,,477.1870604781997,,2133,23.7
Adrien Hunou,399.81899796590153,,,6731,74.7
Adrien Lebeau,505.55555555555554,,520.0,67,0.7
Adrien Louveau,,,241.11111111111111,8,0.1
Adrien Rabiot,318.135817805383,419.4778241846447,,18629,206.9
Adrien Silva,,334.4816400399679,,5936,66.1
Adrien Tameze,,303.2034230294466,362.8194576076045,16821,186.9
Adrien Thomasson,338.925315156741,632.8411633109621,,19507,216.70000000000002
Adrien Truffert,,,317.0430819635022,11943,132.7
Adrià Altimira,,,370.2168020291867,2414,26.800000000000004
Adrià Pedrosa,,,296.64944918858396,9344,103.8
Adrián Diéguez,,,412.528112754809,1184,13.100000000000001
Adrián González,,259.0,,2340,26.0
Adrián Guerrero,,,250.68862632772405,126,1.4
