Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Radu Drăgușin,Tottenham,eng Premier League,DF,2024-2025,13.9,0.0,85.2,0.504,0.144,0.072,0.0,0.0,0.007,0.029,,,0.288,0.432,1.079,1.583,3.525,3.453,44.82
Tim Drexler,Hoffenheim,de Bundesliga,DF,2024-2025,4.0,0.0,85.0,0.5,0.5,0.25,0.0,0.0,0.025,0.0,,,0.25,1.75,0.25,1.5,2.25,2.5,32.0
Domingos Duarte,Getafe,es La Liga,DF,2024-2025,20.7,0.0,78.5,0.145,0.145,0.048,0.048,0.0,0.01,0.005,,,0.097,0.725,0.87,1.353,7.343,3.043,18.019
Marvin Ducksch,Werder Bremen,de Bundesliga,FW,2024-2025,26.9,0.26,61.7,0.967,6.171,0.297,0.297,0.297,0.375,0.316,,,2.268,0.26,0.297,0.372,0.967,2.416,20.0
Ondrej Duda,Hellas Verona,it Serie A,MF,2024-2025,26.6,0.94,78.3,0.865,0.977,0.113,0.038,0.113,0.038,0.12,,,1.203,1.015,1.165,1.053,1.128,7.068,26.729
Duk,Leganés,es La Liga,"MF,FW",2024-2025,2.0,5.0,62.3,5.0,10.5,0.0,0.0,0.0,0.0,0.35,,,2.5,2.0,0.5,2.0,1.0,5.5,32.0
Denzel Dumfries,Inter,it Serie A,"DF,FW",2024-2025,21.7,0.599,72.6,2.535,7.972,0.092,0.323,0.092,0.249,0.147,,,0.968,0.829,0.276,1.429,1.198,2.995,24.608
Alfred Duncan,Venezia,it Serie A,MF,2024-2025,10.6,1.226,81.1,1.038,1.132,0.377,0.0,0.0,0.075,0.104,,,1.038,0.755,0.755,0.66,0.755,4.906,29.34
Lewis Dunk,Brighton,eng Premier League,DF,2024-2025,23.1,0.0,91.0,0.866,0.13,0.087,0.0,0.0,0.035,0.022,,,0.26,0.433,0.563,1.212,3.42,4.502,58.052
Jáder Durán,Aston Villa,eng Premier League,FW,2024-2025,7.1,0.423,70.6,0.986,6.197,0.282,0.986,0.0,0.69,0.028,,,0.563,0.986,0.0,0.704,1.831,2.676,18.732
