Player,Squad,Comp,Pos,Season,90s,Succ_Per90,Cmp%,PrgC_Per90,PrgR_Per90,TB_Per90,Gls_Per90,Ast_Per90,xG_Per90,xAG_Per90,SoT_Per90,SCA_Per90,KP_Per90,TklW_Per90,Int_Per90,Blocks_Per90,Clr_Per90,Recov_Per90,Carries_Per90
Germán Sánchez,Granada,es La Liga,DF,2019-2020,25.5,0.039,78.1,0.118,0.157,0.0,0.078,0.0,0.071,0.02,0.157,0.353,0.196,0.392,1.294,1.137,4.51,4.118,23.961
Javi Sánchez,Valladolid,es La Liga,DF,2019-2020,5.5,0.364,79.9,0.364,0.0,0.0,0.0,0.182,0.091,0.018,0.0,0.909,0.182,0.727,0.727,0.727,4.364,4.182,25.455
Manu Sánchez,Atlético Madrid,es La Liga,DF,2019-2020,3.6,0.556,76.6,3.056,6.111,0.0,0.0,0.0,0.0,0.056,0.0,1.944,1.111,1.944,1.944,0.833,0.278,5.556,31.111
Víctor Sánchez,Espanyol,es La Liga,MF,2019-2020,18.8,0.638,76.6,1.277,2.34,0.0,0.0,0.053,0.021,0.08,0.053,2.766,1.277,1.915,1.436,1.649,1.223,6.223,30.851
Jadon Sancho,Dortmund,de Bundesliga,"FW,MF",2019-2020,25.4,3.031,82.1,5.315,11.732,0.472,0.669,0.63,0.398,0.425,1.102,5.039,2.677,0.433,0.551,0.315,0.236,3.858,50.63
Alex Sandro,Juventus,it Serie A,DF,2019-2020,26.5,1.396,85.1,3.434,3.132,0.075,0.038,0.113,0.03,0.079,0.151,2.943,1.245,0.981,1.774,0.981,1.736,6.113,55.17
Salif Sané,Schalke 04,de Bundesliga,DF,2019-2020,12.5,0.64,84.8,0.88,0.8,0.0,0.16,0.08,0.072,0.048,0.24,0.4,0.16,0.72,1.68,1.52,4.0,5.28,36.48
Luca Sangalli,Real Sociedad,es La Liga,MF,2019-2020,4.1,1.463,74.6,3.171,3.902,0.244,0.0,0.244,0.122,0.122,1.22,3.171,1.951,0.0,0.244,0.732,0.0,8.293,33.902
Ibrahim Sangaré,Toulouse,fr Ligue 1,MF,2019-2020,24.2,1.24,77.6,1.446,0.95,0.207,0.0,0.041,0.083,0.058,0.207,2.686,1.116,2.231,1.612,1.157,2.025,8.017,38.554
Oier Sanjurjo,Osasuna,es La Liga,MF,2019-2020,25.8,0.31,69.9,0.504,1.085,0.0,0.078,0.039,0.093,0.043,0.194,1.705,0.543,1.318,1.357,1.279,1.512,6.744,19.186
Yaya Sanogo,Toulouse,fr Ligue 1,FW,2019-2020,10.1,0.099,64.7,0.396,4.356,0.099,0.297,0.099,0.327,0.059,0.99,1.782,0.792,0.297,0.693,0.396,1.386,2.178,15.05
Morgan Sanson,Marseille,fr Ligue 1,MF,2019-2020,24.1,1.66,80.6,3.983,5.892,0.124,0.207,0.166,0.158,0.133,0.498,3.444,1.286,1.162,0.954,1.618,0.373,6.68,35.394
Nicola Sansone,Bologna,it Serie A,"FW,MF",2019-2020,25.2,1.667,71.9,3.175,7.937,0.278,0.159,0.119,0.393,0.222,0.754,4.603,1.746,0.794,0.437,0.833,0.357,5.556,36.071
Baptiste Santamaria,Angers,fr Ligue 1,MF,2019-2020,27.8,1.115,80.7,1.295,0.576,0.072,0.036,0.036,0.058,0.05,0.396,1.906,0.468,1.906,1.547,0.971,1.295,7.05,25.288
Federico Santander,Bologna,it Serie A,FW,2019-2020,8.6,0.465,65.7,1.512,8.488,0.0,0.116,0.0,0.407,0.105,0.581,3.256,1.512,0.93,0.814,0.349,1.395,3.256,23.605
Davide Santon,Roma,it Serie A,DF,2019-2020,6.9,1.594,87.8,2.464,5.072,0.0,0.0,0.0,0.014,0.014,0.145,1.014,0.145,0.87,1.594,0.29,1.884,5.362,39.565
Samir Santos,Udinese,it Serie A,DF,2019-2020,17.2,0.233,86.2,1.047,0.64,0.058,0.058,0.0,0.041,0.017,0.116,0.756,0.349,1.57,1.919,0.93,3.721,4.942,29.651
Riccardo Saponara,Genoa,it Serie A,"MF,FW",2019-2020,1.9,1.053,72.0,3.158,4.737,0.0,0.0,0.0,0.158,0.053,0.0,4.211,1.053,1.579,0.0,1.053,1.053,7.368,33.684
Riccardo Saponara,Lecce,it Serie A,"MF,FW",2019-2020,10.5,1.905,76.3,5.524,8.0,0.381,0.19,0.381,0.181,0.238,0.857,5.81,3.048,0.762,0.476,0.19,0.667,6.667,41.429
Pablo Sarabia,Paris S-G,fr Ligue 1,"FW,MF",2019-2020,12.9,0.388,77.1,3.178,14.341,0.62,0.31,0.233,0.248,0.302,0.775,3.101,1.473,0.543,0.775,1.473,0.388,3.953,39.457
Marcelo Saracchi,RB Leipzig,de Bundesliga,DF,2019-2020,2.0,1.5,70.3,3.0,3.5,0.0,0.5,0.0,0.15,0.2,0.5,2.0,2.0,3.0,0.5,1.5,2.5,4.5,35.0
Josh Sargent,Werder Bremen,de Bundesliga,FW,2019-2020,15.7,1.146,69.9,1.083,5.032,0.0,0.255,0.127,0.268,0.096,0.828,2.166,0.764,0.382,0.892,1.083,1.338,2.866,22.803
Bouna Sarr,Marseille,fr Ligue 1,"DF,FW",2019-2020,24.0,2.042,80.5,4.292,5.917,0.0,0.042,0.125,0.1,0.075,0.167,2.0,0.583,1.542,1.333,0.708,1.583,5.917,44.042
Ismaila Sarr,Watford,eng Premier League,"FW,MF",2019-2020,22.5,2.089,70.7,4.756,8.889,0.0,0.222,0.178,0.271,0.2,0.578,3.289,1.111,0.444,0.8,0.4,0.444,5.378,30.222
Malang Sarr,Nice,fr Ligue 1,DF,2019-2020,16.2,0.185,90.1,0.802,0.123,0.0,0.062,0.0,0.012,0.006,0.062,0.679,0.123,0.679,2.346,0.617,1.914,5.556,44.815
Sidy Sarr,Nîmes,fr Ligue 1,MF,2019-2020,12.9,0.698,70.5,0.543,1.628,0.0,0.0,0.155,0.124,0.093,0.465,1.938,0.853,1.395,1.163,1.008,1.395,5.736,20.853
Joan Sastre Vanrell,Mallorca,es La Liga,DF,2019-2020,15.1,0.199,67.9,2.781,5.497,0.066,0.0,0.132,0.033,0.139,0.066,1.987,1.06,1.126,1.523,0.53,1.788,4.636,26.623
Téji Savanier,Montpellier,fr Ligue 1,MF,2019-2020,16.9,1.953,74.6,1.657,1.834,0.059,0.355,0.118,0.16,0.148,0.414,4.083,1.657,2.308,2.071,0.592,1.243,9.586,37.574
Stefan Savić,Atlético Madrid,es La Liga,DF,2019-2020,22.0,0.091,81.1,0.227,0.0,0.0,0.0,0.0,0.009,0.0,0.091,0.318,0.091,0.773,1.091,0.727,4.136,4.409,32.5
Fabian Schär,Newcastle Utd,eng Premier League,"DF,MF",2019-2020,18.6,0.86,73.4,1.075,0.323,0.054,0.108,0.0,0.075,0.005,0.323,1.344,0.215,1.129,2.527,1.882,3.978,6.022,28.495
Louis Schaub,Köln,de Bundesliga,MF,2019-2020,6.9,2.899,76.3,3.333,7.101,0.145,0.145,0.145,0.145,0.159,0.725,4.348,1.594,1.739,0.435,1.449,0.29,5.942,31.014
Ezequiel Schelotto,Brighton,eng Premier League,DF,2019-2020,4.0,1.25,69.1,3.75,10.0,0.0,0.0,0.0,0.05,0.0,0.25,1.75,0.0,0.75,1.75,0.75,3.5,6.25,28.5
Patrik Schick,RB Leipzig,de Bundesliga,FW,2019-2020,14.4,1.25,69.9,0.972,8.194,0.208,0.694,0.139,0.5,0.181,1.25,2.639,1.389,0.208,0.139,0.556,1.181,1.25,17.5
Julian Schieber,Augsburg,de Bundesliga,FW,2019-2020,0.5,0.0,78.6,4.0,4.0,0.0,0.0,0.0,0.2,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,18.0
Kingsley Schindler,Köln,de Bundesliga,"FW,MF",2019-2020,9.4,1.064,59.9,1.915,8.404,0.213,0.0,0.213,0.117,0.138,0.319,2.234,1.064,0.532,0.638,0.638,1.809,4.362,19.362
Xaver Schlager,Wolfsburg,de Bundesliga,MF,2019-2020,19.1,1.099,75.1,2.042,2.147,0.209,0.052,0.105,0.073,0.115,0.366,2.094,0.785,1.518,0.89,0.838,0.628,8.22,28.743
Keven Schlotterbeck,Union Berlin,de Bundesliga,DF,2019-2020,21.5,0.465,78.9,0.233,0.047,0.0,0.0,0.0,0.042,0.0,0.14,0.372,0.047,1.256,1.86,1.86,5.256,6.558,25.07
Nico Schlotterbeck,Freiburg,de Bundesliga,DF,2019-2020,4.1,0.732,75.2,1.463,0.732,0.0,0.0,0.0,0.049,0.049,0.244,1.463,0.732,0.732,0.732,1.707,4.878,6.829,29.512
Jeffrey Schlupp,Crystal Palace,eng Premier League,"FW,MF",2019-2020,11.5,1.13,73.0,2.0,4.609,0.087,0.261,0.087,0.148,0.07,0.783,1.739,0.609,0.783,1.13,0.957,1.304,3.652,21.304
Marcel Schmelzer,Dortmund,de Bundesliga,DF,2019-2020,0.7,0.0,80.0,1.429,5.714,0.0,1.429,1.429,0.571,0.143,1.429,4.286,2.857,1.429,1.429,0.0,2.857,4.286,51.429
Jonathan Schmid,Freiburg,de Bundesliga,DF,2019-2020,31.5,0.444,73.8,1.619,4.508,0.032,0.159,0.032,0.105,0.079,0.476,2.571,0.857,0.857,1.111,0.73,2.667,4.571,27.714
Manuel Schmiedebach,Union Berlin,de Bundesliga,MF,2019-2020,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5,0.5,1.5,5.5,13.0
Benno Schmitz,Köln,de Bundesliga,DF,2019-2020,12.9,0.078,69.7,1.473,3.643,0.078,0.0,0.0,0.008,0.085,0.0,2.171,1.163,1.318,1.24,0.853,2.093,5.891,28.527
Morgan Schneiderlin,Everton,eng Premier League,MF,2019-2020,11.1,0.27,84.9,0.36,0.27,0.09,0.0,0.0,0.018,0.009,0.0,1.532,0.36,1.982,1.892,1.171,1.802,4.955,35.676
Lasse Schöne,Genoa,it Serie A,MF,2019-2020,27.0,1.111,83.4,1.407,1.407,0.148,0.074,0.111,0.133,0.17,0.333,3.148,1.519,0.963,1.37,0.815,0.926,6.185,42.444
Sebastian Schonlau,Paderborn 07,de Bundesliga,DF,2019-2020,23.0,0.391,87.6,0.609,0.13,0.043,0.087,0.0,0.07,0.009,0.174,0.957,0.174,1.87,1.739,1.565,6.0,6.391,48.13
Alessandro Schöpf,Schalke 04,de Bundesliga,MF,2019-2020,15.9,1.447,80.4,2.138,5.346,0.0,0.0,0.063,0.069,0.075,0.252,2.138,0.692,1.006,1.635,1.069,0.503,6.855,31.761
Jerdy Schouten,Bologna,it Serie A,MF,2019-2020,12.0,1.417,82.4,1.083,0.667,0.083,0.0,0.0,0.017,0.025,0.083,2.25,0.75,1.333,2.167,1.583,1.833,6.167,29.167
Nico Schulz,Dortmund,de Bundesliga,"DF,MF",2019-2020,6.6,1.364,84.9,3.636,9.091,0.0,0.152,0.0,0.061,0.015,0.152,1.667,0.455,1.061,1.364,2.121,1.364,5.152,44.697
Matteo Scozzarella,Parma,it Serie A,MF,2019-2020,10.2,0.588,76.4,1.176,0.196,0.098,0.0,0.294,0.01,0.078,0.098,2.745,1.373,1.471,2.647,1.863,2.745,7.451,30.098
Aleksandar Sedlar,Mallorca,es La Liga,DF,2019-2020,9.0,0.333,81.5,0.444,0.333,0.0,0.0,0.0,0.011,0.0,0.111,0.667,0.111,0.667,1.778,1.889,3.444,4.778,29.444
Davie Selke,Hertha BSC,de Bundesliga,FW,2019-2020,10.7,0.467,58.7,1.495,5.421,0.0,0.093,0.093,0.187,0.065,0.28,1.682,0.467,0.28,0.093,0.654,1.028,1.776,14.112
Davie Selke,Werder Bremen,de Bundesliga,FW,2019-2020,5.1,0.392,62.4,1.569,8.627,0.0,0.0,0.0,0.275,0.039,0.98,1.569,0.784,0.0,0.0,0.196,0.392,2.549,23.137
Ken Sema,Udinese,it Serie A,"DF,MF",2019-2020,27.3,1.868,71.7,3.004,6.007,0.0,0.073,0.037,0.022,0.143,0.147,2.894,1.429,1.502,0.623,0.952,1.502,4.469,27.436
Nélson Semedo,Barcelona,es La Liga,DF,2019-2020,23.3,2.06,88.4,3.047,6.609,0.043,0.043,0.086,0.026,0.09,0.086,1.33,0.515,1.288,0.944,0.773,1.288,5.494,52.189
Alessandro Semprini,Brescia,it Serie A,DF,2019-2020,7.0,0.857,76.2,2.0,2.714,0.0,0.143,0.0,0.129,0.029,0.143,1.857,0.857,0.571,1.286,1.429,2.286,4.286,29.714
Josep Señé,Mallorca,es La Liga,MF,2019-2020,1.7,1.765,92.0,1.765,0.588,0.0,0.0,0.0,0.059,0.059,0.588,4.118,1.765,0.588,0.0,1.176,1.176,4.118,41.176
Stefano Sensi,Inter,it Serie A,MF,2019-2020,8.0,1.5,80.2,2.75,9.25,0.0,0.375,0.25,0.175,0.212,1.25,5.5,1.75,1.25,1.125,1.875,0.5,6.0,41.5
Suat Serdar,Schalke 04,de Bundesliga,MF,2019-2020,17.8,2.978,74.9,1.798,2.921,0.337,0.393,0.0,0.174,0.056,0.787,1.966,0.618,2.079,1.348,2.191,0.393,9.157,25.955
Ryan Sessegnon,Tottenham,eng Premier League,"DF,FW",2019-2020,3.8,1.053,74.0,3.421,6.316,0.0,0.0,0.0,0.026,0.026,0.0,1.053,0.526,1.053,0.789,0.0,3.158,4.737,39.737
Salva Sevilla,Mallorca,es La Liga,MF,2019-2020,28.5,0.316,82.2,1.474,0.807,0.14,0.175,0.105,0.133,0.179,0.386,3.965,2.07,0.737,1.018,0.596,0.596,6.035,37.404
Yevhen Shakhov,Lecce,it Serie A,"MF,FW",2019-2020,12.1,0.992,82.9,0.992,4.628,0.0,0.083,0.165,0.074,0.165,0.413,2.479,1.157,1.322,1.157,0.909,0.744,4.793,24.132
Xherdan Shaqiri,Liverpool,eng Premier League,"FW,MF",2019-2020,2.1,0.952,80.9,0.476,7.143,0.0,0.476,0.0,0.238,0.095,0.476,2.381,1.429,0.0,0.0,0.0,0.0,7.143,44.286
Billy Sharp,Sheffield Utd,eng Premier League,FW,2019-2020,11.7,1.368,70.5,1.538,9.06,0.0,0.256,0.171,0.325,0.197,0.598,2.65,1.197,0.427,0.085,0.171,0.171,3.846,18.718
Luke Shaw,Manchester Utd,eng Premier League,DF,2019-2020,19.3,1.14,85.4,3.109,5.337,0.052,0.0,0.0,0.036,0.073,0.259,2.435,1.036,0.933,1.244,1.347,2.902,4.767,40.829
Jonjo Shelvey,Newcastle Utd,eng Premier League,MF,2019-2020,23.5,0.638,72.0,0.936,1.191,0.213,0.255,0.085,0.106,0.153,0.596,3.489,1.915,0.809,0.979,0.596,1.617,5.915,30.383
Gen Shoji,Toulouse,fr Ligue 1,DF,2019-2020,0.5,0.0,85.4,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,6.0,56.0
Djibril Sidibé,Everton,eng Premier League,"DF,MF",2019-2020,20.3,0.69,76.7,3.005,5.025,0.246,0.0,0.197,0.02,0.113,0.148,2.217,0.936,2.167,1.97,0.936,2.02,7.291,38.325
Kalidou Sidibé,Toulouse,fr Ligue 1,MF,2019-2020,1.0,0.0,88.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,7.0,29.0
Sidnei,Betis,es La Liga,DF,2019-2020,13.1,0.382,89.5,1.145,0.0,0.076,0.076,0.0,0.023,0.0,0.153,0.84,0.076,1.45,1.603,1.145,4.351,5.878,45.344
Gylfi Sigurðsson,Everton,eng Premier League,MF,2019-2020,28.4,0.563,77.0,0.951,2.57,0.106,0.07,0.106,0.141,0.148,0.423,3.204,1.796,0.915,1.303,1.056,0.599,5.176,25.352
Luca Siligardi,Parma,it Serie A,"MF,FW",2019-2020,3.7,2.162,65.2,2.432,7.838,0.0,0.0,0.27,0.162,0.054,0.811,2.162,1.081,0.541,0.811,0.811,1.351,8.378,32.432
Adrien Silva,Monaco,fr Ligue 1,MF,2019-2020,13.6,1.544,85.5,1.029,1.544,0.074,0.0,0.147,0.044,0.154,0.221,2.721,1.103,1.618,0.882,1.397,1.029,6.471,37.574
André Silva,Milan,it Serie A,FW,2019-2020,0.7,1.429,75.0,1.429,7.143,0.0,0.0,0.0,0.286,0.0,0.0,1.429,0.0,1.429,0.0,0.0,0.0,1.429,22.857
André Silva,Eint Frankfurt,de Bundesliga,FW,2019-2020,17.5,0.971,67.8,2.457,8.057,0.171,0.686,0.171,0.617,0.274,1.143,3.543,1.771,0.114,0.457,0.514,0.229,3.029,21.943
Bernardo Silva,Manchester City,eng Premier League,"FW,MF",2019-2020,22.6,1.77,87.1,5.177,11.46,0.044,0.265,0.31,0.265,0.221,0.664,4.867,2.257,0.796,1.062,1.106,0.575,5.708,55.575
David Silva,Manchester City,eng Premier League,MF,2019-2020,20.3,1.626,87.2,4.039,8.621,0.591,0.296,0.493,0.315,0.32,0.887,5.862,2.365,0.69,0.64,0.887,0.246,4.236,60.345
Gabriel Silva,Saint-Étienne,fr Ligue 1,DF,2019-2020,2.6,0.0,67.3,2.692,1.923,0.0,0.0,0.0,0.0,0.0,0.0,1.154,0.385,0.385,1.538,0.769,3.077,5.385,23.077
Jonathan Silva,Leganés,es La Liga,DF,2019-2020,30.9,0.485,66.9,1.618,4.304,0.032,0.032,0.065,0.042,0.087,0.129,2.006,0.971,1.1,1.1,0.388,1.489,4.142,23.754
Matheus Pereira da Silva,Dijon,fr Ligue 1,"MF,FW",2019-2020,5.2,0.577,71.0,1.731,4.808,0.192,0.0,0.0,0.154,0.096,0.577,3.269,1.731,1.154,1.154,2.115,0.962,5.769,28.462
Thiago Silva,Paris S-G,fr Ligue 1,DF,2019-2020,17.5,0.114,95.3,0.571,0.057,0.057,0.0,0.0,0.023,0.0,0.114,1.029,0.0,0.914,1.486,1.029,3.086,6.571,55.943
Mohamed Simakan,Strasbourg,fr Ligue 1,DF,2019-2020,16.7,0.958,76.0,1.796,1.497,0.0,0.0,0.0,0.03,0.042,0.18,1.617,0.599,1.916,1.856,0.838,1.497,5.269,37.844
Giovanni Simeone,Cagliari,it Serie A,FW,2019-2020,32.5,0.985,66.9,1.262,5.815,0.092,0.369,0.092,0.363,0.071,0.923,1.231,0.554,0.4,0.338,0.738,0.492,1.692,16.708
Moses Simon,Nantes,fr Ligue 1,"FW,MF",2019-2020,24.2,1.488,72.3,5.95,9.587,0.083,0.207,0.207,0.273,0.194,0.744,3.14,1.488,0.289,0.331,0.248,0.248,3.554,27.025
Jack Simpson,Bournemouth,eng Premier League,DF,2019-2020,2.7,1.481,70.1,0.0,1.111,0.0,0.0,0.0,0.0,0.037,0.0,0.37,0.37,0.741,0.741,0.37,4.444,6.667,24.444
Sarpreet Singh,Bayern Munich,de Bundesliga,"FW,MF",2019-2020,0.8,0.0,75.9,1.25,6.25,1.25,0.0,0.0,0.125,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,3.75,31.25
Wilfried Singo,Torino,it Serie A,DF,2019-2020,1.5,2.0,77.5,3.333,9.333,0.0,0.667,0.0,0.067,0.133,0.667,4.0,2.0,0.0,0.667,0.0,1.333,6.667,32.667
Daley Sinkgraven,Leverkusen,de Bundesliga,"DF,MF",2019-2020,10.1,1.287,83.8,1.782,2.871,0.297,0.0,0.099,0.0,0.04,0.0,1.782,0.891,1.584,0.99,1.188,1.584,5.941,44.455
Dimitris Siovas,Leganés,es La Liga,DF,2019-2020,21.3,0.329,68.4,0.563,0.282,0.047,0.0,0.0,0.052,0.005,0.188,0.751,0.141,1.455,2.16,0.657,3.239,5.07,20.563
Ibrahima Sissoko,Strasbourg,fr Ligue 1,MF,2019-2020,17.8,0.562,81.8,2.472,2.697,0.0,0.0,0.056,0.045,0.051,0.056,2.022,0.787,1.517,1.124,0.787,1.404,6.292,29.045
Moussa Sissoko,Tottenham,eng Premier League,MF,2019-2020,27.2,1.471,85.9,2.647,2.132,0.11,0.074,0.037,0.081,0.04,0.147,1.36,0.588,0.919,0.993,0.699,1.581,7.5,37.279
Pione Sisto,Celta Vigo,es La Liga,"FW,MF",2019-2020,9.9,2.424,76.6,3.636,9.899,0.202,0.202,0.0,0.202,0.061,1.515,2.727,0.909,0.808,0.606,1.818,0.404,5.051,42.727
Ellyes Skhiri,Köln,de Bundesliga,MF,2019-2020,29.7,0.741,85.1,0.909,1.65,0.067,0.034,0.101,0.074,0.084,0.168,2.088,0.673,1.751,2.256,1.582,1.111,7.744,30.606
Oliver Skipp,Tottenham,eng Premier League,MF,2019-2020,0.9,0.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,3.333,0.0,5.556,30.0
Andreas Skov Olsen,Bologna,it Serie A,"FW,MF",2019-2020,8.4,1.429,71.2,4.881,12.381,0.0,0.119,0.0,0.25,0.071,0.833,2.5,0.952,0.952,0.952,1.19,0.595,6.19,37.262
Robert Skov,Hoffenheim,de Bundesliga,"DF,FW",2019-2020,29.0,1.379,73.9,3.862,5.483,0.069,0.138,0.241,0.19,0.214,0.621,3.379,1.897,0.966,0.69,0.897,1.379,4.414,30.0
Simon Skrabb,Brescia,it Serie A,"FW,MF",2019-2020,2.9,1.034,70.2,1.034,9.31,0.0,0.0,0.0,0.034,0.172,0.345,1.724,0.69,2.069,0.0,1.379,1.034,3.793,26.207
Milan Škriniar,Inter,it Serie A,DF,2019-2020,29.2,0.24,92.0,1.096,0.445,0.0,0.0,0.0,0.034,0.017,0.137,1.13,0.274,0.685,0.959,0.651,2.911,5.582,45.274
Steven Skrzybski,Düsseldorf,de Bundesliga,"FW,MF",2019-2020,5.9,0.847,65.9,1.695,8.136,0.0,0.169,0.339,0.237,0.051,0.169,2.034,1.017,0.678,1.695,1.695,0.678,4.407,19.153
Petar Škuletić,Montpellier,fr Ligue 1,"FW,MF",2019-2020,1.2,0.0,66.7,0.0,4.167,0.0,0.0,0.0,0.917,0.083,0.833,3.333,0.833,3.333,0.0,0.0,0.833,1.667,13.333
Islam Slimani,Monaco,fr Ligue 1,FW,2019-2020,14.3,0.559,67.9,1.399,9.93,0.559,0.629,0.49,0.629,0.301,1.329,3.706,2.238,0.28,0.07,0.35,0.769,2.937,29.93
William Smallbone,Southampton,eng Premier League,MF,2019-2020,4.4,0.0,82.2,0.909,2.955,0.0,0.0,0.455,0.068,0.045,0.0,2.045,0.682,1.136,0.227,1.591,0.455,7.273,29.318
Chris Smalling,Roma,it Serie A,DF,2019-2020,28.5,0.246,90.3,0.456,0.421,0.0,0.105,0.07,0.067,0.025,0.175,1.053,0.351,0.561,1.965,1.544,4.421,5.053,30.351
Adam Smith,Bournemouth,eng Premier League,DF,2019-2020,22.8,1.053,79.2,3.289,3.026,0.0,0.0,0.044,0.035,0.048,0.044,1.36,0.439,1.404,1.096,1.184,2.807,4.035,32.105
Emile Smith Rowe,Arsenal,eng Premier League,MF,2019-2020,1.1,1.818,83.3,3.636,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.909,0.0,1.818,4.545,29.091
Fyodor Smolov,Celta Vigo,es La Liga,FW,2019-2020,8.3,1.084,67.0,2.651,6.024,0.0,0.241,0.0,0.241,0.012,0.723,1.928,0.482,0.12,0.843,0.723,1.084,1.807,21.205
Robert Snodgrass,West Ham,eng Premier League,"MF,FW",2019-2020,16.8,1.131,67.0,2.619,6.964,0.179,0.298,0.298,0.149,0.19,0.595,3.274,1.964,0.952,0.238,0.714,0.655,6.012,24.226
Cédric Soares,Arsenal,eng Premier League,"MF,DF",2019-2020,2.8,0.714,71.1,2.143,8.929,0.0,0.357,0.0,0.0,0.0,0.357,1.786,0.357,2.143,1.071,1.071,1.429,3.571,30.0
Cédric Soares,Southampton,eng Premier League,DF,2019-2020,14.5,0.276,69.6,2.0,3.172,0.069,0.0,0.069,0.041,0.048,0.276,1.724,0.759,1.793,1.31,1.241,3.517,4.069,23.448
Rafa Soares,Eibar,es La Liga,DF,2019-2020,4.8,0.0,66.1,1.25,2.708,0.0,0.0,0.0,0.0,0.083,0.0,2.5,1.458,1.042,0.417,0.208,1.25,6.25,19.792
Lasse Sobiech,Köln,de Bundesliga,DF,2019-2020,1.0,0.0,53.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,4.0,16.0
Marcel Sobottka,Düsseldorf,de Bundesliga,MF,2019-2020,7.8,0.385,81.8,0.256,1.282,0.0,0.0,0.128,0.038,0.038,0.128,0.641,0.385,1.282,1.154,1.154,1.538,3.974,18.59
Rubén Sobrino,Valencia,es La Liga,"FW,MF",2019-2020,1.9,2.632,67.4,5.789,5.789,0.526,0.526,0.0,0.316,0.158,1.579,2.632,1.579,2.632,0.0,0.526,0.526,4.737,27.368
Dominic Solanke,Bournemouth,eng Premier League,FW,2019-2020,18.3,1.421,68.6,1.913,5.956,0.0,0.164,0.055,0.251,0.066,0.437,2.35,0.82,0.219,0.437,0.492,0.984,4.536,22.842
Roberto Soldado,Granada,es La Liga,FW,2019-2020,26.1,0.421,67.6,0.651,4.713,0.077,0.268,0.153,0.195,0.142,0.498,1.877,1.073,0.345,0.153,0.613,0.613,2.031,16.782
Carlos Soler,Valencia,es La Liga,MF,2019-2020,23.0,0.652,78.4,1.261,3.783,0.13,0.087,0.0,0.074,0.061,0.174,1.826,0.652,0.435,0.391,0.696,0.609,3.565,24.261
Bruno Soriano,Villarreal,es La Liga,"MF,FW",2019-2020,2.9,0.345,93.8,0.69,0.345,0.0,0.0,0.0,0.103,0.0,0.345,1.379,0.0,0.0,0.345,1.379,2.414,7.241,64.138
Roberto Soriano,Bologna,it Serie A,MF,2019-2020,27.4,1.058,84.7,3.54,4.526,0.182,0.182,0.182,0.157,0.175,0.584,4.234,1.971,0.912,0.62,0.693,0.839,4.015,35.985
Riccardo Sottil,Fiorentina,it Serie A,"FW,DF",2019-2020,5.7,2.982,78.5,5.614,10.175,0.0,0.0,0.0,0.175,0.088,1.404,4.737,0.877,0.702,0.0,0.702,0.0,3.333,36.316
Tomáš Souček,West Ham,eng Premier League,MF,2019-2020,11.6,0.0,69.4,0.259,1.466,0.0,0.259,0.0,0.241,0.026,0.603,1.207,0.431,1.293,1.897,0.603,3.017,4.138,21.81
Adama Soumaoro,Genoa,it Serie A,DF,2019-2020,7.1,0.0,92.4,0.0,0.141,0.0,0.141,0.0,0.056,0.014,0.141,0.141,0.282,0.282,1.549,1.69,4.507,4.93,33.099
Adama Soumaoro,Lille,fr Ligue 1,DF,2019-2020,4.6,0.217,96.3,0.435,0.0,0.0,0.217,0.0,0.174,0.0,0.435,0.87,0.0,0.217,0.87,1.304,3.696,5.652,50.87
Boubakary Soumaré,Lille,fr Ligue 1,MF,2019-2020,13.5,1.481,89.3,1.556,1.556,0.0,0.0,0.0,0.0,0.044,0.0,1.852,0.889,0.889,1.185,0.444,0.667,6.296,40.37
Bryan Soumaré,Dijon,fr Ligue 1,"MF,FW",2019-2020,4.3,2.093,67.6,2.326,5.349,0.233,0.0,0.0,0.116,0.116,0.93,3.256,1.163,0.233,0.465,0.233,0.233,5.116,26.047
Arnaud Souquet,Montpellier,fr Ligue 1,"DF,FW",2019-2020,22.4,1.027,75.1,1.964,6.116,0.0,0.089,0.0,0.027,0.045,0.179,1.92,0.536,1.786,0.759,0.893,1.964,5.804,25.268
Djibril Sow,Eint Frankfurt,de Bundesliga,MF,2019-2020,19.4,0.361,80.7,1.907,3.144,0.0,0.052,0.155,0.088,0.139,0.155,2.732,1.289,1.701,1.546,0.773,0.464,5.464,28.041
Çağlar Söyüncü,Leicester City,eng Premier League,DF,2019-2020,33.7,0.504,89.1,0.653,0.148,0.0,0.03,0.03,0.062,0.024,0.148,0.623,0.119,1.187,1.276,1.039,4.629,5.786,52.789
