Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand,Season
Michail Antonio,West Ham,eng Premier League,FW,27.0,1354,15.0,299.1550417247012,Solid Squad Player,,,,,2017-2018
Mirko Antonucci,Roma,it Serie A,FW,18.0,31,0.3,,,,,,,2017-2018
Vitorino Antunes,Getafe,es La Liga,DF,30.0,2799,31.1,,,,,648.6690964720768,Top Starter,2017-2018
Dennis Aogo,Stuttgart,de Bundesliga,MF,30.0,1954,21.7,,,598.6475953259135,Top Starter,,,2017-2018
Houssem Aouar,Lyon,fr Ligue 1,MF,19.0,2433,27.0,,,833.7627192081957,World Class,,,2017-2018
Alberto Aquilani,Las Palmas,es La Liga,MF,33.0,1297,14.4,,,378.8500821806206,Solid Squad Player,,,2017-2018
Mauro Arambarri,Getafe,es La Liga,MF,21.0,2124,23.6,,,339.97846364181567,Solid Squad Player,,,2017-2018
Guilherme Arana,Sevilla,es La Liga,DF,20.0,193,2.1,,,,,,,2017-2018
Charles Aránguiz,Leverkusen,de Bundesliga,MF,28.0,2302,25.6,,,597.7158895107086,Top Starter,,,2017-2018
Luiz Araújo,Lille,fr Ligue 1,FW,21.0,2018,22.4,389.6538349421477,Solid Squad Player,,,,,2017-2018
Sergio Araujo,Las Palmas,es La Liga,Off_MF,25.0,39,0.4,,,,,,,2017-2018
Anaitz Arbilla,Eibar,es La Liga,DF,30.0,2414,26.8,,,,,671.3402295896968,Top Starter,2017-2018
Scott Arfield,Burnley,eng Premier League,Off_MF,28.0,1333,14.8,226.9133838143714,Solid Squad Player,,,,,2017-2018
Samuel Armenteros,Benevento,it Serie A,FW,27.0,429,4.8,,,,,,,2017-2018
Yoël Armougom,Caen,fr Ligue 1,DF,19.0,139,1.5,,,,,,,2017-2018
José Arnaiz,Barcelona,es La Liga,Off_MF,22.0,6,0.1,,,,,,,2017-2018
Marko Arnautović,West Ham,eng Premier League,FW,28.0,2313,25.7,595.9097270760785,Top Starter,,,,,2017-2018
Maximilian Arnold,Wolfsburg,de Bundesliga,MF,23.0,2454,27.3,,,492.80858714493706,Top Starter,,,2017-2018
Jann-Fiete Arp,Hamburger SV,de Bundesliga,FW,17.0,850,9.4,230.038786828524,Solid Squad Player,,,,,2017-2018
Alejandro Arribas,La Coruña,es La Liga,DF,28.0,270,3.0,,,,,,,2017-2018
Sergio Arribas,Leganés,es La Liga,Def_MF,22.0,23,0.3,,,,,,,2017-2018
Harry Arter,Bournemouth,eng Premier League,MF,27.0,960,10.7,,,352.4854060729758,Solid Squad Player,,,2017-2018
Aythami Artiles,Las Palmas,es La Liga,DF,31.0,184,2.0,,,,,,,2017-2018
Kwadwo Asamoah,Juventus,it Serie A,DF,28.0,1568,17.4,,,,,526.4327517492826,Top Starter,2017-2018
Takuma Asano,Stuttgart,de Bundesliga,FW,22.0,721,8.0,268.7791375291376,Solid Squad Player,,,,,2017-2018
Santiago Ascacíbar,Stuttgart,de Bundesliga,MF,20.0,2381,26.5,,,341.4804802024266,Solid Squad Player,,,2017-2018
Marco Asensio,Real Madrid,es La Liga,FW,21.0,1844,20.5,616.1183275432313,Top Starter,,,,,2017-2018
Iago Aspas,Celta Vigo,es La Liga,FW,29.0,2936,32.6,793.758255236631,World Class,,,,,2017-2018
Benoît Assou-Ekotto,Metz,fr Ligue 1,DF,33.0,1051,11.7,,,,,529.7214737742866,Top Starter,2017-2018
Simon Asta,Augsburg,de Bundesliga,Def_MF,16.0,11,0.1,,,,,,,2017-2018
Davide Astori,Fiorentina,it Serie A,DF,30.0,2250,25.0,,,,,746.763443675912,Top Starter,2017-2018
Christian Atsu,Newcastle Utd,eng Premier League,FW,25.0,1784,19.8,297.2894070206201,Solid Squad Player,,,,,2017-2018
Pierre-Emerick Aubameyang,Arsenal,eng Premier League,FW,28.0,1057,11.7,820.8547730219558,World Class,,,,,2017-2018
Pierre-Emerick Aubameyang,Dortmund,de Bundesliga,FW,28.0,1416,15.7,765.6584349570093,World Class,,,,,2017-2018
Jean-Kévin Augustin,RB Leipzig,de Bundesliga,FW,20.0,1266,14.1,714.3156212881529,Top Starter,,,,,2017-2018
Ludwig Augustinsson,Werder Bremen,de Bundesliga,DF,23.0,2532,28.1,,,,,543.9214008885212,Top Starter,2017-2018
