Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s,MainScore_mean
Achraf Hakimi,,,544.5812084353038,17064,189.6,319.22222222222223
Achraf Lazaar,213.44501062997583,,,478,5.3,46.5
Adalberto Peñaranda,122.14344369003986,,,802,8.9,22.0
Adam Armstrong,274.38544331705765,,,3996,44.4,161.29999999999998
Adam Aznou,,,701.7022707818563,893,9.899999999999999,899.1
Adam Boayar,,,,51,0.6,
Adam Bodzek,,,632.6431508024497,3611,40.099999999999994,332.1
Adam Buksa,221.0681475387358,,,593,6.6,84.8
Adam Daghim,301.4250608460167,,,576,6.4,248.5
Adam Dźwigała,,,799.0747754633803,962,10.6,981.3
Adam Forshaw,,464.2593067141908,,2009,22.3,526.95
Adam Hložek,604.4840190795913,,,3640,40.5,777.9
Adam Idah,329.5753281282963,,,853,9.4,282.6
Adam Karabec,279.6593832926013,,,768,8.5,190.1
Adam Kölle,,,,77,0.9,
Adam Lallana,332.79845159731934,464.1518271201532,,6184,68.5,358.48
Adam Marušić,,,432.29478260368,20948,232.8,92.63333333333334
Adam Masina,,,637.6134905174583,10763,119.6,653.2714285714285
Adam Obert,,,692.5254248595605,3596,40.0,826.2666666666668
Adam Ounas,523.5250791930932,,,5087,56.5,643.225
Adam Smith,,,506.13714488490484,13398,148.9,329.2285714285714
Adam Webster,,,636.3847914815457,10712,119.0,715.8833333333333
Adam Wharton,,692.711808235612,,4177,46.4,898.1333333333333
Adam Zreľák,325.0460753556729,,,941,10.5,236.8
Adama Boiro,,,446.8663440944157,1464,16.2,140.2
Adama Bojang,,,,83,0.9,
Adama Camara,,281.0763357210242,,1152,12.8,80.3
Adama Diakhaby,266.3435048082434,,,1402,15.5,240.64999999999998
Adama Mbengue,,,695.3804097815653,2334,25.9,613.5999999999999
Adama Niane,381.5771206347832,,,2164,24.0,382.4
Adama Soumaoro,,,517.0994338864024,10000,111.0,227.88333333333333
Adama Traoré,360.9220713018157,,,12985,144.2,358.12857142857143
Aday,,,429.20025788125463,2480,27.599999999999998,36.35
Adel Mahamoud,,,,10,0.1,
Adel Taarabt,323.72422303584426,,,1615,17.9,292.3
Adem Ljajić,781.9210856076057,,,2196,24.400000000000002,920.9
Ademola Lookman,620.613169178619,,,12513,139.0,721.8125
Adil Aouchiche,530.9127418089156,,,3126,34.699999999999996,616.1
Adil Hamdani,,,,6,0.1,
Adil Rami,,,554.4439896831035,7134,79.19999999999999,263.725
Adil Taoui,,,,25,0.3,
