Player,OffScore_mean,MidScore_mean,DefScore_mean,Min,90s,MainScore_mean
Christian Eriksen,667.197978032518,712.2904714965899,,15223,169.2,884.8299999999999
Christian Fuchs,,,674.6044143744416,3602,40.0,795.2333333333332
Christian Gebauer,406.741023392612,,,687,7.6,386.3
Christian Gentner,,496.2862665139072,,7906,87.8,534.45
Christian Groß,,300.8252911491891,772.6545696111689,5023,55.9,676.45
Christian Gytkjær,270.4684400760751,,,1313,14.600000000000001,147.15
Christian Günter,,,348.0836485340837,21842,242.7,21.27777777777778
Christian Kabasele,,,591.9642705351578,10569,117.5,523.4714285714286
Christian Kofane,586.1933630496794,,,551,6.1,845.0
Christian Kouakou,347.5038887058878,,,847,9.4,214.0
Christian Kouamé,354.91626378838004,,,9388,104.3,335.15714285714284
Christian Kühlwetter,,,,8,0.1,
Christian Maggio,,,741.3406230059079,938,10.399999999999999,817.3
Christian Mawissa,,,734.305795522705,3270,36.3,869.1
Christian Nørgaard,,508.37498527073603,770.5147316000036,10497,116.60000000000001,758.7
Christian Oliva,,553.2025193456486,,1103,12.2,655.0
Christian Ordoñez,,,,423,4.7,
Christian Pastina,,,,121,1.3,
Christian Pulisic,589.5864335981881,,,14670,162.9,732.088888888889
Christian Santos,,,,436,4.8,
Christian Strohdiek,,,759.6419482825834,1363,15.1,943.3
Christoph Baumgartner,513.2479003023747,706.1626962028507,,12371,137.4,643.7142857142857
Christoph Daferner,,,,25,0.3,
Christoph Janker,,,,150,1.7000000000000002,
Christoph Klarer,,,511.0919804148698,2354,26.2,251.6
Christoph Kramer,,396.2364694835762,,10003,111.2,326.01666666666665
Christoph Zimmermann,,,725.801371456253,2807,31.2,920.35
Christophe Hérelle,,,638.9396093162555,12983,144.4,536.0
Christophe Jallet,,,749.1904846630647,2914,32.3,786.5333333333334
Christophe Kerbrat,,,706.4282536675073,5415,60.2,650.4000000000001
Christopher Antwi-Adjei,314.89203515041794,,,6797,75.5,247.875
Christopher Jullien,,,619.8925973093326,9548,106.0,451.575
Christopher Lenz,,,671.2881221523662,6526,72.5,799.45
Christopher Martins,,,,69,0.8,
Christopher Nkunku,667.4480442068816,,,12223,135.8,840.7875
Christopher Operi,,,568.5671834584842,3614,40.2,394.54999999999995
Christopher Rocchia,,,,22,0.2,
Christopher Schindler,,,755.1018976445623,6525,72.5,906.6
Christopher Scott,,,,34,0.4,
Christopher Trimmel,,,533.2139464337023,13598,151.0,360.3285714285715
Christopher Wooh,,,602.6208483812384,4964,55.2,505.85
Christos Kourfalidis,,,,18,0.2,
Christos Tzolis,,,,336,3.7,
Chuba Akpom,445.9300311020541,,,639,7.1,488.0
Chuca,,,,88,1.0,
Chukwubuikem Ikwuemesi,207.4198824211943,,,1061,11.8,46.3
Chuky san jose,392.2873767163831,,,728,8.1,354.4
Chumi,,,520.7705618078928,3923,43.5,345.4
Ciaran Clark,,,584.2782575864628,6695,74.4,483.34
Cifu,,,593.1647412615836,559,6.2,602.8
Cimo Röcker,,,,22,0.2,
Ciro Immobile,613.3825749645472,,,18239,202.8,785.6142857142858
Claud Adjapong,,,704.5611662017737,1721,19.2,688.8
Claudio Beauvue,208.45863562304498,,,3171,35.3,73.5
Claudio Echeverri,,,,140,1.6,
Claudio Marchisio,,483.09778154094835,,817,9.1,539.4
Claudio Pizarro,560.6370340947634,,,1505,16.7,678.1
Claudio Terzi,,,645.0418947143582,1869,20.8,727.0
Claudio Yacob,,,819.1506176750082,903,10.0,687.5
Clemens Riedel,,,651.9760006606648,1273,14.2,735.25
Clinton Mata,,,610.0748183651008,5983,66.5,527.6999999999999
Clinton Mola,,,,128,1.5,
Clinton N'Jie,867.288182969138,,,1238,13.7,971.4
Clément Akpa,,,586.3140069246057,3715,41.3,461.25
Clément Depres,,,,455,5.1000000000000005,
Clément Grenier,659.5388082804329,559.4638324680783,,6576,73.10000000000001,687.44
Clément Lenglet,,,609.2354002437262,16533,183.6,614.3222222222222
Clément Michelin,,,642.5649323913043,1519,16.9,617.1
Clément Vidal,,,546.1981187201666,2077,23.1,302.3
Cléo Melieres,,,,31,0.3,
Coba da Costa,291.40891542650223,,,1348,15.0,116.5
Cody Drameh,,,,197,2.2,
Cody Gakpo,615.0493248363856,,,6387,70.9,869.4
Coke,,,643.7260646254618,5142,57.199999999999996,689.45
Cole Campbell,,,,39,0.4,
Cole Palmer,674.9507200137326,,,6966,77.5,805.9333333333334
Colin Dagba,,,496.7810748965271,4066,45.1,239.575
Collin Quaner,286.8449792478485,,,1319,14.6,224.2
Connor Goldson,,,,200,2.2,
Connor Metcalfe,,,,632,7.0,
Connor Noß,,,,52,0.6,
Connor Roberts,,,441.67319860313756,2783,30.9,169.05
Connor Wickham,,,,163,1.8,
Conor Bradley,,,631.5855438395733,2436,27.1,694.6666666666666
Conor Chaplin,306.5325885288468,,,857,9.5,160.2
Conor Coady,,,461.89121197354933,17314,192.3,169.33333333333334
Conor Gallagher,408.42959915560516,549.1690947197951,,12437,138.1,593.65
Conor Hourihane,584.3956464378961,,,1759,19.5,816.5
Conor Townsend,,,625.8433800974543,2569,28.5,728.3
Conrad Harder,494.537039041683,,,490,5.4,710.5
Copete,,,672.6946329379789,6386,71.0,821.35
Corentin Jean,254.88382279786833,,,3159,35.1,136.6
Corentin Tolisso,,682.4182741069569,,11251,125.0,823.125
Corrie Ndaba,,,,244,2.7,
Craig Cathcart,,,531.1816657393089,8503,94.4,283.625
Craig Dawson,,,566.8854487440749,14864,165.1,482.0125
Crespo,,534.3182069369296,,527,5.9,699.5
Cristhian Mosquera,,,566.0422329839116,7184,79.9,508.0
Cristhian Stuani,566.2899215735388,,,8617,95.7,729.8
Cristian Ansaldi,,,512.1909844554781,8085,89.80000000000001,197.95999999999998
Cristian Battocchio,,583.2041751206837,,1747,19.4,665.0
Cristian Benavente,,,,349,3.9,
Cristian Buonaiuto,304.79630871663375,,,980,10.9,167.4
Cristian Cásseres Jr.,,472.20865985293227,,5990,66.6,463.2333333333333
Cristian Dell'Orco,,,592.8234772794468,2835,31.499999999999996,445.85
Cristian Gamboa,,,625.149059698666,4612,51.2,632.6333333333333
Cristian Ganea,,,,49,0.5,
Cristian Herrera,,,,166,1.8,
Cristian López,,,,372,4.1,
Cristian Molinaro,,,601.2171631994569,3271,36.4,460.2
Cristian Rivera,,363.05887041436415,,2249,25.0,252.4
Cristian Romero,,,761.674443549362,17329,192.6,923.625
Cristian Tello,422.241971592439,,457.62947188961874,6155,68.4,424.73999999999995
Cristian Volpato,438.12045346914215,,,1531,17.0,484.29999999999995
Cristiano Biraghi,,,458.0683715502919,20673,229.6,137.06666666666666
Cristiano Lombardi,279.8550571800039,,,1112,12.4,134.9
Cristiano Piccini,,,584.1716906003131,2391,26.6,410.1
Cristiano Ronaldo,698.8144402067018,,,13704,152.2,842.0333333333333
Cristián Zapata,,,679.5294602949713,4706,52.3,732.775
Cristo,,,,17,0.2,
Cristo González,,,,45,0.5,
Cristóbal Montiel,,,,6,0.1,
Crysencio Summerville,295.9263492587435,,,3481,38.6,260.6333333333333
Cucho,435.86609726979077,,,9034,100.4,549.2166666666666
Cuco Martina,,,760.5815212239612,1830,20.3,909.3
Curro,,,,43,0.5,
Curtis Jones,444.0204004460568,569.033188953749,,7042,78.3,702.6999999999999
Cyle Larin,404.8187156945252,,,5056,56.2,485.1333333333334
Cyriaque Irié,,,,31,0.3,
Cyriel Dessers,447.5426373162441,,,1587,17.6,602.5
Cyril Ngonge,429.9012969846811,,,3558,39.6,484.70000000000005
Cyril Théréau,421.49765328383114,,,1453,16.2,518.7
Cyrille Bayala,219.77125409642295,,,2009,22.3,27.9
Cyrus Christie,,,608.7978201166443,1948,21.6,519.3
Cédric Avinel,,,412.1852311355589,1794,19.9,55.4
Cédric Bakambu,522.9740225059521,,,2653,29.6,724.7
Cédric Brunner,,,602.6601420882567,7153,79.5,566.3666666666667
Cédric Hountondji,,,604.5561926455723,5399,60.0,500.0
Cédric Kipré,,,765.6382378586073,2190,24.3,920.1
Cédric Soares,,,569.53891760048,8624,95.8,439.53999999999996
Cédric Varrault,,,686.4371783483098,883,9.8,499.3
Cédric Yamberé,,,648.8630062632947,5634,62.599999999999994,422.45
César Azpilicueta,,,670.6221178308701,18721,208.0,785.7444444444444
César Montes,,,488.4408423893909,3378,37.599999999999994,240.70000000000002
César Tárrega,,,628.4986586037493,4589,51.0,707.3499999999999
César de la Hoz,,,495.8771427890232,1673,18.6,264.7
Daam Foulon,,,584.3703599225541,1021,11.3,498.1
Daan Dierckx,,,679.0873855550205,471,5.2,835.7
Daan Heymans,,,,256,2.8,
Dachi Lordkipanidze,,,,29,0.3,
Daichi Kamada,557.7913976856373,577.5321726674392,,13145,146.2,680.0285714285714
Daiki Hashioka,,,597.4761168846914,595,6.6,653.9
Dailon Livramento,232.34233814133793,,,940,10.4,80.6
Daishawn Redan,,,,123,1.3,
Dalbert Henrique,,,567.8935863228661,6247,69.30000000000001,382.925
Dale Stephens,,416.4405068099847,,8640,96.0,380.9666666666667
Daler Kuzyaev,,432.4212380204864,,2657,29.5,372.65
Daley Blind,,,621.0374800559534,7650,85.0,623.7666666666667
Daley Sinkgraven,,,580.9911094423642,3639,40.4,473.04999999999995
Damian Kądzior,,,,195,2.2,
Damien Da Silva,,,591.8940194827453,12079,134.2,369.28000000000003
Damien Delaney,,,,96,1.1,
Damien Le Tallec,,308.21696002280737,586.1929139726844,6490,72.1,105.5
Damion Downs,,,,258,2.9,
Damir Ceter,,,,205,2.3000000000000003,
Damián Musto,,,842.0075750517906,1686,18.7,947.4
Damián Pizarro,,,,44,0.5,
Damián Rodríguez,,473.1633353960445,,1335,14.9,538.7
Damián Suárez,,,584.4867910461726,17099,189.9,523.0571428571428
Dan Burn,,,614.1488409912486,17825,198.1,656.0625
Dan Gosling,,435.69464826302345,,5116,56.7,435.43333333333334
Dan Ndoye,305.1253852782033,,,5666,63.0,231.9
Dan Neil,,,,14,0.2,
Dan Nlundulu,,,,111,1.2,
Dan-Axel Zagadou,,,654.8888254564696,7052,78.3,679.4499999999999
Dane Scarlett,,,,56,0.6000000000000001,
Danel Sinani,407.4141422682509,,,2125,23.6,402.54999999999995
Dango Ouattara,437.22709326192245,,,7897,87.8,503.1666666666667
Dani Alves,,860.3941616519018,614.1723677494754,4783,53.099999999999994,623.8333333333334
Dani Calvo,,,483.6795945717027,2484,27.6,261.65
Dani Carvajal,,,621.6910684733217,14508,161.2,628.0875
Dani Castellano,,,652.836435883995,2025,22.5,548.0
Dani Ceballos,,719.2433220694378,,8976,99.8,909.9833333333332
Dani Escriche,290.49219207276894,,,857,9.5,209.4
Dani García,,324.13426030984647,,14607,162.3,191.52857142857144
Dani Gómez,374.1467599013383,,,3349,37.2,427.3333333333333
Dani Ojeda,,,,193,2.1,
Dani Olmo,720.2714350173868,,,8488,94.4,901.1428571428571
Dani Plomer,,,,45,0.5,
Dani Raba,561.021914031352,,,3697,41.1,733.5999999999999
Dani Rodríguez,375.16940627628713,572.6934585972965,,12816,142.5,480.1
Dani de Wit,,393.3838226106754,,1153,12.8,341.3
Daniel Amartey,,,592.3751112960401,5583,62.0,499.23999999999995
Daniel Baier,,413.70357237775096,,7294,81.1,357.1666666666667
Daniel Ballard,,,581.5539494035752,1225,13.6,557.8
Daniel Bandeira,,356.4364645903346,,853,9.5,218.1
Daniel Bessa,422.44331724398114,558.1309070682745,,5651,62.7,558.225
Daniel Boloca,,322.0949862175181,,2157,24.0,138.3
Daniel Brosinski,,,512.1626364897844,8232,91.5,185.375
Daniel Caligiuri,306.1834730588612,703.5358759004268,694.6378473279519,12925,143.6,647.04
Daniel Carriço,,,544.0963480609503,3437,38.2,387.1333333333334
Daniel Ciofani,336.10318604907206,,,2678,29.8,286.1
Daniel Congré,,,657.8801518850437,11160,124.1,563.425
Daniel Denoon,,,,122,1.4,
Daniel Didavi,650.7977190948308,,,4440,49.4,826.7333333333332
Daniel Díaz,,,,10,0.1,
Daniel Elfadli,,,620.3264046338879,880,9.8,634.4
Daniel Fila,384.868429253456,,,492,5.5,403.1
Daniel Ginczek,474.9312626937032,,,3795,42.099999999999994,616.7333333333332
Daniel James,379.35905773024734,,,6862,76.2,424.35
Daniel Jebbison,,,,424,4.7,
Daniel Kyereh,414.450786408915,,,559,6.2,390.7
Daniel Luna,,,,20,0.2,
Daniel Maldini,341.46480710531705,,,3256,36.1,260.6
Daniel Molina Orta,,,,5,0.1,
Daniel Mosquera,349.74116489623856,,,1851,20.6,342.95
Daniel Muñoz,,,659.8190941142377,5926,65.9,783.4333333333334
Daniel Opare,,,689.7204532877398,1417,15.7,631.9
Daniel Oyegoke,,,,244,2.7,
Daniel Pacheco,,,,175,1.9,
Daniel Parejo,,670.6606485197253,,23686,263.2,832.4222222222222
Daniel Pavlović,,,332.72503907830225,848,9.4,1.4
Daniel Podence,395.17020273475276,,,5253,58.4,434.06666666666666
Daniel Requena,,,,10,0.1,
Daniel Rodriguez,,,,37,0.4,
Daniel Sturridge,499.4508261821281,,,1058,11.8,686.4
Daniel Svensson,,,487.656556915789,2005,22.299999999999997,214.14999999999998
Daniel Torres,,,580.9360738629033,1288,14.3,125.0
Daniel Villahermosa,,,,23,0.3,
Daniel Vivian,,,610.1679350879439,11316,125.8,657.6
Daniel Wass,480.238696220086,394.49815982226903,490.0643540234156,12625,140.4,338.54
Daniele Baselli,,555.8548540379767,,7036,78.1,641.5666666666667
Daniele Bonera,,,582.3351289717924,1420,15.799999999999999,300.4
Daniele De Rossi,,525.8271948085164,,3099,34.4,605.45
Daniele Dessena,,238.13456294260874,,2794,31.1,24.45
Daniele Gastaldello,,,,389,4.3,
Daniele Ghilardi,,,641.321488733225,2251,25.0,684.1
Daniele Montevago,,,,231,2.6,
Daniele Ragatzu,,,,313,3.5,
Daniele Rugani,,,499.49769102232045,7946,88.4,219.77142857142857
Daniele Verde,403.98015368201595,,,6546,72.7,439.0
Danijel Milićević,547.7419664117472,,,712,7.9,646.5
Danilho Doekhi,,,606.5498162214492,8876,98.6,568.275
Danilo,,502.90170063152596,668.1199476799663,17665,196.29999999999998,719.52
Danilo Avelar,,,726.6230422332831,1727,19.2,656.3
Danilo Barbosa,,328.9761173852001,810.0033637799432,3010,33.5,544.5
Danilo Cataldi,,516.0633772695776,,12116,134.6,548.0222222222222
Danilo D'Ambrosio,,,617.5749565516575,12023,133.7,555.825
Danilo Larangeira,,,620.650277982337,11622,129.1,519.55
Danilo Pereira,,380.24379570644004,596.3287382980973,7873,87.5,369.7
Danilo Soares,,,797.4846809369465,4681,52.0,980.45
Danilo Soddimo,,,,252,2.8,
Danilo Veiga,,,599.4126268087123,1825,20.3,556.1
Danley Jean-Jacques,,242.93830244829687,,2682,29.8,18.6
Danny Blum,,,,375,4.1,
Danny Drinkwater,,455.150942948865,,844,9.4,515.5
Danny Ings,501.7252252743405,,,11080,123.2,677.6333333333333
Danny Latza,,489.60950826693505,,8241,91.6,534.6600000000001
Danny Loader,332.0112540151299,,,1182,13.1,289.5
Danny Rose,,,581.535972736992,5043,56.1,473.12
Danny Simpson,,,579.3286126183699,2598,28.8,290.9
Danny Ward,,,,445,4.9,
Danny Welbeck,464.4819208645001,,,11975,133.1,615.825
Danny Williams,,257.62288541867497,,1220,13.6,45.3
Danny da Costa,,,560.2566282736501,13058,145.1,385.35555555555555
Dante,,,646.5588973179258,19924,221.3,582.1625
Dany Jean,,,,13,0.1,
Dany Mota,349.6025382480877,,,6065,67.4,320.93333333333334
Danylo Ihnatenko,,731.000049142464,,692,7.7,894.9
Daouda Guindo,,,481.67145047588906,614,6.8,161.6
Daouda Peeters,,,,15,0.2,
Daouda Traoré,,,,16,0.2,
Dara O'Shea,,,646.2803879794068,8116,90.2,774.0333333333333
Daren Mosengo,,,,46,0.5,
Darijo Srna,,,468.93278334492857,2087,23.2,81.2
Dario Dainelli,,,740.3328871397955,1507,16.7,813.3
Dario Essugo,,350.2321923056317,,1938,21.5,245.3
Dario Gebuhr,,,,21,0.2,
Dario Maresic,,,745.7178812338004,604,6.7,905.6
Darko Brašanac,246.52658611965353,356.6082760818246,,11048,122.8,179.05714285714288
Darko Churlinov,,,,264,2.9,
Darko Gyabi,,,,8,0.1,
Darko Lazović,392.0387083052043,,359.83421307996394,17921,199.0,109.175
Darlin Yongwa,,,553.67676850583,2734,30.4,368.76666666666665
Darnell Furlong,,,533.5697393261208,2932,32.6,372.6
Darren Fletcher,,385.5833312158753,,2219,24.7,322.2
Darryl Bakola,,,,72,0.8,
Darwin Machís,372.2961359799759,,,8017,89.1,363.80000000000007
Darwin Núñez,680.727439595621,,,4875,54.1,901.0333333333333
Daryl Janmaat,,,656.9097049123023,3947,43.8,691.9666666666667
Darío Benedetto,436.5033621527741,,,4324,48.0,500.8333333333333
Darío Fuentes,,,,5,0.1,
Darío Poveda,,,,393,4.4,
David Abraham,,,618.1475519755709,6632,73.8,528.6750000000001
David Affengruber,,,770.2065774639065,1470,16.3,977.9
David Akpan Ankeye,,,,102,1.1,
David Alaba,,,486.96299439893966,15262,169.5,210.82857142857145
David Alba,,,,61,0.7,
David Alcibiade,,,,208,2.3,
David Argüelles,,,,7,0.1,
David Brooks,413.50197596863643,,,5119,56.8,478.67499999999995
David Carmo,,,647.922155240429,1092,12.1,775.5
David Costa,566.5399729215801,,,4867,54.1,655.1666666666666
David Costas,,,629.7493082801034,2671,29.7,649.9
David Daiber,,,,19,0.2,
David Datro Fofana,410.0012244500303,,,1631,18.200000000000003,442.75
David Ferreiro,406.391228070767,,,4807,53.400000000000006,400.1
David García,,,573.0628069339729,14922,165.8,490.2
David Juncà,,,635.0788340032768,2913,32.4,547.75
David Jurásek,,,498.19632542033696,1115,12.4,361.15000000000003
David Lombán,,,591.1158452194987,994,11.0,324.8
David Luiz,,,598.3022407523742,8283,92.0,510.275
David López,,,615.1370193593172,14825,164.8,564.6428571428571
David Mamutovic,,,,11,0.1,
David McGoldrick,343.2711074173669,,,4212,46.8,305.0
David Mokwa,,,,22,0.2,
David Møller Wolfe,,,288.8174305388572,707,7.9,6.8
David Nemeth,,,571.3493194791441,2448,27.2,449.5
David Neres,493.62250973835984,,,2173,24.200000000000003,648.9000000000001
David Odogu,,,,200,2.3000000000000003,
David Okereke,319.4618132698629,,,4652,51.7,237.15
David Otorbi,,,,14,0.2,
David Otto,,,,28,0.3,
David Ozoh,,,,156,1.7,
David Preu,,,,121,1.3,
David Raum,,,560.2628891275438,10290,114.2,427.68
David Schnegg,,,,142,1.6,
David Silva,702.892650984052,,,11713,130.1,866.5
David Simón,,,758.1089564907086,721,8.0,905.3
David Timor,,336.842369571671,,3767,41.9,208.33333333333334
David Torres,,,492.9517997194821,1772,19.7,251.6
David Zec,,,621.2633224040443,1541,17.1,617.3
David Zima,,,543.0922539762554,1811,20.1,355.9
David Zurutuza,,423.18129159407204,,3621,40.199999999999996,408.85
David Čolina,,,,166,1.8,
Davide Angelo Ghislandi,,,,5,0.1,
Davide Astori,,,746.763443675912,2250,25.0,828.1
Davide Bartesaghi,,,464.72116761248526,1320,14.7,171.8
Davide Biondini,,,,206,2.3,
Davide Biraschi,,,649.3000973970536,8543,95.0,636.7
Davide Calabria,,,671.7549271394644,14725,163.6,724.2625
Davide Di Gennaro,,,,11,0.1,
Davide Faraoni,,,621.1428301045423,13184,146.6,575.6833333333333
Davide Frattesi,759.08528017677,440.6616423626929,,8120,90.2,551.725
Davide Riccardi,,,,20,0.2,
Davide Santon,,,519.4661831469241,3050,33.9,255.775
Davide Zappacosta,,,384.26991515417853,12865,142.9,40.65
Davie Selke,352.52067068053054,,,9281,103.2,350.2875
Davinchi,,,,429,4.8,
Davinson Sánchez,,,655.6623518299762,10959,121.8,721.0
Davor Lovren,,,,46,0.5,
Davy Klaassen,,600.0134678403372,,6431,71.5,722.9
Davy Pröpper,,453.5693663756065,,8707,96.8,474.8333333333333
Dawda Camara,,,,72,0.8,
Dawid Kownacki,398.2014658096448,,,3039,33.7,441.6666666666667
Dayann Methalie,,,472.4138548725258,1160,12.9,137.8
Dayot Upamecano,,,682.9977267178598,17303,192.3,777.3777777777779
DeAndre Yedlin,,,533.3198001761613,6692,74.3,261.56666666666666
Dean Huijsen,,,662.4295935413771,3913,43.5,722.3666666666667
Dean Whitehead,,,,71,0.8,
Declan Rice,517.0888552337183,560.9507287595349,711.5329880601836,24930,277.0,652.8333333333334
Dedryck Boyata,,,586.8418111214017,5879,65.4,506.5333333333333
Dehmaine Assoumani,,377.8812886562749,,797,8.9,250.8
Deian Boldor,,,,90,1.0,
Deiver Machado,,,472.515058657698,6080,67.60000000000001,157.2
Deivid Washington,,,,13,0.1,
Dejan Joveljić,,,,150,1.7,
Dejan Kulusevski,550.6300486887045,,,14209,158.0,697.4571428571428
Dejan Ljubicic,356.69815362173745,507.6909542472928,,5727,63.7,396.40000000000003
Dejan Lovren,,,644.5664059237934,6067,67.4,630.38
Delano Burgzorg,,,,271,3.0,
Dele Alli,579.0509499670281,242.8028148016273,,8294,92.2,581.1800000000001
Demarai Gray,436.30387479527246,,,9610,106.9,427.6
Demba Seck,214.59122700884092,,,1388,15.399999999999999,32.6
Dembo Sylla,,,,45,0.5,
Demeaco Duhaney,,,,45,0.5,
Denilho Cleonise,,,,47,0.5,
Denis Bouanga,461.1456904616383,,,9831,109.3,490.2
Denis Cheryshev,433.7799341845922,,,5222,58.1,465.82
Denis Drăguș,,,,177,2.0,
Denis Genreau,,454.63381863809064,,1343,15.0,409.9
Denis Huseinbasic,540.4717397370655,416.5409936162957,,3071,34.2,491.2
Denis Odoi,,,718.2018976952687,2864,31.8,882.8
Denis Suárez,614.2494001324905,615.5644972434417,,10537,117.1,766.657142857143
Denis Thomalla,,334.3069968788236,,446,5.0,164.9
Denis Vavro,,,586.5945211829732,3549,39.4,517.55
Denis Zakaria,,456.3916848859015,644.3754935052528,14955,166.2,398.55555555555554
Denis-Will Poha,,,,29,0.3,
Deniz Undav,768.611285471321,,,5319,59.099999999999994,949.45
Dennis Aogo,,502.2628128488623,,2979,33.1,541.4
Dennis Appiah,,,654.0509814174762,8183,90.80000000000001,641.98
Dennis Borkowski,,,,20,0.2,
Dennis Cirkin,,,,250,2.8,
Dennis Diekmeier,,,585.4058892655007,1868,20.8,262.5
Dennis Eckert,,,,216,2.4,
Dennis Geiger,,600.4162130688657,,7755,86.1,734.65
Dennis Hadzikadunic,,,406.1471716325984,614,6.8,80.6
Dennis Jastrzembski,,,,463,5.2,
Dennis Johnsen,262.5442041244976,,,1789,19.900000000000002,123.6
Dennis Man,428.3530014358784,,,2694,30.0,502.25
Dennis Praet,324.8757542198888,594.3167131676555,,9587,106.5,486.2166666666667
Dennis Srbeny,419.17172885039656,,,1166,12.9,477.1
Denso Kasius,,,,522,5.8,
Denzel Dumfries,,,322.61880235798145,8559,95.0,17.62
Dereck Kutesa,328.2073199029946,,,1215,13.5,232.4
Derek Cornelius,,,581.073108928241,1478,16.400000000000002,410.2
Derek Mazou-Sacko,,,,16,0.2,
Dermane Karim,280.81822265063056,,,786,8.7,171.8
Derrick Köhn,,,425.6720974670173,2293,25.5,94.80000000000001
Derrick Luckassen,,,,250,2.8,
Derry Scherhant,,,,722,8.100000000000001,
Destiny Udogie,,,596.3862827209592,10275,114.2,574.64
Devyne Rensch,,,647.7246859412566,887,9.8,713.0
Dexter Lembikisa,,,,23,0.3,
Deyovaisio Zeefuik,,,646.6231121836494,1480,16.5,670.5
Deyverson,349.4905773000951,,,1078,12.0,338.5
Diadie Samassékou,,359.968933373103,,5944,66.1,240.9333333333333
Diafra Sakho,341.98411028096393,,,1228,13.6,309.9
Dickson Abiama,219.4213086025952,,,726,8.1,66.2
Didier Ibrahim Ndong,,388.1810272620581,,5740,63.8,263.59999999999997
Didier Lamkel Zé,384.8348712030545,,,1155,12.8,355.2
Diego,273.0680052661477,,,1195,13.3,150.3
Diego Carlos,,,582.0563974885555,18275,203.2,465.775
Diego Collado,,,,6,0.1,
Diego Contento,,,,108,1.2,
Diego Coppola,,,659.5814068465997,6181,68.8,757.6999999999999
Diego Costa,338.16424524054594,,,4952,55.1,332.875
Diego Demme,,558.5933454238224,,8953,99.5,646.9499999999999
Diego Falcinelli,211.03926556076777,,,2523,28.0,92.3
Diego Farias,441.79685613510145,,,5906,65.7,521.88
Diego Godín,,,686.1249734019368,10017,111.39999999999999,756.6
Diego González,,,535.05661045984,5460,60.6,320.45
Diego Gómez,,523.6518825578501,,1787,19.8,656.9000000000001
Diego Iturralde,,,,119,1.3,
Diego Lainez,257.4958661694343,,,1703,19.0,147.0
Diego Laxalt,,,599.4931523666224,4225,46.9,468.90000000000003
Diego Llorente,,,633.2479226431807,16032,178.20000000000002,657.6111111111111
Diego López,510.3533190942545,,,7057,78.4,553.875
Diego Martín,,,,40,0.4,
Diego Morcillo,,,,10,0.1,
Diego Moreira,,,483.8812370249809,4056,45.0,154.25
Diego Moreno,,,400.07195949340536,638,7.1,73.0
Diego Méndez,,,,5,0.1,
Diego Pampín,,,,278,3.1,
Diego Perotti,450.5597793228567,,,3439,38.199999999999996,566.5
Diego Pugno,,,,7,0.1,
Diego Reyes,,,,320,3.6,
Diego Rico,,,670.169437643574,15257,169.6,784.7125
Diego Rolán,327.27221942908216,,,2459,27.3,325.3
Diego Valencia,,,,231,2.6,
Dilane Bakwa,522.0217661622071,,,5183,57.6,582.1500000000001
Dimitri Bisoli,220.72112478736625,,,2152,23.9,59.6
Dimitri Foulquier,,428.83720409277686,434.61270164856865,16160,179.6,135.83333333333334
Dimitri Liénard,,758.6337598997359,589.7363464379439,10798,119.8,721.7666666666668
Dimitri Oberlin,,,,139,1.5,
Dimitri Payet,643.4827003217741,,,12025,133.7,798.8000000000001
Dimitrije Kamenović,,,,45,0.5,
Dimitris Giannoulis,,,647.0817429433295,4715,52.4,705.8000000000001
Dimitris Limnios,,,,417,4.6000000000000005,
Dimitris Nikolaou,,,562.6261976319788,6546,72.8,433.45
Dimitris Siovas,,,646.0415636347038,10008,111.2,700.25
Diogo Dalot,,,611.0161337461723,13520,150.2,613.4714285714286
Diogo Jota,676.2368455807729,,,11587,128.9,887.2714285714285
Diogo Leite,,,674.4970775913428,8537,94.8,720.2249999999999
Dion Drena Beljo,402.3726589358883,,,1709,19.0,433.90000000000003
Dion Lopy,,373.48023954238465,,5193,57.6,264.5333333333333
Divin Mubama,,,,146,1.6,
Divine Mukasa,,,,16,0.2,
Divock Origi,369.0869103529674,,,5017,55.8,372.75
Djamel Benlamri,,,,149,1.7,
Djaoui Cissé,,428.28981984578013,,1831,20.4,366.5
Djavan Anderson,,,,239,2.7,
Djed Spence,,,554.1060342750637,4577,50.9,420.575
Djené,,,520.3778849188398,24517,272.5,339.7555555555556
Djibril Sidibé,,,625.124038888425,12176,135.2,520.0714285714286
Djibril Sow,,459.8163629282532,,13600,151.1,484.14285714285717
Djylian N'Guessan,,,,181,2.0,
Djégui Koita,,,,173,1.9,
Dodi Lukebakio,439.71634506872266,,,13726,152.6,525.2142857142857
Dodô,,,413.1191382166735,7676,85.30000000000001,80.525
Domagoj Bradarić,,,436.2673910398808,11165,124.0,135.96666666666667
Domen Črnigoj,,362.7269389393318,,2313,25.7,251.8
Domenico Berardi,524.9290820639321,,,17149,190.4,675.975
Domenico Criscito,,,725.6466753976287,8467,94.1,897.625
Domenico Maietta,,,571.8879059589972,2182,24.2,276.9
Domingos André Ribeiro Almeida,338.1924582116976,,,6275,69.7,271.675
Domingos Duarte,,,498.2800404465317,13914,154.6,296.2714285714286
Domingos Quina,,,,989,11.0,
Dominic Ballard,,,,26,0.3,
Dominic Calvert-Lewin,409.22069356074894,,,16702,185.6,482.5666666666667
Dominic Maroh,,,819.610720142326,914,10.2,954.0
Dominic Solanke,439.5491799463869,,,11013,122.4,533.1800000000001
